894735356208a95e24b21ac923d6f86f37660de9bfd3f4f9e354b5b98d08c78b,5160ae064c15b878bbaecb1de127aa47642da829bea573e48acfeeccfa60cef1,1c10b07ab3204b1de06d0e85db33d928f8cf10907ff6783a27f5582b71d5f41b,19c8e3a825d72ec7034256cfe8af6e27c0cd8d1f1f8b62c8ae0db27fa0e606dd,fec2a99d7ccc32f3f4fa7fada41a0ab23cd03a0eac896305bf5aa17318303c56,b83286f32824d895c42d196b19b875b721f99d0a88ee24d9725a5122553a6d1d,89b1ba2dccb180fd1dad08b3f3598ef76a9ad8a25076bc8dafe6bf9d43f049e1,eedc273acf7b7e96349ce7a0a6c6c145aa708b1e51093161e44d52d9b0c5a714,8a4b3c328bbae738c216b2a633eb4bce90c63ce61af2987de4be2e0742534ba8,a4a72371e3b21c6287e89580127f4bd276aba3edbca61fa361c8441bd5983c44
"0","0","5110601","20059104","0","0","10110","序幕","令人懷念的往日結晶","0"
"30","1","5110602","20059104","8","91002","10110","尾狗刀的懷想　其一","誰才是隊長！","0"
"30","1","5110603","20059105","8","91002","10110","尾狗刀的懷想　其二","想獲勝的理由","0"
"30","1","5110604","20059108","8","91002","10110","克莉絲提娜的懷想　其一","善於傾聽的誓約女君","0"
"30","1","5110605","20059109","8","91002","10110","大吾的懷想　其一","隱藏的真正實力……？","0"
"30","1","5110606","20059110","8","91002","10110","拉比林斯達的懷想　其一","寫作朋友，讀作對手","0"
"30","1","5110607","20059112","8","91002","10110","真軌的懷想","惡與正義的放聲大笑","0"
"30","1","5110608","20059113","8","91002","10110","拉基拉基的懷想　其一","所謂的公主騎士","0"
"30","1","5110609","20059114","8","91002","10110","尾狗刀的懷想　其三","遙想未來的日子","0"
"30","1","5111602","20060103","8","91002","10111","拉基拉基的懷想　其二","跳躍王的懲罰","0"
"30","1","5111603","20060105","8","91002","10111","克莉絲提娜的懷想　其二","兩人一起絕對能做到","0"
"30","1","5111604","20060108","8","91002","10111","大吾的懷想　其二","踩虎尾","0"
"30","1","5111605","20060109","8","91002","10111","拉比林斯達的懷想　其二","最可疑的七冠是誰","0"
"30","1","5111606","20060110","8","91002","10111","似似花的懷想","過於簡單的問題","0"
"30","1","5111607","20060113","8","91002","10111","尾狗刀的懷想　其四","魔物使如是說","0"
"30","1","5111608","20060113","8","91002","10111","尾狗刀的懷想　其五","惡徒們追尋的未來","0"
"1","0","5111609","0","16","9000222","10111","終幕","超越過去，創造回憶","1"
