cbf2d89b2fae52cf6f47f9955336a6656665f16cf5e0bd2b11f3ccff7c9c3d4b,2be457d8015ef6f9ad988eaabcf3b899a2882a9239512dcaf4006b5cd42aa6cf,5e768989c4ce328caaea06792e169cbe877255c618ac3adb7bc6324916af906d,abf49cf081a104c790cfedbdc072aacafe8b48eb91e00220a458b1e602abd83e,c4ff1ec2475bc6af5a8a9e15e15d6e22182b03af604755f55516a25bc078b7d6,3c53d0a63104c02597a2f718141fd31d03ae7f3b0670e15bf5a3fc9444a25a99,3234bc63e29be39641c19270fc31e90d3635e78afaae7ef957350f3a6ebbb319,35c24d7d8672040fad1cf204bd19b4f583afef90771b2145ed0d217bfd32ca14,35ab34ad2bb0e3cca1639f0c844fd7fd4c07bf1b32a5918f9fe1f0993c0a82aa,9799cc7541b311e2747bd0ad812872c85a8a26f1a0d3d0832af1ba338a897762,5d9002f54a963bf588ab0ebcc607a16641fb76209f66994f1dad790a1c0edd81,15ab177e40dbf27d7c2b64116d96b48f68fdf01954ab4c1f11ec23e81df9ec0f,19d9c37dc8c408df5b685379a481c4c4f1ec5981b10b969809f4af3dde8a25ba,7fdf5d3de66263c3a40ea84846707c17baa48818e08c4d802eb8ea0a804779ae,c2cbd2cc375e5ba5125a8e80ef58d34ae3fb63bd52d48ba732b3d1deb9ba32eb,9e33a6ea3222d0a3a8f8e9954c75fb4f160115eaf11c7ea57596df3b63ca61ce,625fec2dfc6a8b54d1f86af7f0100d63ba486f96a375c7305a46841da67e669e,e8349116013ad29c825dbf767fe4764465c87b06cb3b2ff829fa16015d7edc33,0d398445137dd43d44aac2f3b532f578a678a9ff4ad1be14b67700fd5fb5dbc4,a203aa2c340c62f92b9f365263110337ef048f0b9a474835eb3c77f1f710d967,caa2ff7e06ca6e6b237b416a097a8276078a7e816dc0d83b46503772c76d87bd,c96d51df2376be42ba15ea22dba14f2d435d2ad69615329cdf3e5e1f6dc0ddf5,a7c679dc72930a8c86dd40894d6063aebe024fa236ee83f7c99e02af38c1bad2,b2398c7a6c83c1d37dadb88d7e4c638a80f62ace345874b54b12b2e0126149e3,234634733e131002d4e0e1b60345797c83454b831d6bb85507a50b165908842c,697edd6b39e810418af718a528bb6a05b2d2ae3ca27fcbe053c132ed403d4c45,0571549940ce344e78e4f7030c2114d9b6ddc402e87875d78eec37f0ca6e5677,83fe420ce3beb22f24a4b6465697a41d740c9b8df4f3639f9c1cf468c6ce55f7,ac4d720b3fd33ab5d10d2f46e2368f66d04d5bba4319170cfb0f107c2fc54bd0,a24ea938f20d05cf433c0c1b061a0ec337f3d31c665222615b692da235930823,e73109afb0b928c68156eb66002372aeefc0a27183e7643f14084e3194a3f2eb,e1f0bb2c6a7157ec1a7d84c5c1c59286728391a2ab16b2a875683c3546e17366,2c85df14b0ab4f538f6d2a38968a32ae008da2b35a77e5ebd4835c4d4b3096c0,8af673bfa2b4c04f4254c4565832993890c37e8ee4f6272ea933765599432518,5cf01e9e344e83bedc94deec1865777ca753f2a397f490f7cb13c5303aebb505,9bb3b838554b325ad4dd4ba34ca913ecf1458f9c61a81015cf6cb1337d84c6ee,637dfdae03539df8c15b6b8531063b4a3977a7bfed077d2b2d5e18d05bc2e5a0,b39778553e1b2f1efff94245127e5eb34ba4297fd19091ece1c9e5a89875f0b6,87b6acb610a78f257b84ffe75bb266963aa1d495e297df16b5f42409051d21d8,ea33a5b3317b636f81e7c61f4431be05bf2c10529266be5e11bd1ba043919ccf
"0","25001","102841","-50","320010101","0","0","1","32001","140001","0","0","0","0","0","bgm_M06","0","102841","0","0","0","3200101","20","0","bgm_M06","40004","1.2","90","0","1","90008","600","1","0","94002","90002","0","0","0","0"
"0","25001","102842","-50","320010102","0","0","2","32001","140001","0","0","0","0","0","bgm_M06","0","102842","0","0","0","3200101","20","0","bgm_M06","40004","1.2","90","0","1","90008","800","1","0","94002","90002","0","0","0","0"
"0","25001","102843","-50","320010103","0","0","3","32001","140001","0","0","0","0","0","bgm_M06","0","102843","0","0","0","3200102","20","0","bgm_M06","40004","1.2","90","0","1","90008","800","1","0","94002","90002","0","0","0","0"
"0","25001","102842","-50","320010104","0","0","4","32001","140001","0","0","0","0","0","bgm_M06","0","102842","0","0","0","3200103","20","0","bgm_M06","40004","1.2","90","0","1","90008","1200","1","0","94002","90002","0","0","0","0"
"0","25001","102841","-50","320010105","0","0","5","32001","140001","0","0","0","0","0","bgm_M06","0","102841","0","0","0","3200104","20","0","bgm_M06","40004","1.2","90","0","1","90008","1200","1","0","94002","90002","0","0","0","90005"
"1","25001","102842","-50","320010106","0","502001111","6","32001","140001","0","0","0","0","1","bgm_M126","1","102842","0","0","0","3200105","50","1.2","bgm_M126","40004","1.2","90","0","1","90008","100","5","1.2","94002","90002","1","0","1.2","0"
"1","25001","102843","-50","320010107","0","502001121","7","32001","140001","0","0","0","0","1","bgm_M126","1","102843","0","0","0","3200105","50","1.2","bgm_M126","40004","1.2","90","0","1","90008","100","5","1.2","94002","90002","1","0","1.2","0"
"1","25001","102851","-50","320010108","0","502001131","8","32001","140001","0","0","0","0","0","bgm_M64","0","102851","0","0","0","3200105","50","0","bgm_M64","40004","1.2","90","0","1","90008","100","3","1","94002","90002","1","0","0","0"
"1","25001","102851","-50","320010109","0","502001141","9","32001","140001","0","0","0","0","0","bgm_M64","0","102851","0","0","0","3200105","50","0","bgm_M64","40004","1.2","90","0","1","90008","100","3","1","94002","90002","1","0","0","0"
"1","25001","102852","-50","320010110","0","502001151","10","32001","140001","1","0","0","5.1","0","bgm_M63","0","102852","0","0","0","3200105","50","0","bgm_M63","40004","0.5","90","0","1","90008","100","3","1","94002","90002","1","0","1","0"
"0","25001","102841","-50","320010201","0","0","1","32001","140001","0","0","0","0","0","bgm_M06","0","102841","100","0","0","3200101","20","0","bgm_M06","40004","1.2","90","0","2","90008","600","1","0","94002","90002","0","0","0","0"
"0","25001","102842","-50","320010202","0","0","2","32001","140001","0","0","0","0","0","bgm_M06","0","102842","100","0","0","3200101","20","0","bgm_M06","40004","1.2","90","0","2","90008","800","1","0","94002","90002","0","0","0","0"
"0","25001","102843","-50","320010203","0","0","3","32001","140001","0","0","0","0","0","bgm_M06","0","102843","100","0","0","3200102","20","0","bgm_M06","40004","1.2","90","0","2","90008","800","1","0","94002","90002","0","0","0","0"
"0","25001","102842","-50","320010204","0","0","4","32001","140001","0","0","0","0","0","bgm_M06","0","102842","100","0","0","3200103","20","0","bgm_M06","40004","1.2","90","0","2","90008","1200","1","0","94002","90002","0","0","0","0"
"0","25001","102841","-50","320010205","0","0","5","32001","140001","0","0","0","0","0","bgm_M06","0","102841","100","0","0","3200104","20","0","bgm_M06","40004","1.2","90","0","2","90008","1200","1","0","94002","90002","0","0","0","90005"
