e5b3655d52cb4ae7495b9b516ad4ef1bf30b5f501424956cca6e8e398f5a7683,04f42a5e9aff5b76b383b9a3b10168a8038665e53544204089f16976e5eb8268,47abe7552ed940a83b23c11c86d2d5806c91750bf79a49e116ee8f86329d7015,00b9a6a05fdb023d111dc4bc2c7d431ddc0371c42b5286c77b17cdde765c703e,70f3f8fc739bdf492e416adb0f36de5ead64ef1539d641527dab76b90d1cc751,9391df34b99263076fa14bf53d6367a66805584920300bce7dd033e421120ae7,dceceac1ece3da0023870b7c740de36b73549dc460e87785369be338fc3c28cd,45db637e88f5cee5af1cc15d2fa56ea164c4fcee676406d4af1b8a4556db4951,84daaab0100a4d1d4a10fad8fd1ec49e838841a0244045716de04e296cbadab5,2a753cf6ee5e9a3e803be9c93d2f4dc12bf2db995049e7469f8c141a2fc6e572,5b8a8bc1c19e0fbe17f6525a0db39b6c527cddcf7b10e2d68e5974765728e211
"0","pt","1001","2","0","1","0","0","10011","10011105","1"
"0","m","1002","2","1","1","0","0","10015","10015103","2"
"0","pt","1003","2","0","1","0","5021700","10021","10021108","3"
"0","pt","1004","3","0","1","0","5027700","10027","5027007","4"
"0","pt","1005","2","0","1","0","5040700","10040","10040105","5"
"5046006","pt","1006","1","0","1","1","0","10046","5046006","6"
"5072006","pt","1007","3","0","1","3","0","10072","5072006","7"
"5080000","pt","1008","3","0","0","3","5080700","10080","5080007","8"
"0","pt","1009","0","0","0","0","9004201","0","0","9"
"5096007","pt","1010","1","0","1","3","5096700","10096","5096007","10"
"5126000","pt","1012","2","0","1","3","0","10126","10126107","11"
"5142000","pt","1013","3","0","1","1","5142700","10142","5142007","12"
"5156000","pt","1014","3","0","1","1","5156700","10156","5156007","13"
