fb1900e55534ad72d1a5ce52dae0678dcf2e09aa723697d67b76583c2eabee24,94227f2fd7670c77e0e48a9d13c911f235444f00a703829da09bbd38cbfecc8a,1e9a4d94ac3c3fc6bc7f686baf4225741820d00875637262e8a2742542be214c,e2fb388d8ac5fecf281fb314ebf2cf4388272a1451b1a744aa07fd8afdb5270a,05d18f4fb6faa002d450164d5e7d41377a339ea95195dbd79a3eeb3a79d5244d,80fa29380112b57188b0f9023e3fa1fa1fb35e71382c8830a14690ea1e586d34
"1","1","自動","","2019/02/15 15:00:00","1"
"2","2","預設","","2019/02/15 15:00:00","2"
"3","3","周年","","2020/08/03 16:00:00","3"
"1","4","粉紅色","","2020/04/20 12:00:00","4"
"1","5","紅色","","2020/04/20 12:00:00","5"
"1","6","黃色","","2020/04/20 12:00:00","6"
"1","7","綠色","","2020/04/20 12:00:00","7"
"1","8","淺藍色","","2020/04/20 12:00:00","8"
"1","9","藍色","","2020/04/20 12:00:00","9"
"1","10","紫色","","2020/04/20 12:00:00","10"
"1","11","灰色","","2020/04/20 12:00:00","11"
