03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2,ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360
"1","3000000","94002","12","100101"
"2","300","20004","2","100101"
"3","1000","90008","2","100102"
"4","6","25001","2","100103"
"5","1000000","94002","12","100104"
"6","300","20004","2","100104"
"7","1000","90008","2","100105"
"8","6","25001","2","100106"
"9","40","91002","8","100107"
"10","1000000","94002","12","100107"
"11","300","20004","2","100107"
"12","1000","90008","2","100108"
"13","1","41000","2","100109"
"14","7","25001","2","100109"
"15","1000000","94002","12","100110"
"16","400","20004","2","100110"
"17","1500","90008","2","100111"
"18","40","91002","8","100112"
"19","7","25001","2","100112"
"20","1000000","94002","12","100113"
"21","400","20004","2","100113"
"22","1500","90008","2","100114"
"23","1","41000","2","100115"
"24","7","25001","2","100115"
"25","1000000","94002","12","100116"
"26","500","20004","2","100116"
"27","40","91002","8","100117"
"28","1500","90008","2","100117"
"29","2000000","94002","12","100118"
"30","8","25001","2","100118"
"31","2000","90008","2","100118"
"32","3000000","94002","12","100201"
"33","300","20004","2","100201"
"34","1000","90008","2","100202"
"35","12","25001","2","100203"
"36","1000000","94002","12","100204"
"37","300","20004","2","100204"
"38","1000","90008","2","100205"
"39","10","25001","2","100206"
"40","40","91002","8","100207"
"41","1000000","94002","12","100207"
"42","300","20004","2","100207"
"43","1000","90008","2","100208"
"44","1","41000","2","100209"
"45","10","25001","2","100209"
"46","1000000","94002","12","100210"
"47","400","20004","2","100210"
"48","1500","90008","2","100211"
"49","40","91002","8","100212"
"50","9","25001","2","100212"
"51","1000000","94002","12","100213"
"52","400","20004","2","100213"
"53","1500","90008","2","100214"
"54","1","41000","2","100215"
"55","1000000","94002","12","100216"
"56","500","20004","2","100216"
"57","40","91002","8","100217"
"58","1500","90008","2","100217"
"59","2000000","94002","12","100218"
"60","2000","90008","2","100218"
"61","3000000","94002","12","100301"
"62","300","20004","2","100301"
"63","1000","90008","2","100302"
"64","12","25001","2","100303"
"65","1000000","94002","12","100304"
"66","300","20004","2","100304"
"67","1000","90008","2","100305"
"68","10","25001","2","100306"
"69","40","91002","8","100307"
"70","1000000","94002","12","100307"
"71","300","20004","2","100307"
"72","1000","90008","2","100308"
"73","1","41000","2","100309"
"74","10","25001","2","100309"
"75","1000000","94002","12","100310"
"76","400","20004","2","100310"
"77","1500","90008","2","100311"
"78","40","91002","8","100312"
"79","9","25001","2","100312"
"80","1000000","94002","12","100313"
"81","400","20004","2","100313"
"82","1500","90008","2","100314"
"83","1","41000","2","100315"
"84","1000000","94002","12","100316"
"85","500","20004","2","100316"
"86","40","91002","8","100317"
"87","1500","90008","2","100317"
"88","2000000","94002","12","100318"
"89","2000","90008","2","100318"
"90","3000000","94002","12","100401"
"91","300","20004","2","100401"
"92","1000","90008","2","100402"
"93","12","25001","2","100403"
"94","1000000","94002","12","100404"
"95","300","20004","2","100404"
"96","1000","90008","2","100405"
"97","10","25001","2","100406"
"98","40","91002","8","100407"
"99","1000000","94002","12","100407"
"100","300","20004","2","100407"
"101","1000","90008","2","100408"
"102","1","41000","2","100409"
"103","10","25001","2","100409"
"104","1000000","94002","12","100410"
"105","400","20004","2","100410"
"106","1500","90008","2","100411"
"107","40","91002","8","100412"
"108","9","25001","2","100412"
"109","1000000","94002","12","100413"
"110","400","20004","2","100413"
"111","1500","90008","2","100414"
"112","1","41000","2","100415"
"113","1000000","94002","12","100416"
"114","500","20004","2","100416"
"115","40","91002","8","100417"
"116","1500","90008","2","100417"
"117","2000000","94002","12","100418"
"118","2000","90008","2","100418"
"119","3000000","94002","12","100501"
"120","300","20004","2","100501"
"121","1000","90008","2","100502"
"122","12","25001","2","100503"
"123","1000000","94002","12","100504"
"124","300","20004","2","100504"
"125","1000","90008","2","100505"
"126","10","25001","2","100506"
"127","40","91002","8","100507"
"128","1000000","94002","12","100507"
"129","300","20004","2","100507"
"130","1000","90008","2","100508"
"131","1","41000","2","100509"
"132","10","25001","2","100509"
"133","1000000","94002","12","100510"
"134","400","20004","2","100510"
"135","1500","90008","2","100511"
"136","40","91002","8","100512"
"137","9","25001","2","100512"
"138","1000000","94002","12","100513"
"139","400","20004","2","100513"
"140","1500","90008","2","100514"
"141","1","41000","2","100515"
"142","1000000","94002","12","100516"
"143","500","20004","2","100516"
"144","40","91002","8","100517"
"145","1500","90008","2","100517"
"146","2000000","94002","12","100518"
"147","2000","90008","2","100518"
"148","3000000","94002","12","100601"
"149","300","20004","2","100601"
"150","1000","90008","2","100602"
"151","12","25001","2","100603"
"152","1000000","94002","12","100604"
"153","300","20004","2","100604"
"154","1000","90008","2","100605"
"155","10","25001","2","100606"
"156","40","91002","8","100607"
"157","1000000","94002","12","100607"
"158","300","20004","2","100607"
"159","1000","90008","2","100608"
"160","1","41000","2","100609"
"161","10","25001","2","100609"
"162","1000000","94002","12","100610"
"163","400","20004","2","100610"
"164","1500","90008","2","100611"
"165","40","91002","8","100612"
"166","9","25001","2","100612"
"167","1000000","94002","12","100613"
"168","400","20004","2","100613"
"169","1500","90008","2","100614"
"170","1","41000","2","100615"
"171","1000000","94002","12","100616"
"172","500","20004","2","100616"
"173","40","91002","8","100617"
"174","1500","90008","2","100617"
"175","2000000","94002","12","100618"
"176","2000","90008","2","100618"
"177","3000000","94002","12","100701"
"178","300","20004","2","100701"
"179","1000","90008","2","100702"
"180","12","25001","2","100703"
"181","1000000","94002","12","100704"
"182","300","20004","2","100704"
"183","1000","90008","2","100705"
"184","10","25001","2","100706"
"185","40","91002","8","100707"
"186","1000000","94002","12","100707"
"187","300","20004","2","100707"
"188","1000","90008","2","100708"
"189","1","41000","2","100709"
"190","10","25001","2","100709"
"191","1000000","94002","12","100710"
"192","400","20004","2","100710"
"193","1500","90008","2","100711"
"194","40","91002","8","100712"
"195","9","25001","2","100712"
"196","1000000","94002","12","100713"
"197","400","20004","2","100713"
"198","1500","90008","2","100714"
"199","1","41000","2","100715"
"200","1000000","94002","12","100716"
"201","500","20004","2","100716"
"202","40","91002","8","100717"
"203","1500","90008","2","100717"
"204","2000000","94002","12","100718"
"205","2000","90008","2","100718"
"206","3000000","94002","12","100801"
"207","300","20004","2","100801"
"208","1000","90008","2","100802"
"209","12","25001","2","100803"
"210","1000000","94002","12","100804"
"211","300","20004","2","100804"
"212","1000","90008","2","100805"
"213","10","25001","2","100806"
"214","40","91002","8","100807"
"215","1000000","94002","12","100807"
"216","300","20004","2","100807"
"217","1000","90008","2","100808"
"218","1","41000","2","100809"
"219","10","25001","2","100809"
"220","1000000","94002","12","100810"
"221","400","20004","2","100810"
"222","1500","90008","2","100811"
"223","40","91002","8","100812"
"224","9","25001","2","100812"
"225","1000000","94002","12","100813"
"226","400","20004","2","100813"
"227","1500","90008","2","100814"
"228","1","41000","2","100815"
"229","1000000","94002","12","100816"
"230","500","20004","2","100816"
"231","40","91002","8","100817"
"232","1500","90008","2","100817"
"233","2000000","94002","12","100818"
"234","2000","90008","2","100818"
