2d71e5b3cc5eef69cfcdf7085f555e671ca53619e4b56253f8128eb10953412d,03f4999b5ddae110e2c1de276f32284acc3b7cc9c9e1ce7a8a9b16c3ef7a9316,4a1e6f75d2f166ab791ed1d1dc48fa55db542afb9e62c57ea6fcdf62541f8360,ecb4a8f2367ab910c27dfce8ce822cbfac9efd05f5ba66e377a61a3a85907311,4f7eff93512e75ab341f2d9fad577c99c7fef630fcc91e62c89bc399e6720ac2
"3000000","1","100101","12","94002"
"300","2","100101","2","20004"
"1000","3","100102","2","90008"
"6","4","100103","2","25001"
"1000000","5","100104","12","94002"
"300","6","100104","2","20004"
"1000","7","100105","2","90008"
"6","8","100106","2","25001"
"40","9","100107","8","91002"
"1000000","10","100107","12","94002"
"300","11","100107","2","20004"
"1000","12","100108","2","90008"
"1","13","100109","2","41000"
"7","14","100109","2","25001"
"1000000","15","100110","12","94002"
"400","16","100110","2","20004"
"1500","17","100111","2","90008"
"40","18","100112","8","91002"
"7","19","100112","2","25001"
"1000000","20","100113","12","94002"
"400","21","100113","2","20004"
"1500","22","100114","2","90008"
"1","23","100115","2","41000"
"7","24","100115","2","25001"
"1000000","25","100116","12","94002"
"500","26","100116","2","20004"
"40","27","100117","8","91002"
"1500","28","100117","2","90008"
"2000000","29","100118","12","94002"
"8","30","100118","2","25001"
"2000","31","100118","2","90008"
"3000000","32","100201","12","94002"
"300","33","100201","2","20004"
"1000","34","100202","2","90008"
"12","35","100203","2","25001"
"1000000","36","100204","12","94002"
"300","37","100204","2","20004"
"1000","38","100205","2","90008"
"10","39","100206","2","25001"
"40","40","100207","8","91002"
"1000000","41","100207","12","94002"
"300","42","100207","2","20004"
"1000","43","100208","2","90008"
"1","44","100209","2","41000"
"10","45","100209","2","25001"
"1000000","46","100210","12","94002"
"400","47","100210","2","20004"
"1500","48","100211","2","90008"
"40","49","100212","8","91002"
"9","50","100212","2","25001"
"1000000","51","100213","12","94002"
"400","52","100213","2","20004"
"1500","53","100214","2","90008"
"1","54","100215","2","41000"
"1000000","55","100216","12","94002"
"500","56","100216","2","20004"
"40","57","100217","8","91002"
"1500","58","100217","2","90008"
"2000000","59","100218","12","94002"
"2000","60","100218","2","90008"
"3000000","61","100301","12","94002"
"300","62","100301","2","20004"
"1000","63","100302","2","90008"
"12","64","100303","2","25001"
"1000000","65","100304","12","94002"
"300","66","100304","2","20004"
"1000","67","100305","2","90008"
"10","68","100306","2","25001"
"40","69","100307","8","91002"
"1000000","70","100307","12","94002"
"300","71","100307","2","20004"
"1000","72","100308","2","90008"
"1","73","100309","2","41000"
"10","74","100309","2","25001"
