94e8c028e6d80497d59b8f21638cd25f59ffa2d679040f33b789f37724efb4e5,0b82a63c1b3f633e9bf35336dc00390b99932f4de50c4e574233c24e1dafc8a5,5b0f90293f2551056b9da4cd840038a51b5d34575d9ff1d1f1c7a3c4d2ee5ce2,16e0b504216e8cb7b0ee0face80c339909933d5941e2e3d8f56427fc0ba1eec4,b75e3f8c6186e89ed48e2f3d1daf95ba4d89cf6d64f95bf35658307ea6cc69e4,c5268d5292620c076396981ebaa5ecc61516136be215c00b3e67fef893110654,084e70ef69769ef98898200e40b99dcb23be3ccd1ed6e12994a2fe1f836920e6,c74c03bcad4b056d5073c82018e7794cd6242bec10b17e89d21962a59c52f317,9f1f2deb308abaa33741204ef63780af640aaa3577dfbcc2be9ee4089ab71623,e6a37a26d08b4c91799d37f2d9e5c64694c905d2b805e151a6fc0bdc3213e85c,694e8c7e4228c6ce1110fae1117cc88e576f7cfdb44205e50d77b7dcdf52d9e7,a4a6dce91e1ad90e2c43c9d1230cff1e618fb30ecbb07c9bd7566c6370489266,a76078dc48097652cac74704936af54a2c23f52c5617b93d3d7794c2cd0dd32d,31f962de5a7f2853147713b32698b86bf1034d9397a0c0ded5b430dd270bf0c2,2a7a683e1ec4514f6bc0db9ff36e98d76e8f6bc7b7b859ef8af64cba90f30923,bac9cf9ef42056b32eee31b17b1410f774c000de68a9ec86ec4546537a4187f4,b2e27c523acd01b6f88f14db3088ead8a453fc9adc782707093adc8012012db4,e9ceb4c2f06dd01dd4e8b78fbf60dcad3299c3a40c94795ee4db8d81d56c3ca4
"bgm_M220","機械莉瑪來襲！","0","1","500000000000","2020/04/01 07:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","480","1","4004101","2020/04/01","1001001","0","100584","1","1001","250000000001"
"bgm_M220","機械莉瑪來襲！","0","2","250000000000","2020/04/01 12:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","300","1","4004102","2020/04/01 08:00:00","1001002","0","100584","2","1001","150000000001"
"bgm_M220","機械莉瑪來襲！","0","3","150000000000","2020/04/01 17:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","300","1","4004103","2020/04/01 13:00:00","1001003","0","100584","3","1001","50000000001"
"bgm_M220","機械莉瑪來襲！","0","4","50000000000","2020/04/01 19:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","120","1","4004104","2020/04/01 18:00:00","1001001","0","100584","1","1001","25000000001"
"bgm_M220","機械莉瑪來襲！","0","5","25000000000","2020/04/01 23:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","240","1","0","2020/04/01 20:00:00","1001002","0","100584","2","1001","0"
"bgm_M220","機械莉瑪來襲！","0","8","0","2020/04/01 07:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","480","1","4004109","2020/04/01","1001004","0","100584","1","1001","0"
"bgm_M220","機械莉瑪來襲！","0","9","0","2020/04/01 12:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","300","1","0","2020/04/01 08:00:00","1001005","0","100584","2","1001","0"
"bgm_M220","機械莉瑪來襲！","0","10","0","2020/04/01 17:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","300","1","0","2020/04/01 13:00:00","1001006","0","100584","3","1001","0"
"bgm_M220","機械莉瑪來襲！","0","11","0","2020/04/01 20:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","180","1","0","2020/04/01 18:00:00","1001004","0","100584","1","1001","0"
"bgm_M220","機械莉瑪來襲！","0","12","0","2020/04/01 23:59:59","bgm_M220","王都滅亡前倒數　～04/01 23:59","180","1","0","2020/04/01 21:00:00","1001005","0","100584","2","1001","0"
