0ff1eaf724da78eb38fae8413641bcf4915de1ddb31ec7c19abc1b390380ba5c,877a0d860647441def5469b1943ce843f708a3451e7e13ed60ff9bda436cdb84,0d51ffa7b482abed2b5a5f0f53694985babc47e60b23302573d7b2496bdbeedd,eb15bc028b81e1ee8f4ee611966a3b1d116538bcde922582e523ae84a68423f2,c261df91687e89ad730d4bf041a3be4c44e3c1ff62ec8c8cf2edea0f7a62abcc,974737c589d963a0b068d45b37cba103879617a14a7b81b9506e36af4de30675,66c93d0e1514c7add64e54e4a0952602ca5ef8b1bbbf73a5dca6d34e09081d1a
"1","1004","150","50","200","100","250"
"2","1004","240","80","320","160","400"
"3","1004","150","50","200","100","250"
"5","1004","150","50","200","100","250"
"6","1004","240","80","320","160","400"
"12","1004","1","1","2","1","3"
"1","1005","150","50","200","100","250"
"3","1005","150","50","200","100","250"
"4","1005","240","80","320","160","400"
"5","1005","150","50","200","100","250"
"7","1005","240","80","320","160","400"
"13","1005","1","1","2","1","3"
"1","1010","75","25","100","50","125"
"2","1010","120","40","160","80","200"
"3","1010","75","25","100","50","125"
"5","1010","75","25","100","50","125"
"6","1010","120","40","160","80","200"
"1","1011","75","25","100","50","125"
"3","1011","75","25","100","50","125"
"4","1011","120","40","160","80","200"
"5","1011","75","25","100","50","125"
"7","1011","120","40","160","80","200"
"1","1006","300","100","400","200","500"
"2","1006","150","50","200","100","250"
"3","1006","300","100","400","200","500"
"5","1006","300","100","400","200","500"
"6","1006","150","50","200","100","250"
"12","1006","1","1","2","1","3"
"1","1007","300","100","400","200","500"
"3","1007","300","100","400","200","500"
"4","1007","150","50","200","100","250"
"5","1007","300","100","400","200","500"
"7","1007","150","50","200","100","250"
"13","1007","1","1","2","1","3"
"1","1008","75","25","100","50","125"
"2","1008","120","40","160","80","200"
"3","1008","75","25","100","50","125"
"5","1008","75","25","100","50","125"
"6","1008","120","40","160","80","200"
"14","1008","1","1","2","1","3"
"1","1009","75","25","100","50","125"
"3","1009","75","25","100","50","125"
"4","1009","120","40","160","80","200"
"5","1009","75","25","100","50","125"
"7","1009","120","40","160","80","200"
"14","1009","1","1","2","1","3"
"1","1012","150","50","200","100","250"
"2","1012","240","80","320","160","400"
"3","1012","150","50","200","100","250"
"5","1012","150","50","200","100","250"
"6","1012","240","80","320","160","400"
"12","1012","3","1","4","2","5"
