110625afadba5f1d449f493e4c40c0fb9782e18a03f3f6bf495e80f10376d0bb,3a9b8154399cac0a24900715b7fe5f5e099636dc57a005749f4e30399fa5a489,a4dced4e2038b798c0961700f63e6ddc4a4a74ec3a80383814b57ddf6bf6a0ef,3d1c38327b7868a49da90503b2de5a2aa1dd72c813a1e23e6ce9ba5076b5cd5c,6a196e3907c2331539ca971d21e29e89063b7693fd4fc8f11ae8aa4ba4f0a9c6,2dc66301494e2f3e8ea5917dcb6c007d5df7350195328ae6c6e017f6a8cb63ff,b17731c7298c463d05e0cf073325e7f272514edf24c952b87cca436273e74271,1aa6c8fc22c11940a7f6cf78b84d393ec51ce596c4d90295ff0b95caf6d0da4c,965e3cbc8bbf3a772a7ac9abf88bfbddd0e95ebf3fdadd3a79c198c54e07abf2,59220bc2c6fcaebd5d929a59137f89c9f9214f3608675c8451fedba979e6a92d,14d5381eb101a25c1dc2738d16358e61087c30e333e0d67955563fc2533421eb,3f8907ace599b94839b3a2781f05dfb4d94b09822bf9dd272bbcba883b12806e,b341e4253ad9e682ab2f4c61464b8503d0e2cec3f6c07553d0d28a20293e9d5e
"1","0","1","0","0","2030/03/26 14:59:00","2018/08/24 16:00:00","10001","bgm_M33","bgm_M33","380000","380000","0"
"1","0","2","0","0","2030/03/26 14:59:00","2018/10/01 16:00:00","10002","bgm_M99","bgm_M99","380000","380000","0"
"1","0","3","0","0","2030/03/26 14:59:00","2018/10/30 16:00:00","10003","bgm_M107","bgm_M107","380000","380000","0"
"1","0","4","0","0","2030/03/26 14:59:00","2018/11/29 16:00:00","10004","bgm_M113","bgm_M113","380000","380000","0"
"1","0","5","0","0","2030/03/26 14:59:00","2019/01/01 16:00:00","10005","bgm_M121","bgm_M121","380000","380000","0"
"1","0","6","0","0","2030/03/26 14:59:00","2019/01/30 16:00:00","10006","bgm_M128","bgm_M128","380000","380000","0"
"1","0","7","0","0","2030/03/26 14:59:00","2019/03/04 16:00:00","10007","bgm_M135","bgm_M135","380000","380000","0"
"1","0","8","0","0","2030/03/26 14:59:00","2019/04/01 16:00:00","10008","bgm_M162","bgm_M162","380000","380000","0"
"1","0","9","0","0","2030/03/26 14:59:00","2019/04/30 16:00:00","10009","bgm_M171","bgm_M171","380000","380000","0"
"1","0","10","0","0","2030/03/26 14:59:00","2019/05/31 16:00:00","10010","bgm_M182","bgm_M182","380000","380000","0"
"1","0","11","0","0","2030/03/26 14:59:00","2019/06/28 16:00:00","10011","bgm_M189","bgm_M189","380000","380000","0"
