03d00cbb0901454b33d14d41c482448c0b24a6eed1bcb1a35cdd7fce33187457,4fa3ec939cbf593c96fe88a9f4b2b7d367bf7d1122920bff49e67efc63922953,c03246d491749498a6374fb13bd62df90b7a95ec0d22277ace11430e10fa8673,72df153f37b3f62d1e8a06d4dab3cba9306ed01fb46ced2aa14a58946fbfc665,a59a9f5ee9ab1cde1520dfe100bed6d5ebeafd4264563a70fa0bb2436fa9a695,70d811c86b1f8f7b9841b55d1b8271851e046e85cd835dcd232f85716f5046c6,0be848765b43e33dce4e0ceaa254636d5f871b1e94f7eafba30638c888953c80
"紡希的模型","對小細節極其講究又充滿躍動感，至高無上的紡希模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","10101","1","0.478515625","3","0.3046875"
"望的模型","對小細節極其講究又充滿躍動感，至高無上的望模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","10102","1","0.490234375","3","0.365234375"
"千歌的模型","對小細節極其講究又充滿躍動感，至高無上的千歌模型。\n能夠歷歷在目地回憶起最棒演唱會的亢奮之情與感動，\n為每一天帶來活力。","10103","1","0.478515625","3","0.291015625"
"紡希的親筆簽名板","強烈表現出紡希個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","10201","2","0.440625","3","0.440625"
"望的親筆簽名板","強烈表現出望個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","10202","2","0.440625","3","0.440625"
"千歌的親筆簽名板","強烈表現出千歌個性的親筆簽名板。上頭還寫著含藏了心意的訊息。\n似乎有很多粉絲奉為傳家之寶。","10203","2","0.440625","3","0.440625"
"紡希的紀念別針","紡希的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","10301","3","1.40625","3","1.40625"
"望的紀念別針","望的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","10302","3","1.40625","3","1.40625"
"千歌的紀念別針","千歌的夏日演唱會限定紀念別針。時髦的設計帶有高級感。\n各名成員的設計都重現了個人代表色。\n以完全收齊為目標吧！","10303","3","1.40625","3","1.40625"
"慈樂之音的紀念別針","為了紀念舉辦夏日演唱會而製作的限定紀念別針。\n烙印了象徵標誌的稀有絕品。\n和各名成員的別針一起收齊吧！","10304","3","1.40625","3","1.40625"
"紡希的人物照片","紡希的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對紡希的心意變得更加熱情。","10401","7","0.675","2","1.0875"
"紡希的夏日版人物照片","紡希穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","10402","7","0.675","2","1.0875"
"紡希的萬聖節版人物照片","紡希穿著萬聖節服裝的人物照片組。\n包含無數只能在萬聖節見到的珍貴畫面。\n甜甜的糖果和惡作劇都充滿了魅力。萬聖節快樂！","10403","7","0.675","2","1.0875"
"望的人物照片","望的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對望的心意變得更加熱情。","10404","7","0.675","2","1.0875"
