1c284065b23857993fab80cfac67d92fdf562f7e6080c49d1f54a620d9e9774b,2062aa0b39c71fefcd69261f4207e956f5cd49937a19ce93f636c8d80af71a79,8b04fa659a25672e4457a872fd1b3c2df60913b24a1d2978d41617786a08879a,e137fd765fc8d16874e8a881818d8bd418e82574f7a8e22e04e0790755c8a224,1fae10e838d8f9be2058944df8d594a2b078156ac3952bd1238640065a0ef50f,9166b8c33438399d2d278b3985552c7fce99442411f3ff43b9e4ecefd701fef8,97425bde9c6b0b2839e9e8323003cab7822add09ece9a70771511920b5af2748
"50000","94002","取得累積分數2500分","5126700","1","12","2500"
"50000","94002","取得累積分數5000分","0","1","12","5000"
"50000","94002","取得累積分數7500分","0","1","12","7500"
"1","2839","取得累積分數10000分","5126701","1","7","10000"
"80000","94002","取得累積分數12500分","0","1","12","12500"
"80000","94002","取得累積分數15000分","0","1","12","15000"
"80000","94002","取得累積分數17500分","0","1","12","17500"
"25","91002","取得累積分數20000分","5126702","1","8","20000"
"100000","94002","取得累積分數22500分","0","1","12","22500"
"100000","94002","取得累積分數25000分","0","1","12","25000"
"100","91002","取得累積分數27500分","0","1","8","27500"
"1","11001262","取得累積分數30000分","5126703","1","15","30000"
"50000","94002","取得累積分數2500分","5126710","2","12","2500"
"50000","94002","取得累積分數5000分","0","2","12","5000"
"50000","94002","取得累積分數7500分","0","2","12","7500"
"1","2840","取得累積分數10000分","5126711","2","7","10000"
"80000","94002","取得累積分數12500分","0","2","12","12500"
"80000","94002","取得累積分數15000分","0","2","12","15000"
"80000","94002","取得累積分數17500分","0","2","12","17500"
"25","91002","取得累積分數20000分","5126712","2","8","20000"
"100000","94002","取得累積分數22500分","0","2","12","22500"
"100000","94002","取得累積分數25000分","0","2","12","25000"
"100","91002","取得累積分數27500分","0","2","8","27500"
"1","11001263","取得累積分數30000分","5126713","2","15","30000"
