f763e8befdadfe8bb5ee209a2bb997c721a0013c206b13355415f793260aeb58,e6771a7e55b3c9d2959f216caf06c9f9d9d9e15bb2e8004f5dcb65e6116b20ce,2ec7118bea1277c5e93fde786b2271196aa4d99a9971022aeeb76c16b32da939,43369115d56301ad2a9fc1e65e914b08aec4bdd708c3b8c024c5f79cbb2ea61b,1cfb9f4ce6ec8eab3773a990185eb4d0e2b9437a6524242475e026d36ffe287b,0f401d697ecf0167e828aac8850b263e11eca77e7b84ed3d46524c054562d132,0a081d2aeaebb1849880df79f126fe6a27c7fe2d703391596bf28b7439463e90,78d67670cc38bb6e46597465ccbbb918c7584f38eb812ee0645b1ca516a0f780,d938ef641150e6fc7e775446c292bd4d6406f9f43f52b820903563fcc60e3139,591a8c87a1ccef2b85cb7e614efa111876bc1f7b9c52996fef290a30c2cd9a9b,74cfa1f47b6d53c8717b3a28a644fee6fc7bb7f39c7de278858e453abfa9c46d,9dc51a93b8285be622a7e30bb92e238024f5c473a288ff8bdb552e47ddb43c5e,2a32ac1dc209f70d7950a4a44cdc043b66d9fa4847e68be4a50bdb9d3447862d,c494fd2a5de8fb4041ed0f3958a74e4f7a4cc63bc237e5f7292da46e39509ace,d1218cfdb6bb64a4d0bbfc98923acb40a41ef043fa19a3e58f9704dae04b2b88,2650397b6cd888048b80bf3f2071258e5a6e952e66377676e9c6fa13a6382a2e,4f02c70c446d81e5c93def467f7bf16326be8d9db8ea0560ad5242d672baa1bd,d89a4ca90028842173ad020d6be5f398aa8e014cc208f0c618950ae9f1713736,2b295fc9944168927281e45f1ec31091c057eba996fc1ea9eaeba910a2d1afa3,77a8b6b7118a22e8a7de96ae403df7c99876eb2b65edadd70138a9f83356de76,fa02c2686a3dfb3b6ca301ae3f92fdb980ba922d518487795b81890b888f6dd5,b89612043591d9219976ad9d07e3afef4a1c2c58f48bb184cbf161343b01e278,752ce831f61680c02b5930b61d5dbfad76250f731fe2ad1baae97d29d513ef08,690ea1fab87106f28de05c1b3daa3768335e05f7ff4769f42d55aa953829ec6e
"5","15063001","11063","0","1","2","2","2","31013","5","-120","-356","2015/12/17 15:00:00","5","0","31009","300010","31056","【暮光流星群】出動！","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15063002","11063","0","1","2","2","2","31005","5","-168","-214","2015/12/17 15:00:00","5","0","31043","300010","31053","背面世界的戰鬥訓練","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15063003","11063","0","1","2","2","2","31050","5","-65","-84","2015/12/17 15:00:00","5","0","31016","300010","31018","前往背面世界的畢業旅行？","8","30","在戰鬥中獲得勝利。","0","91002"
"0","15063004","11063","0","2","0","0","0","0","0","109","-116","2015/12/17 15:00:00","0","0","0","300020","0","《EX》成群的危險暗影","8","150","在戰鬥中獲得勝利。","0","91002"
"5","15063005","11063","0","1","2","2","2","31036","5","-120","614","2015/12/17 15:00:00","5","0","31020","300010","31004","小小反轉大冒險","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15063006","11063","0","1","2","2","2","31022","5","51","655","2015/12/17 15:00:00","5","0","31006","300010","31044","目標，出征背面世界？","8","30","在戰鬥中獲得勝利。","0","91002"
"0","15063007","11063","0","2","0","0","0","0","0","30","881","2015/12/17 15:00:00","0","0","0","300020","0","《EX》成群的危險暗影","8","150","在戰鬥中獲得勝利。","0","91002"
"5","15064001","11064","0","1","2","2","0","0","5","-179","-247","2015/12/17 15:00:00","0","0","31066","300010","31065","代替招呼的背面世界火拼！","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15064002","11064","0","1","2","2","2","31034","5","-105","0","2015/12/17 15:00:00","5","0","31048","300010","31032","新生意的甜～美香氣","8","30","在戰鬥中獲得勝利。","0","91002"
"0","15064003","11064","0","2","0","0","0","0","0","-90","159","2015/12/17 15:00:00","0","0","0","300020","0","《EX》危險的魔物‧胡狼與眼蔓","8","150","在戰鬥中獲得勝利。","0","91002"
"0","15064004","11064","0","1","0","2","0","0","10","-79","453","2015/12/17 15:00:00","0","0","0","300010","90005","用火箭拳擊退魔物！","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15064005","11064","0","1","2","2","2","31023","5","58","570","2015/12/17 15:00:00","5","0","31021","300010","31028","在背面世界野餐？","8","30","在戰鬥中獲得勝利。","0","91002"
"0","15064006","11064","0","2","0","0","0","0","0","-18","905","2015/12/17 15:00:00","0","0","0","300020","0","《EX》危險暗影與怪鳥獸","8","150","在戰鬥中獲得勝利。","0","91002"
"5","15065001","11065","0","1","2","2","2","31011","5","-123","-442","2015/12/17 15:00:00","5","0","31022","300010","31006","妹妹們的照顧之戰","8","30","在戰鬥中獲得勝利。","0","91002"
"5","15065002","11065","51011","1","2","2","2","31026","5","117","-289","2015/12/17 15:00:00","5","2","31033","300010","31052","背面世界開拓記","8","30","在戰鬥中獲得勝利。","1","91002"
