50760b83ee97269728c124bc7c6355132f7a5031946e2228a885e1727a6dea3c,e03b0763e4871b4a8edf81e2798b4e6764c5e927e5cc0b1638200620fbd53256,1d925fa7908437a73e3319d8fdbe015a99fb02721ed2493083357037dbd66716,7e69fab82e0e492bb0e9bcf1774d2cd222d67a4ab33f5b2bed561e3a3860bcd8,fa67eab683db6edc32aaa22bf20900560677b95e3af4d7483b37e3513654e04c,112796d4d8c878f85a7ad8b1d2747d7b5ffd62376d1bc444ccd0fb5a7f01013c,bd07572b9f155df71bc865481b0adffe16866d9e1f5287f4dfd46b0e9c0b72b7
"0","","10008111","10008101","1","1","0"
"0","","10008115","10008112","1","2","0"
"0","","10008103","10008101","3","3","0"
"0","","10008115","10008105","3","4","0"
"0","","150","10008112","4","5","0"
"0","","10028111","10028101","1","6","0"
"0","","10028115","10028112","1","7","0"
"0","","10028103","10028101","3","8","0"
"0","","10028115","10028105","3","9","0"
"0","","150","10028112","4","10","0"
"20012107","","20012104","20012104","11","11","0"
"20012109","","20012108","20012108","11","12","0"
"20012114","","20012110","20012110","11","13","0"
"20012115","","20012115","20012115","11","14","0"
"0","","120","20012110","4","15","0"
"0","","20008111","20008101","1","16","0"
"0","","20008115","20008112","1","17","0"
"0","","20008103","20008101","3","18","0"
"0","","20008115","20008105","3","19","0"
"0","","150","20008112","4","20","0"
