3f3276d07cff522f0a50a8f704d148b1f4351de85f6cd45dbe173312874b04c3,5a36ce9895b3636604e7eac58e1ed459ed0f39d05de572bbca9200e6fd119977,4de03be2a404d285dde70132debd67ed3c146ec180dd348178eca4dc67ad6b51,20aa2431e1832a94c8d2a9fba45de7a9f9737577f39b0eb09ee9fe9eddfd22ed,da71ec1e325e665062c9b4a0787c723a01dea2e990a923fa8cf430059b679c34,a926532bef2a16d70b7e3224f9a76633001520b0243ba4cd88b7351e4fe112a9,5835227f158235c071b964ed9077cd6dc08ce31c6e665c5940936b1be1b5faee
"8","2500","101","91002","10","1","獲得累積分數2500分"
"8","5000","102","91002","10","1","獲得累積分數5000分"
"8","10000","103","91002","10","1","獲得累積分數10000分"
"8","12500","104","91002","10","1","獲得累積分數12500分"
"8","15000","105","91002","10","1","獲得累積分數15000分"
"8","20000","106","91002","10","1","獲得累積分數20000分"
"8","25000","107","91002","10","1","獲得累積分數25000分"
"8","30000","108","91002","10","1","獲得累積分數30000分"
"8","35000","109","91002","10","1","取得累積分數35000分"
"8","40000","110","91002","10","1","取得累積分數40000分"
"8","45000","111","91002","10","1","取得累積分數45000分"
"15","50000","112","11001302","1","1","取得累積分數50000分"
"8","2500","201","91002","10","2","獲得累積分數2500分"
"8","5000","202","91002","10","2","獲得累積分數5000分"
"8","10000","203","91002","10","2","獲得累積分數10000分"
"8","12500","204","91002","10","2","獲得累積分數12500分"
"8","15000","205","91002","10","2","獲得累積分數15000分"
"8","20000","206","91002","10","2","獲得累積分數20000分"
"8","25000","207","91002","10","2","獲得累積分數25000分"
"8","30000","208","91002","10","2","獲得累積分數30000分"
"8","35000","209","91002","10","2","取得累積分數35000分"
"8","40000","210","91002","10","2","取得累積分數40000分"
"8","45000","211","91002","10","2","取得累積分數45000分"
"15","50000","212","11001303","1","2","取得累積分數50000分"
