e9410d6de9382b5f3c8e594aa01e4627b15edcacbc8dda2fad77f12771957e41,8f525411748507372458ecf2543b3e02dbb7a0e761d0785a5b0cf3acd1f427b0,f7b8195b77263b3c9f7c868b17964ae2f2691c6ce6cbd4017014fc9960c43fe3,575380353834c418631159b6069357937e59083389dec4a148a0e1db2b530da2,b281cbafb924166fcfb89579b5eb506b9a26d8e492c28f088f25727f6506c81b,42a08a40bed3b3f43ed4586cac286d05368a8aefccbcb919e6e056491d177252,312e41e2f29d6518c4173785e10ebec1d732937def9447ab31700e1bc855cb74,ee7e9d7297999485497659489a997cbe28b6285b50f38a60e066c2e7b04f8f9a,c9a629b430815da2508197d8f4487184a8e152da7a573e9f2b5cb143b79dabdf,c2d8eb89c03f3d5b7cf014b6b36fc7676f37a8d1c25144a145576c0ce96c42ae,c6a93a50c02b3fab093dcfd19ed30e79083705727b3ce420d9e91ee46b23a8af,890d64d053af07e4fe7c1ebd384bd6ec80da785e02a8ef68ccaf10886a602d05,7986b66adea872852cc09a50e08bcfd2531e4605380dbb1f89281dc800a05d8f,0c63aa07fb7d1811ec5a9f342c05c917f472ef12fbebbe8bff89487c9708c964,018af5b4242967a0675ec1cb10aa2b833425a46bc2e05a079abb9078dae30b9c,8e57d7ddfc1a258c15d827ff43a8a1d01f3dda07bd9be718d78c54d226cf8bea,1493e0e9665963c119d7f40f194fb5eb6e0a7606b978c45b62907998bccaa77a,af2531f1d035a6ee7c0ef02d1b461866b9b742768eddb246ace083b2b6c4917d,48cf059021186d33990730a0b653f17170e0eddf30ccb21e4ac3fb78218039f5
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32001","2","2","4","500","2","90005","1"
"2","25001","0","0","140001","500000","4","91002","1","0","10","32001","12","1","2","200","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32001","2","2","4","500","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32001","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32001","2","2","4","500","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32001","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32001","2","2","4","750","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32001","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32001","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32001","12","1","2","1500","2","94002","1"
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32002","2","2","4","500","2","90005","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32002","2","2","4","200","8","25001","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32002","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32002","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32002","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32002","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32002","2","2","4","1000","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32002","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32002","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32002","12","1","2","1500","2","94002","1"
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32003","2","2","4","500","2","90005","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32003","2","2","4","200","8","25001","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32003","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32003","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32003","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32003","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32003","2","2","4","1000","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32003","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32003","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32003","12","1","2","1500","2","94002","1"
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32004","2","2","4","500","2","90005","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32004","2","2","4","200","8","25001","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32004","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32004","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32004","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32004","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32004","2","2","4","1000","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32004","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32004","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32004","12","1","2","1500","2","94002","1"
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32005","2","2","4","500","2","90005","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32005","2","2","4","200","8","25001","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32005","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32005","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32005","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32005","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32005","2","2","4","1000","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32005","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32005","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32005","12","1","2","1500","2","94002","1"
"1","140001","94002","12","140000","10","4","90008","1","500000","5","32006","2","2","4","500","2","90005","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32006","2","2","4","200","8","25001","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","15","32006","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","2","0","20","32006","12","1","2","300","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","2","750000","25","32006","2","2","4","700","2","90005","1"
"2","25001","0","0","140001","750000","4","91002","3","0","30","32006","12","1","2","500","8","94002","1"
"1","140001","94002","12","140000","5","4","90008","3","1000000","35","32006","2","2","4","1000","2","90005","1"
"2","25001","0","0","140001","1000000","4","90008","4","0","40","32006","12","1","2","1000","2","94002","1"
"1","140001","94002","12","140000","5","4","90008","4","2000000","45","32006","2","2","4","1250","2","90005","1"
"2","25001","0","0","140001","2000000","4","90008","4","0","50","32006","12","1","2","1500","2","94002","1"
"15","90005","0","0","140001","500000","4","90008","1","0","5","32007","12","10","2","500","2","94002","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32007","2","5","4","100","8","25001","1"
"15","90005","0","0","140001","750000","4","90008","2","0","15","32007","12","5","2","1000","2","94002","1"
"5","25001","0","0","140001","750000","4","91002","2","0","20","32007","12","1","2","150","8","94002","1"
"15","90005","0","0","140001","750000","4","90008","2","0","25","32007","12","5","2","1500","2","94002","1"
"3000","140001","94002","12","90008","1","2","91002","3","750000","30","32007","2","5","4","250","8","25001","1"
"15","90005","0","0","140001","1000000","4","90008","3","0","35","32007","12","5","2","3500","2","94002","1"
"5","25001","0","0","140001","1000000","4","90008","4","0","40","32007","12","1","2","4000","2","94002","1"
"15","90005","0","0","140001","2000000","4","90008","4","0","45","32007","12","5","2","4500","2","94002","1"
"5","25001","0","0","140001","2000000","4","90008","4","0","50","32007","12","1","2","5000","2","94002","1"
"15","90005","0","0","140001","500000","4","90008","1","0","5","32008","12","10","2","500","2","94002","1"
"1","140001","94002","12","21951","1","2","91002","1","500000","10","32008","2","5","4","100","8","25001","1"
"15","90005","0","0","140001","750000","4","90008","2","0","15","32008","12","5","2","1000","2","94002","1"
"5","25001","0","0","140001","750000","4","91002","2","0","20","32008","12","1","2","150","8","94002","1"
"15","90005","0","0","140001","750000","4","90008","2","0","25","32008","12","5","2","1500","2","94002","1"
"3000","140001","94002","12","90008","1","2","91002","3","750000","30","32008","2","5","4","250","8","25001","1"
