e99adc6916bdb282c00fd45e3ed8214be22d97f297f776d9def12059cd872793,c242d540a9bf5bc6d333866553a2fb895f266e4f13b515a5dab38500ec114479,f6f11ac1499be3282b68ee4f9a261640c6801dc0c358740af34c797525c69e3c,1fbc2466e0861c92ed987973244d042677dcdfb4fd2f5c4cd5b683e803d77a38,615509011c338bded1bebdccedbc7bf673e2a122d4ae6641aa59d53a6c3aad8b,180c0858c1212b828bb7a4d8e92e9b469d1364b09c3310c6c0273259bcaeec24,b1fecd5a0f62c3fa97cb268916f4c6effbfa845afe3c6b4858a278607e3b313d,d482d307edbc8968781d7480bcf29cb0e07cd28a7abec64699c870436dd4126e,32bc424715d45992fe250ff44f05a0b08026f90535883ab85c011e805ca03fa7,115b3e2fa7aa9128ee3e7a48da5538fb76fd3f8e6efbefab28ff3bcb29bf8169,ad7fc5171de3b49098f32fbcea16d743b1b51a9e24169be0bce6dae9c8326576,efe9cc40c8ae17a7b4b2870a7b5feebf32e51801875354cb06087ac3b2fd08fd,f1707699b3b986c568cbf056938d6aa3fae33b6936cc60b6f0a3ca694895ebdc,580d10ceb0fcc436d05a7afa859001f347ba75d3ca97a426f88b3e40cfb1431b
"101","601","6008","2018/08/28 16:00:00","0","0","10001","2018/09/19 15:59:59","0","1","9012","61001001","挑戰席茲1次（NORMAL、HARD共通）","61001001"
"102","601","6004","2018/08/28 16:00:00","0","0","10001","2018/09/19 15:59:59","0","10","9004","61001002","完成10次活動冒險","61001002"
"101","601","6008","2018/10/03 16:00:00","0","0","10002","2018/10/28 15:59:59","0","1","9012","61002001","挑戰阿爾瑪1次（NORMAL、HARD共通）","61002001"
"102","601","6004","2018/10/03 16:00:00","0","0","10002","2018/10/28 15:59:59","0","10","9004","61002002","完成10次活動冒險","61002002"
"101","601","6008","2018/11/01 15:59:59","0","0","10003","2018/11/25 15:59:59","0","1","9012","61003001","挑戰食屍巨狼1次（NORMAL、HARD共通） ","61003001"
"102","601","6004","2018/11/01 15:59:59","0","0","10003","2018/11/25 15:59:59","0","10","9004","61003002","完成10次活動冒險","61003002"
"101","601","6008","2018/12/01 16:00:00","0","0","10004","2018/12/24 15:59:59","0","1","9012","61004001","挑戰1次天塔帕斯（全難度共通）","61004001"
"102","601","6004","2018/12/01 16:00:00","0","0","10004","2018/12/24 15:59:59","0","10","9004","61004002","完成10次活動冒險","61004002"
"101","601","6008","2019/01/03 16:00:00","0","0","10005","2019/01/25 15:59:59","0","1","9012","61005001","挑戰1次島鯨（全難度共通）","61005001"
"102","601","6004","2019/01/03 16:00:00","0","0","10005","2019/01/25 15:59:59","0","10","9004","61005002","完成10次活動冒險","61005002"
