32c341e7cc90326703d063c89d1ec29cf9120accebf5f19a556e1b8812a220ea,8f4b14bc7f7ab72f3064633ce5db727359a386a26aa5857be670a4d54a4bd341,a549f39b97b275e1b70abdf9c14287db2826c2f41ef67d9c9af6748ce32a20e9,68e60959a95096807a8037722ddb21dd474da492f4ae7ef3e1145abeee6ed999,bd04f79fa9aa6faae92adf93bd415b4d2236b02053f7da467bdca158c985109a
"1","1","97501","1","97501"
"3","2","97502","2","97502"
"1","3","97503","1","97503"
"1","4","97504","1","97504"
"1","5","97505","1","97505"
"3","6","97506","2","97506"
"3","7","97507","2","97507"
"3","8","97508","2","97508"
"1","9","97509","1","97509"
"1","10","97510","1","97510"
"3","11","97511","2","97511"
"3","12","97512","2","97512"
"3","13","97513","2","97513"
"3","14","97514","2","97514"
"1","15","97515","1","97515"
"3","16","97516","2","97516"
"3","17","97517","2","97517"
"3","18","97518","2","97518"
"3","19","97519","2","97519"
"3","20","97520","2","97520"
"1","21","99657","1","97521"
"1","22","99668","1","97522"
"1","23","99686","1","97523"
