ff56c8caacb220d753d7f3a61eae0e19a59a6d18e3c6325c9e3fb0dcb3da0732,f1a8c99631d07f083228244dc61a3e92e03e4e78078f9659b4618a02cdcc0199,44a288ea76a723ef2e65baaa9a7da8a48371cf85d05c337729da51069921e170,70dafc950ca3f35b8464df0149392b2897a7c8fe669e30f1c42cac8a47d1b10c,14cca31adaac927acfa1fb1dc8d3a185ca28abd272e9b5189248f8f90e820292,f5b6509cd6677326c59a11b8a15858ea7878c9c76a11c1142919661cea15ce08,e121de12cedac266de1e1ec54b2c6efd6d5898dc648e7b9cd20a175531886278,8920b370c7c67b602a75bb821d3e92fbd44d437c70c0d8c0d07895e2b2ffd025,6406a65dc706bbde2c570bf09bf8a69a4c554f0165a4be0190b88de1ee9368ba,b037f5e41cfd4ef8cc6caa27f697e72fa250f31a2281d6e9b56cec77fa0ab3d0,895f2addce4c67a2e129a090cf29280a9f87af40baf620cf02157d9ac95c93c7,3cb96ba2b9c4dc5b03acd5ba563a84fa6b13c73442c54c5ea107e99adeb5299b,8040a2965db3c387da3616eab92bf68c4b0f76e0ae54fbb6128ed54a88e5254f,e17e79883e310bcce1189352b3e2c50fbb42dfb5ec1edb9b2769dd66717c24c0,5ef882a5f1cd86a1d49c4b8d4146ca0658a7dd7d8b6208bb70f1d251c907c756,bb06f283f24e7993714cf6e6d322dcb4c2f167bfe95e4f712b4ef73e4e106682,2faa4e7443c7ba6e9f2f8aefaa9f03d18c3e717023902e6058aab883228b0c91,f4233f883887065058ebc3357fa8d29a161993fcfd3f4393b7bbe0921a7a1cbe,82e44805b77b19590fec62e93b6c076cbb415f0196af63234248a7f4efc13bfc,ebce7bd5d4a339246df110d27a184f384b1a5714e470e38e950fdbc66560999f,7d3f3fb78c5fa46aa41684a826d3c3cbfb164620cead61c4dbbd1c2ecd6e4222,750edcd432bfcd1d0d21a39c1c7b174af708a7cd6282169818dd9d0fce16194d
"1","101001","bgm_M64","1","250","1","1","-30","1","0","210","-120","-480","1001","0.6","101001","10010101","-30","0.7","0.8","10","0"
"2","101001","bgm_M64","1","0","2","1","0","1","0","200","-120","-260","1001","0.75","101001","10010102","-30","1","1.2","10","0"
"3","101001","bgm_M64","1","100","3","1","-10","1","-50","200","0","-40","1001","0.75","101001","10010103","-30","1","1.1","0","0"
"4","101001","bgm_M64","1","0","4","1","0","1","0","200","-50","240","1001","0.7","101001","10010104","-30","1","1","0","0"
"5","101011","bgm_M55","1","200","5","1","0","1","0","250","-40","480","1001","1.2","101011","10010105","-30","1","1.3","0","0"
"1","101021","bgm_M64","1","250","1","1","-30","1","0","210","-155","-480","1002","0.6","101001","10020101","-30","0.7","0.8","10","0"
"2","101021","bgm_M64","1","250","2","1","0","1","0","200","-120","-265","1002","0.75","101001","10020102","-30","1","1.2","10","0"
"3","101021","bgm_M64","1","100","3","1","-10","1","-30","200","30","-30","1002","0.9","101001","10020103","-30","1","1.4","0","-15"
"4","101021","bgm_M64","1","100","4","1","0","1","-30","200","-90","220","1002","1","101001","10020104","-30","1.25","1.5","0","0"
"5","101031","bgm_M55","1","200","5","1","0","1","0","250","0","440","1002","1.4","101011","10020105","-30","1.6","1.8","0","0"
"1","101041","bgm_M64","1","250","1","1","-30","1","0","210","-155","-470","1003","0.6","101041","10030101","-30","0.7","0.8","10","0"
"2","101041","bgm_M64","1","250","2","1","0","1","0","200","-95","-210","1003","0.75","101041","10030102","-30","1","1.2","10","0"
"3","101041","bgm_M64","1","100","3","1","-10","1","-50","200","-120","50","1003","0.75","101041","10030103","-30","1","1.1","0","0"
"4","101041","bgm_M64","1","100","4","1","0","1","-30","200","35","195","1003","0.8","101041","10030104","-30","1.2","1.5","0","0"
"5","101042","bgm_M55","1","150","5","1","0","1","-50","210","-55","450","1003","1.1","101042","10030105","-30","1.35","1.8","0","0"
"1","101161","bgm_M64","1","250","1","1","-30","1","0","210","-120","-480","1004","0.6","101161","10040101","-30","0.7","0.8","10","0"
"2","101161","bgm_M64","1","0","2","1","0","1","0","200","-120","-260","1004","0.75","101161","10040102","-30","1","1.2","10","0"
"3","101161","bgm_M64","1","100","3","1","-10","1","-30","200","55","-20","1004","0.9","101161","10040103","-30","1","1.4","0","-15"
