745dabaff519b7ebecf6b011c1d68c9c009ea198a71c9ca43a88b9924470fc14,1df2e269701d8fe0ecb59e1da7f62d16a3ea14de7af815af969a0ef8b4a53e3a,7855e7bfa5ddd84e3f39b0f1903049e257ddf97e13adb1995f9263a78767a371,faf1dc84c9a04419fa0602cdbdf14d3f5271f1c259a5f14da2922c4084c330aa,3ce062760f57d0dd0671233c35ce7deac34d3ae1ec70921c55afc70c729a977d
"1","3","3001","803100201","0"
"2","3","3001","803100202","0"
"3","3","3001","803100203","0"
"1","3","3002","803100204","0"
"2","3","3002","803100205","0"
"3","3","3002","803100206","0"
"1","3","3003","803100207","0"
"2","3","3003","803100208","0"
"3","3","3003","803100209","0"
"1","3","3004","803100210","0"
"2","3","3004","803100211","0"
"3","3","3004","803100212","0"
"1","3","3005","803100213","0"
"2","3","3005","803100214","0"
"3","3","3005","803100215","0"
"1","3","3006","803100216","0"
"2","3","3006","803100217","0"
"3","3","3006","803100218","0"
"1","3","3007","803100219","0"
"2","3","3007","803100220","0"
"3","3","3007","803100221","0"
