1b304cf20d81467f25ec540d5f62706c1a11c696663c324572e19f2259e7b063,c14d42cb7c453ab3b4ff6af987ba2bb179dbcafcebdd016f7fe09877c8240409,31665d14c43d449cf19cdceabb08cb34f7e97c38473c64fb25b2357e9a4cecfa,c9a83bf30b971a2df5498b9c35932d7ee9b7d26344d979aed39893546c85525e,ea210863044b3be18a30ab70085899211d5198357f44deb8fea24920d5993728,664278e30ac58fb8d3a8a49d35c4a4bb5db92778386d890c597037d50824d384,010237b6afb11a5a8dc4d1adca31a068e42a7778c1d1e8e0786602dd8d3711d8,5f2bccb61597e2154b6d5d0062b44d5d72ea5d22c075f86371ac0c71bb5648f6,bd4447c433cc75fd3668e4f818c0e9d5dd4ec535ecf80c97ab870afc9b332e2f,cb067146badaa9c8edaa3570f9b24d699e1e08ad7bc6acd3fd363ef0aa4da13b,4a7365e714c3005b9e55133f5271508679a05e0e104591c34e0fafe73f32879f
"1010010001","","se_travel_finish_assemble","23","0","se_travel","","","","","1001"
"1010010002","1.46","1000001","1","1","1","-160","0","-275","travel_exdrama_r_100_run","1001"
"1010010003","1.46","1000002","1","2","1","-200","0","-575","travel_exdrama_r_100_run","1001"
"1010010004","1.46","1000003","1","3","1","-250","0","-750","travel_exdrama_r_100_run","1001"
"1010010005","1.46","1000004","1","4","1","-175","1","575","travel_exdrama_r_100_run","1001"
"1010010006","1.46","1000005","1","5","1","-250","1","750","travel_exdrama_r_100_run","1001"
"1010010007","","-100","2","-160","1000001","0","","1","","1001"
"1010010008","","-275","2","-200","1000002","0","","1","","1001"
"1010010009","","-450","2","-250","1000003","0","","1","","1001"
"1010010010","","275","2","-175","1000004","0","","1","","1001"
"1010010011","","450","2","-250","1000005","0","","1","","1001"
"1010010012","","0","93","0","1","0","","0","","1001"
"1010010013","0.2","travel_exdrama_r_100_raiseup","3","0","1000001","0","0","","","1001"
"1010010014","0","travel_exdrama_r_100_idle","3","1","1000002","0","0","","","1001"
"1010010015","0","travel_exdrama_r_100_idle","3","1","1000003","0","0","","","1001"
"1010010016","0","travel_exdrama_r_100_idle","3","1","1000004","0","0","","","1001"
"1010010017","0","travel_exdrama_r_100_idle","3","1","1000005","0","0","","","1001"
"1010010018","1.46","1","5","11","1","-160","0","-100","travel_exdrama_r_100_raiseup","1001"
"1010010019","","0","93","","1","","","","","1001"
"1010010020","0.12","","6","","1000001","0","","","","1001"
"1010010021","0.12","","6","","1000002","0","","","","1001"
"1010010022","0.12","","6","","1000003","0","","","","1001"
"1010010023","0.12","","6","","1000004","0","","","","1001"
"1010010024","0.12","","6","","1000005","0","","","","1001"
"1010010025","0.12","","6","","1","0","","","","1001"
