d323a64cdbb5d08cbbc214a8f5689c38bb3a932836a24fda3da91f863c7ec924,c165f573a478629cd696fd871795ebc91e50c004de7df7543c62550c9719c9a5,36594705f3f069cd98b7d610fd5f6bce900f9d626318ac6c5576745d1cc726fa,5904a7cd22b88b1b9f1f00f8c467ca3a26ed597b3e2dcf41826eee52e8f69ad1,b4588482096e48c45a5877715c5fd542cd1732bfd5d197eab351e8106bc2fc4f,f61b2c1c587c9433749d253d084e2a34c0147afc20c0e580a81363a5d41d2938,936565ac45c09f1d405050dcce57d4e1183b0e1002ae34303bcb21126f650f40,753ca328c4f53f766be383c8d2e589796bbcbb6e7ea6c22e7e0a87d34a472b22,f12f22bd4557b16c107cba3673a4f59d0f56fab2facb3bac1409522874040c7c,b99152f56a71711027371fffa39f48c385d93742e9bc525e3aba1ed574437248,a464e59e4e8d88673e5b1d4de78344ba0257ddcfcf81651386d56523f33e3ea4,7057c3cfaa1ccb7431e4807035bfabc2fa6697250c1e2c412b568c75f6da6ea1
"0","0.8","1","0","0","100700101","1","0","0","0","4","1007001"
"0","0","0","vo_svd_0101","0","100700102","2","0","vo_svd","0","2","1007001"
"300","0","0","0","1","100700103","3","1.684","0","0","1","1007001"
"0","1.949","1","0","0","100700104","4","0","0","0","4","1007001"
"327","0","0","0","2","100700105","5","1.363","0","15","1","1007001"
"0","3.027","1","0","0","100700106","6","0","0","0","4","1007001"
"0","0","0","vo_svd_0102","0","100700107","7","0","vo_svd","0","2","1007001"
"441","0","0","0","3","100700108","8","1.69","0","0","1","1007001"
"0","1.7","1","0","0","100700109","9","0","0","0","4","1007001"
"478","0","0","0","4","100700110","10","1.446","0","0","1","1007001"
"0","1.722","1","0","0","100700111","11","0","0","0","4","1007001"
"478","0","0","0","5","100700112","12","1.245","0","0","1","1007001"
"0","0.417","1","0","0","100700113","13","0","0","0","4","1007001"
"478","0","0","0","5","100700114","14","0.864","0","478","1","1007001"
"0","2.482","1","0","0","100700115","15","0","0","0","4","1007001"
"0","0","0","vo_svd_0103","0","100700116","16","0","vo_svd","0","2","1007001"
"420","0","0","0","6","100700117","17","2.352","0","0","1","1007001"
"0","1.694","1","0","0","100700118","18","0","0","0","4","1007001"
"268","0","0","0","7","100700119","19","0.953","0","0","1","1007001"
"0","2.5","1","0","0","100700120","20","0","0","0","4","1007001"
"0","0.8","1","0","0","100700201","1","0","0","0","4","1007002"
"0","0","0","vo_svd_0201","0","100700202","2","0","vo_svd","0","2","1007002"
"237","0","0","0","1","100700203","3","0.865","0","0","1","1007002"
"0","1.516","1","0","0","100700204","4","0","0","0","4","1007002"
"314","0","0","0","2","100700205","5","1.013","0","0","1","1007002"
"0","0.973","1","0","0","100700206","6","0","0","0","4","1007002"
"314","0","0","0","2","100700207","7","0.755","0","314","1","1007002"
"0","2.018","1","0","0","100700208","8","0","0","0","4","1007002"
"0","0","0","vo_svd_0202","0","100700209","9","0","vo_svd","0","2","1007002"
