faab27e9e6bb46fe78b7ff175cec63d0b802efe6fe3e8eb392e2a21275bb604e,6794aefb2305f766cf232a8bad79b260f07baf46d0682f31c1e6be6d45c21197,187ed8f82ffcdb7093fcd00cf2b27c0671bdebea9bfda812fe9b23d29fcc2626,80f8898bf03e39662acc58e261e095d35c61900b772d65207cd49ed529156f7a,6fffcae6b98b9e281c19378cd156ac9fbbdb6438888c127f10883ebcbc3a31c7,e407c23573727ab3ccfe294af2ff2dd9540b10c2af3458457c49f006a70f94cb,de9ea4eca4b27bd3f67dcddb64563e404c4b805b2a42859b5b1abfe4ffe02eab,5004a85e0aa7660dbd726d92e2f993ef8c3bd2f8b43c17c6e3d36ff7b5868c07,8edb1adad4938c66275d89142f6ef3b3ef8984870db1c1c96ae9717fe173f056,a6f6749b39a23a680d38c38f879208b1b9dabd9f1b6046452c917423886ea435,fdd7fbbd3b0de680a1b2067683e85eb471026438185c8bcdd8a85c9db6dc4127,1c25f97951618de8eda5936866e785028b31249ccd692dab1ba135107b7b0022,0e76955cc87de5aaec4d3f86ba4e19d927fee0bc9d5b22aab76bf6b54be2384b,bf1d2125d48526be574984b34fb5937737665f0e1267dfe813af1c23b642b266,d42c4a50b276efc0b38517d6205fe4eea3c833176f42847a8d014973ceaf36f7,0b7ace57e7dac5254c2ecdddcbd23266551cc8986a239f3797e166259f12e50c,2074c67516a3ac5ae4bbde63aef443e886b7f6159e28f3164fb1b97c14242e2b,3e8f6e15640c5864cbc95d6d76058fc72f6d59ad2e9e2e37ed965d2f1b72452a,11cb58959152e48e857e9d06cef326cbe1c82f9d13d9669a675aa4c4b72f3321,f6f046b7c7cc95fc4ca47d8a2445bd98aacb81280266b3f27f598f96c81d7d71,2a9565fb777ef94056230b8b700b0e9abf71602a8d1c2ec578252e029d1f5a2a,129863e992683bd7db83bfd6ff595275383abf96ca553ae68c3869dad3677186
"101001","101001","-30","1001","0","-120","1","0.7","-30","1","250","0.8","10","1","210","0.6","10010101","-480","bgm_M64","0","1","1"
"101001","101001","0","1001","0","-120","1","1","-30","2","0","1.2","10","2","200","0.75","10010102","-260","bgm_M64","0","1","1"
"101001","101001","-10","1001","-50","0","1","1","-30","3","100","1.1","0","3","200","0.75","10010103","-40","bgm_M64","0","1","1"
"101001","101001","0","1001","0","-50","1","1","-30","4","0","1","0","4","200","0.7","10010104","240","bgm_M64","0","1","1"
"101011","101011","0","1001","0","-40","1","1","-30","5","200","1.3","0","5","250","1.2","10010105","480","bgm_M55","0","1","1"
"101001","101021","-30","1002","0","-155","1","0.7","-30","1","250","0.8","10","1","210","0.6","10020101","-480","bgm_M64","0","1","1"
"101001","101021","0","1002","0","-120","1","1","-30","2","250","1.2","10","2","200","0.75","10020102","-265","bgm_M64","0","1","1"
"101001","101021","-10","1002","-30","30","1","1","-30","3","100","1.4","0","3","200","0.9","10020103","-30","bgm_M64","-15","1","1"
"101001","101021","0","1002","-30","-90","1","1.25","-30","4","100","1.5","0","4","200","1","10020104","220","bgm_M64","0","1","1"
"101011","101031","0","1002","0","0","1","1.6","-30","5","200","1.8","0","5","250","1.4","10020105","440","bgm_M55","0","1","1"
"101041","101041","-30","1003","0","-155","1","0.7","-30","1","250","0.8","10","1","210","0.6","10030101","-470","bgm_M64","0","1","1"
"101041","101041","0","1003","0","-95","1","1","-30","2","250","1.2","10","2","200","0.75","10030102","-210","bgm_M64","0","1","1"
"101041","101041","-10","1003","-50","-120","1","1","-30","3","100","1.1","0","3","200","0.75","10030103","50","bgm_M64","0","1","1"
"101041","101041","0","1003","-30","35","1","1.2","-30","4","100","1.5","0","4","200","0.8","10030104","195","bgm_M64","0","1","1"
