4be6ed28dde60e65e69417b80cf277b426a9198d255a1776b93e9fe74600849b,2fb39cb830bd5fecc71e9bb5806e7216c813fefcf7c748eb5655100b7ffe8d64,7ad8454d9f4d39e3c6276c862db56ba78191396d6adb72767d94c2eadd4fef28,794685b90e8f9166c6f65400f22897f1154896784af3462bc13af0bf1127c7d5,3989b83350eafeb373792baeb7747e4dbebb30f837c4cd6370ec9aa0e6876084,eaf56ef16755e2a21ef7c85cf155b2eda0b218d3894f997b8cc9d236e5590f5f
"101","特別講座發表報告","切嚕嚕衝擊","1","13","12"
"102","特別講座發表報告","克蘿依明察秋毫","1","14","13"
"103","特別講座發表報告","消失吧學姐架子","1","22","14"
"201","墨丘利財團活動日誌","秋乃的領導力","2","23","22"
"202","墨丘利財團活動日誌","燃燒吧鯛魚燒之魂","2","24","23"
"203","墨丘利財團活動日誌","麥酒沒有不可能","2","25","24"
"204","墨丘利財團活動日誌","美冬的1日說教課程","2","32","25"
"301","優妮的筆記本","起泡與生菓子的哲學","3","33","32"
"302","優妮的筆記本","不入虎穴","3","34","33"
"303","優妮的筆記本","動作測試與破滅的誘惑","3","0","34"
