4be6ed28dde60e65e69417b80cf277b426a9198d255a1776b93e9fe74600849b,794685b90e8f9166c6f65400f22897f1154896784af3462bc13af0bf1127c7d5,3989b83350eafeb373792baeb7747e4dbebb30f837c4cd6370ec9aa0e6876084,2fb39cb830bd5fecc71e9bb5806e7216c813fefcf7c748eb5655100b7ffe8d64,eaf56ef16755e2a21ef7c85cf155b2eda0b218d3894f997b8cc9d236e5590f5f,7ad8454d9f4d39e3c6276c862db56ba78191396d6adb72767d94c2eadd4fef28
"101","1","13","特別講座發表報告","12","切嚕嚕衝擊"
"102","1","14","特別講座發表報告","13","克蘿依明察秋毫"
"103","1","22","特別講座發表報告","14","消失吧學姐架子"
"201","2","23","墨丘利財團活動日誌","22","秋乃的領導力"
"202","2","24","墨丘利財團活動日誌","23","燃燒吧鯛魚燒之魂"
"203","2","25","墨丘利財團活動日誌","24","麥酒沒有不可能"
"204","2","32","墨丘利財團活動日誌","25","美冬的1日說教課程"
"301","3","33","優妮的筆記本","32","起泡與生菓子的哲學"
"302","3","34","優妮的筆記本","33","不入虎穴"
"303","3","0","優妮的筆記本","34","動作測試與破滅的誘惑"
