5a11fc32764c9bfddb1681e7c517e59cd2c03dad2df754e71e43acd531ae509e,4b774b2880b7e706bd8e71325f223856a79a838d649c1e0d805b129e9e7fdf92,4e067672894b0ed1549fedd2ec801aec58ac2bfcbcd43ba075ad4ea0a4dc8710,e39d953fd7cdd53b88184dea01eb32f6e754d62a43798123d94c8851e64c18d4,117aa3a9f4e0ddbf1e56ec3c056b80ddfd7fbd1738671ea9c72eca627d3d4c9c,2deace3264e85bcdd418953f3869d01fdaa44b91933223ab71d41ccff77b76b5,ec9eff6977ff6ffdd2fc955159893f3b81c66f2660b00151d56aa48ad023006d
"250","150","1","50","100","1004","200"
"400","240","2","80","160","1004","320"
"250","150","3","50","100","1004","200"
"250","150","5","50","100","1004","200"
"400","240","6","80","160","1004","320"
"3","1","12","1","1","1004","2"
"250","150","1","50","100","1005","200"
"250","150","3","50","100","1005","200"
"400","240","4","80","160","1005","320"
"250","150","5","50","100","1005","200"
"400","240","7","80","160","1005","320"
"3","1","13","1","1","1005","2"
