4fcf1d658887742fa68874bae200c9fe64105a78ecfb8c8b1a11613994705934,9fb47a4ac06077dda574e234a324c2b9d3c994fa544236acd1195c0f9b4912e9,b43037ab7dedb5876811fa72700fc515c279b6c5178b9e1bb0f3b5bbb4bef29b,7f349f2d21ad4c11cbbc97207481219ef7ae3c706406522c954a6523dcba459d,d8f82b4e1df503d369991d13821f03f361195d34c72108821685ebc35d2c9607,8eb22dabcadc2305dc1d402ab3967e1dced10261e4e26625e5a570b31bb0a57a,ad5a246a8edb16cf23f3d125f7e5bfdbfc031932bff1d6e72f4a3a7751473b3c,008704a4483dd5d170c0510db80dc4b4f57d5991734df5765e47bbe172d4a0e1,917f871a63b9e2c57ed7a6e77422eb706ae1c3baf72c79a782b94ac5b2c36083,cca5d886c3168bd5f5aae89c0f97ac2c4640df9edf0630e973d77213be02dd32,e372397974f248f68bb82e018060eb9b0c962a9049c9d9c639fd3dfa8e9114a7,a376c8a914e82893147df806844775eaae320fa739640f95d3c4d4e0ec18bf04,799e5f77c2228a2d9baf4718eb7f756603b5f151a6dfd08b7250d090b85f348f,1f962f501767a8c42f133850038c98947e2f989a5684c30f98e6c1a892f7faf7,96368de9eb71202ea50235e0434a04853ccb5795f607999b6d7ed376964fdc07,5343e9bc0effa32ff86793d7bbe99a8a22ff68ae9c8d0771d8b21bc87046843c,72fe3f5559fff7ab904559dc0f23462c5b7e33cc217d69e0b6efd1edfcba37de,aed6537b2b561de1a56503b86a27d2d5480ea3300fea9d0a0acc031ca3daf8c0,dadb7ef48155eb57daaddf77351a71b14854b6c588437e06248e1b0ec496eabe
"0","50","1002200","1","0","0","12","0","0","2","1","94002","50","80","0","20004","2000000","2","23001"
"0","40","1002200","2","0","0","12","0","0","2","51","94002","100","80","0","20004","1600000","2","23001"
"0","40","1002200","3","0","0","12","0","0","2","101","94002","200","60","0","20004","1400000","2","23001"
"0","35","1002200","4","0","0","12","0","0","2","201","94002","500","60","0","20004","1200000","2","23001"
"0","35","1002200","5","0","0","12","0","0","2","501","94002","1000","40","0","20004","1000000","2","23001"
"0","30","1002200","6","0","0","12","0","0","2","1001","94002","1500","40","0","20004","800000","2","23001"
"0","25","1002200","7","0","0","12","0","0","2","1501","94002","2000","40","0","20004","600000","2","23001"
"0","25","1002200","8","0","0","12","0","0","2","2001","94002","3000","80","0","20003","600000","2","23001"
"0","20","1002200","9","0","0","12","0","0","2","3001","94002","5000","60","0","20003","400000","2","23001"
"0","15","1002200","10","0","0","12","0","0","2","5001","94002","10000","40","0","20003","300000","2","23001"
"0","10","1002200","11","0","0","12","0","0","2","10001","94002","100000","20","0","20003","200000","2","23001"
"0","5","1002200","12","0","0","12","0","0","2","100001","94002","200000","12","0","20003","100000","2","23001"
"0","5","1002200","13","0","0","12","0","0","2","200001","94002","300000","8","0","20003","80000","2","23001"
"0","5","1002200","14","0","0","12","0","0","2","300001","94002","400000","5","0","20003","60000","2","23001"
"0","5","1002200","15","0","0","12","0","0","2","400001","94002","-1","3","0","20003","50000","2","23001"
