dadb7ef48155eb57daaddf77351a71b14854b6c588437e06248e1b0ec496eabe,72fe3f5559fff7ab904559dc0f23462c5b7e33cc217d69e0b6efd1edfcba37de,a376c8a914e82893147df806844775eaae320fa739640f95d3c4d4e0ec18bf04,96368de9eb71202ea50235e0434a04853ccb5795f607999b6d7ed376964fdc07,799e5f77c2228a2d9baf4718eb7f756603b5f151a6dfd08b7250d090b85f348f,917f871a63b9e2c57ed7a6e77422eb706ae1c3baf72c79a782b94ac5b2c36083,ad5a246a8edb16cf23f3d125f7e5bfdbfc031932bff1d6e72f4a3a7751473b3c,5343e9bc0effa32ff86793d7bbe99a8a22ff68ae9c8d0771d8b21bc87046843c,b43037ab7dedb5876811fa72700fc515c279b6c5178b9e1bb0f3b5bbb4bef29b,4fcf1d658887742fa68874bae200c9fe64105a78ecfb8c8b1a11613994705934,9fb47a4ac06077dda574e234a324c2b9d3c994fa544236acd1195c0f9b4912e9,1f962f501767a8c42f133850038c98947e2f989a5684c30f98e6c1a892f7faf7,d8f82b4e1df503d369991d13821f03f361195d34c72108821685ebc35d2c9607,7f349f2d21ad4c11cbbc97207481219ef7ae3c706406522c954a6523dcba459d,8eb22dabcadc2305dc1d402ab3967e1dced10261e4e26625e5a570b31bb0a57a,cca5d886c3168bd5f5aae89c0f97ac2c4640df9edf0630e973d77213be02dd32,008704a4483dd5d170c0510db80dc4b4f57d5991734df5765e47bbe172d4a0e1,e372397974f248f68bb82e018060eb9b0c962a9049c9d9c639fd3dfa8e9114a7,aed6537b2b561de1a56503b86a27d2d5480ea3300fea9d0a0acc031ca3daf8c0
"23001","2000000","94002","0","50","0","12","20004","1002200","0","50","80","0","1","0","2","0","1","2"
"23001","1600000","94002","0","100","0","12","20004","1002200","0","40","80","0","2","0","2","0","51","2"
"23001","1400000","94002","0","200","0","12","20004","1002200","0","40","60","0","3","0","2","0","101","2"
"23001","1200000","94002","0","500","0","12","20004","1002200","0","35","60","0","4","0","2","0","201","2"
"23001","1000000","94002","0","1000","0","12","20004","1002200","0","35","40","0","5","0","2","0","501","2"
"23001","800000","94002","0","1500","0","12","20004","1002200","0","30","40","0","6","0","2","0","1001","2"
"23001","600000","94002","0","2000","0","12","20004","1002200","0","25","40","0","7","0","2","0","1501","2"
"23001","600000","94002","0","3000","0","12","20003","1002200","0","25","80","0","8","0","2","0","2001","2"
"23001","400000","94002","0","5000","0","12","20003","1002200","0","20","60","0","9","0","2","0","3001","2"
"23001","300000","94002","0","10000","0","12","20003","1002200","0","15","40","0","10","0","2","0","5001","2"
"23001","200000","94002","0","100000","0","12","20003","1002200","0","10","20","0","11","0","2","0","10001","2"
"23001","100000","94002","0","200000","0","12","20003","1002200","0","5","12","0","12","0","2","0","100001","2"
"23001","80000","94002","0","300000","0","12","20003","1002200","0","5","8","0","13","0","2","0","200001","2"
"23001","60000","94002","0","400000","0","12","20003","1002200","0","5","5","0","14","0","2","0","300001","2"
"23001","50000","94002","0","-1","0","12","20003","1002200","0","5","3","0","15","0","2","0","400001","2"
