ff0017bc66cde0c2889138e562936cd37049196a2b55d75e991005a4218ae6fa,71971db89d45ecaee1ef5964d84a3b735e5e7a993c777beb70c11867fa0b0a1d,8b8d05fe59ffdf549470bdfa3aacc265aa183981e795aa54f0f3efd14d228c65,caeef10ce1cf0092684a8cebd71fcf9716b5e3a30327e1d1f542001fdbb574e2,68cbf84b78a5b38c0b91cd95b6c70161c1b0cde64b96a17e03e3b2d0f840ea6a,178313e7ee2923d7dde02d51b160a0bb6b58d262252c00c9ee0592559f00d37c,edc23b30dc4384bb616066db6408bb37b3e1ef406e1158bd73c47ff779ad8105,9d0a17401e355f7b8ba0c7e399d0bd9bcd47a511b0a18fe1868f9ce78d506afd,9452edca5b17d340e605d62e6bbc98b2eacaacdfc7c0042245e44ee3ad476fc0,64225cf92192ad2d7485072c525b4711ee265cd22f6658fd38d3ecc9d74c10fa,4eb70f8cccfd43ca4fc35a3b8dc7bd28256e55c14e140eb01d55158ae47da757
"1001","bsm_idle_yamato","1","100","1","0","1.3","1","0","130011","0"
"1002","","1","0","130011","1","0.2","3","bsm_drama_arm_crossed_loop","bsm_drama_arm_crossed","0"
"1003","","1","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_1000",""
"1004","1","1","5","130011","0","0","11","1","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","0"
"1005","","1","","0","","","91","","",""
"1006","","1","1","130011","","0.3","3","","bsm_idle_yamato",""
"2001","bsm_idle_yamato","2","100","1","0","1.3","1","0","130011","0"
"2002","","2","1","130011","","0.2","3","","bsm_drama_thinking",""
"2003","","2","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_1001",""
"2004","1","2","6","130011","0","0","11","1","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","0"
"2005","","2","","0","","","91","","",""
"2006","","2","1","130011","","0.3","3","","bsm_idle_yamato",""
"3001","bsm_idle_yamato","3","100","1","0","1.3","1","0","130011","0"
"3002","","3","0","130011","1","0.2","3","bsm_drama_doya_loop","bsm_drama_doya","0"
"3003","","3","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_1002",""
"3004","1","3","7","130011","0","0","11","1","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","0"
"3005","","3","","0","","","91","","",""
"3006","","3","1","130011","","0.3","3","","bsm_idle_yamato",""
"4001","bsm_idle_wakana","4","100","1","0","1.3","1","0","130111","0"
"4002","","4","0","130111","1","0.2","3","bsm_drama_guts_loop","bsm_drama_guts","0"
"4003","","4","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_2000",""
"4004","1","4","8","130111","0","0","11","1","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","0"
"4005","","4","","0","","","91","","",""
"4006","","4","1","130111","","0.3","3","","bsm_idle_wakana",""
"5001","bsm_idle_wakana","5","100","1","0","1.3","1","0","130111","0"
"5002","","5","1","130111","","0.2","3","","bsm_drama_wish",""
"5003","","5","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_2001",""
"5004","1","5","8","130111","0","0","11","1","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","0"
"5005","","5","","0","","","91","","",""
"5006","","5","1","130111","","0.3","3","","bsm_idle_wakana",""
"6001","bsm_idle_wakana","6","100","1","0","1.3","1","0","130111","0"
"6002","","6","1","130111","","0.2","3","","bsm_drama_pazzled",""
"6003","","6","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_2002",""
"6004","1","6","7","130111","0","0","11","1","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","0"
"6005","","6","","0","","","91","","",""
"6006","","6","1","130111","","0.3","3","","bsm_idle_wakana",""
"7001","bsm_idle_fubuki","7","100","1","0","1.3","1","0","130211","0"
"7002","","7","1","130211","","0.2","3","","bsm_drama_smile",""
"7003","","7","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_3000",""
"7004","1","7","5","130211","0","0","11","1","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","0"
"7005","","7","","0","","","91","","",""
"7006","","7","1","130211","","0.2","3","","bsm_idle_fubuki",""
"8001","bsm_idle_fubuki","8","100","1","0","1.3","1","0","130211","0"
"8002","","8","0","130211","1","0.2","3","bsm_drama_doya_loop","bsm_drama_doya",""
"8003","","8","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_3001",""
"8004","1","8","7","130211","0","0","11","1","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","0"
"8005","","8","","0","","","91","","",""
"8006","","8","1","130211","","0.2","3","","bsm_idle_fubuki",""
"9001","bsm_idle_fubuki","9","100","1","0","1.3","1","0","130211","0"
"9002","","9","0","130211","1","0.2","3","bsm_drama_laugh_loop","bsm_drama_laugh","0"
"9003","","9","0","vo_minigame_1014","","","21","0","vo_minigame_1014_top_3002",""
"9004","1","9","7","130211","0","0","11","1","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","0"
"9005","","9","","0","","","91","","",""
"9006","","9","1","130211","","0.2","3","","bsm_idle_fubuki",""
