43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4,44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2
"105831","01_uek_cmn_idol_def_N","100","-496","1","1010001","1","1","1.3","-157","0"
"105931","01_uek_cmn_idol_def_N","110","-355","1","1010002","1","1","1.3","-178","0"
"112631","01_uek_cmn_idol_def_N","100","410","1","1010003","1","1","1.3","-124","1"
"112531","01_uek_cmn_idol_def_N","110","389","1","1010004","1","1","1.3","-258","1"
"106031","01_uek_cmn_idol_def_N","120","-415","1","1010005","1","1","1.3","-234","0"
"112431","01_uek_cmn_idol_def_N","120","262","1","1010006","1","1","1.3","-235","1"
"01_uek_01_peko","","0","01_uek_cmn_pose03","1","1010007","105831","3","0","1","0.2"
"01_uek_01_kokkoro","","0","01_uek_talk_normal","1","1010008","105931","3","0","1","0.2"
"01_uek_01_kyaru","","0","01_uek_cmn_pose02","1","1010009","106031","3","0","1","0.2"
"01_uek_01_mio","","0","01_uek_cmn_pose03","1","1010010","112631","3","0","1","0.2"
"01_uek_01_rin","","0","01_uek_cmn_pose02","1","1010011","112531","3","0","1","0.2"
"01_uek_01_uduki","","0","01_uek_cmn_pose01","1","1010012","112431","3","0","1","0.2"
"","","","","1","1010013","3","93","","",""
"01_uek_cmn_pose03","","1","","1","1010014","112631","3","0.2","0",""
"01_uek_cmn_pose01","","1","","1","1010015","112431","3","0.2","0",""
