6b79b243e08a13f08c70f42fc0fc60777db5ba4b59a5e04d4caa3502a20047f1,df8924e9ffdcaef66ce1d21b26b708bf3bd9ae27b59d2de3e0226ca6addbd6d0,5ea0af8f30d2914c8183ba1857693a26f9fa753fe3a850de4119ec8bd4a2f88a,e1863365e127a8c127b52a1446e7ca5e559ffb56f5de6d057ddc49fa47ce6215,472d5dfc6e190b389bf44d5ed45ab5a73e35adfb9d4923e67ba955da26ced91b,bc43a54d0395de714d4c6d72003895620c09d050145a49e69ac20e4a73d9f386,5135429f3347e642265d4f86b706d1c799357346f3adcd8049d167f2f05e6d8b,0660b8ba802f14f6b49f2fe76ed12038401a4fe7f9b3c51b4428370e9283c313,ffed560d82655d3499d231becf52260e09098d0dfcd5284f429427022fe00cb7,fc5f09492ec8b9cd334ffe98004bf9596ce385a81717b3c52dca6b69683db3a0
"0","0","10001","0","0","0","0","0","2019/08/01 15:59:59","2018/01/01 15:00:00"
"1001","0","10002","1","0","1001","1","1001","2020/02/14 15:59:59","2019/08/01 16:00:00"
"0","0","10003","1","0","1001","1","0","2020/08/03 15:59:59","2020/02/14 16:00:00"
"1002","0","10004","1","1002","1001","1","1002","2020/08/31 23:59:59","2020/08/03 16:00:00"
"1002","2015009","10005","2","1002","1002","2","1002","2020/08/31 23:59:59","2020/08/03 16:00:00"
"0","0","10006","1","0","1001","1","0","2021/02/09 04:59:59","2020/09/01"
"0","2015009","10007","2","0","1002","2","0","2021/02/09 04:59:59","2020/09/01"
"0","0","10008","1","1003","1001","1","0","2021/02/26 04:59:59","2021/02/09 05:00:00"
"0","2015009","10009","2","1003","1002","2","0","2021/02/26 04:59:59","2021/02/09 05:00:00"
"0","0","10010","1","0","1001","1","0","2021/08/01 04:59:59","2021/02/26 04:59:59"
"0","2015009","10011","2","0","1002","2","0","2021/08/01 04:59:59","2021/02/26 04:59:59"
"1003","0","10012","1","1004","1001","1","1003","2021/08/31 23:59:59","2021/08/01 05:00:00"
"1003","2015009","10013","2","1004","1002","2","1003","2021/08/31 23:59:59","2021/08/01 05:00:00"
"0","0","10014","1","0","1001","1","0","2023/08/01 04:59:59","2021/09/01"
"0","2015009","10015","2","0","1002","2","0","2023/08/01 04:59:59","2021/09/01"
"1005","0","10028","1","1008","1001","1","1005","2023/08/31 23:59:59","2023/08/01 05:00:00"
"1005","2015009","10029","2","1008","1002","2","1005","2023/08/31 23:59:59","2023/08/01 05:00:00"
"0","0","10030","1","0","1001","1","0","2030/08/15 14:59:59","2023/09/01"
"0","2015009","10031","2","0","1002","2","0","2030/08/15 14:59:59","2023/09/01"
