319972355f072b92dfa55903a35a7d9a25b5c852f47f342f497b0a23a0c35df6,af9fe9e3424bff7b7a22548b77866e00b0fbc0ce298f6095457d4e8a06914b5e,987f3963a2879c12e19353fcd7d49ff3c8d058dca4e2ac4fac8c20540c32bf07,6744ae3d97f4463b4da3660bf34adc0f35565aa754b61e07b770b8a807b7ee6a,9c0677aaaa305305b5b720c2c4473159938aff955802bb5aa9a459a7b86ec9df,736ffc47c1540c99c91085475f4e66683a1489c2631f3af9c89ae47300928a6a,453e602069b6a2bfc1b33983c6a9958a0a29c95281237bbe9470eb580e029d39,a97847e08288fbfe0174a573236134cb3d865e6a4d2a43b91d04e5b5948bf472,4bb9cd676b08cd691f59c91ec234d4a8ad0bd3f8cbda4cb3efd035b895c9bb0c,a8d44bbabe89ef3f728d86383cd99bdecbd9ada26807021221b1fd07dac6ea56,8f63a10f51435b37420bb87bfbd851d09cfc7b184697f39f9935d3f27ee01663,9362f8ffd64aee5c373427cd8516b2c24fe183411cc42911b771f3c96ce3cb9d,6f0f5fcfeb239d0781fefec18f1ade07ab3025b45fa4d864501f7833271bdaec,3b0cbf489a8593f5f17641fafef21bf8f7dd401682c67f212c9e7ef066bc0273
"1.7","30","1005001","10050","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1005001","10050","25","0","0.03","100000","-40","1","1","10050101","0","1.5"
"1.7","-32","1005001","10050","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1005002","10050","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1005002","10050","25","0","0.03","100000","-40","1","1","10050201","0","1.5"
"1.7","-32","1005002","10050","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1005003","10050","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1005003","10050","25","0","0.03","100000","-40","1","1","10050301","0","1.5"
"1.7","-32","1005003","10050","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1005004","10050","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1005004","10050","25","0","0.03","100000","-40","1","1","10050401","0","1.5"
"1.7","-32","1005004","10050","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1005005","10050","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1005005","10050","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","1005005","10050","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1007701","10077","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1007701","10077","25","0","0.03","100000","-40","1","1","10077101","0","1.5"
"1.7","-32","1007701","10077","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1007702","10077","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1007702","10077","25","0","0.03","100000","-40","1","1","10077201","0","1.5"
"1.7","-32","1007702","10077","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1007703","10077","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1007703","10077","25","0","0.03","100000","-40","1","1","10077301","0","1.5"
"1.7","-32","1007703","10077","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1007704","10077","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1007704","10077","25","0","0.03","100000","-40","1","1","10077401","0","1.5"
"1.7","-32","1007704","10077","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","1007705","10077","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","1007705","10077","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","1007705","10077","-47","0","0","100000","-23","3","0","0","10","1.5"
"0.84","-13","1008801","10088","-25","0","0.03","100000","-50","1","1","10088101","10","0.92"
"0.7","13","1008801","10088","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","1008802","10088","-25","0","0.03","100000","-50","1","1","10088201","10","0.92"
"0.7","13","1008802","10088","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","1008803","10088","-25","0","0.03","100000","-50","1","1","10088301","10","0.92"
"0.7","13","1008803","10088","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.7","-17","1008804","10088","-30","0","0.03","100000","-50","1","1","10088401","10","0.92"
"0.6","30","1008804","10088","-30","0","0","100000","-50","2","0","0","0","0.8"
"0.7","-17","1008805","10088","-30","0","0.03","100000","-50","1","1","0","10","0.92"
"0.6","30","1008805","10088","-30","0","0","100000","-50","2","0","0","0","0.8"
"1.7","30","2002901","20029","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","2002901","20029","25","0","0.03","100000","-40","1","1","20029101","0","1.5"
"1.7","-32","2002901","20029","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","2002902","20029","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","2002902","20029","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","2002902","20029","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","2002903","20029","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","2002903","20029","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","2002903","20029","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","2002904","20029","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","2002904","20029","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","2002904","20029","-47","0","0","100000","-23","3","0","0","10","1.5"
"1.7","30","2002905","20029","-30","0","0","100000","0","2","0","0","10","1.5"
"1.7","-17","2002905","20029","25","0","0.03","100000","-40","1","1","0","0","1.5"
"1.7","-32","2002905","20029","-47","0","0","100000","-23","3","0","0","10","1.5"
"0.84","-13","1011501","10115","-25","0","0.03","100000","-50","1","1","10115101","10","0.92"
"0.7","13","1011501","10115","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","1011502","10115","-25","0","0.03","100000","-50","1","1","10115201","10","0.92"
"0.7","13","1011502","10115","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","1011503","10115","-25","0","0.03","100000","-50","1","1","10115301","10","0.92"
"0.7","13","1011503","10115","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.7","-17","1011504","10115","-30","0","0.03","100000","-50","1","1","10115401","10","0.92"
"0.6","30","1011504","10115","-30","0","0","100000","-50","2","0","0","0","0.8"
"0.7","-17","1011505","10115","-30","0","0.03","100000","-50","1","1","0","10","0.92"
"0.6","30","1011505","10115","-30","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","2004801","20048","-25","0","0.03","100000","-50","1","1","0","10","0.92"
"0.7","13","2004801","20048","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","2004802","20048","-25","0","0.03","100000","-50","1","1","0","10","0.92"
"0.7","13","2004802","20048","-25","0","0","100000","-50","2","0","0","0","0.8"
"0.84","-13","2004803","20048","-25","0","0.03","100000","-50","1","1","0","10","0.92"
"0.7","13","2004803","20048","-25","0","0","100000","-50","2","0","0","0","0.8"
