c024a97a7f417fbdd07bf9ae6bac0c251fdfb794c61aed0382550203307a6938,4b4d6eeebc09368fe2f838c41b83043e6968480285c2e650fc26d52bddbc08dc,4050451f72c4d57900daf6de7468e3a446affeb6e9e711d169a0b853685767f1,472a1c9722a033da755d67e6710b1c8a49e43dd1ff80438b00ccfe59fc3f4c13,bddc534bcd37f9a7f3c3a1f5bbeaf85ee7aa6c6f7613c5d90e363411cca632db,b51d94c014b4c6e4d67b5e2409c2df693b15cb821089f8f990aad4408aea0994,dcb991309ced90508a87453d4a84c95b282070eb47f6dd68f0990ffc5ff47d26,72d513adb0c1e0b58e91bd96b0551b3b341f8e83069742c8224397a860211386,dd46f9755a9c2b7cb0e5f301c33c965c82e7b50dbc96303e1a8c606bac942a99,7d30168267c669896a541e27f98bbae17cec7bcb6f6cb2cfc740cc35a9612114,42b82bd603c19ade93dd92c49cf6e449b3f90f9ddfe7731c8883bf12fb5f05de,49323cd6b7fdbf458e34aac52f67f946f16073936fc942a5b5274b4bdad4458e,a8d483be073d058e4c4271af68d324c8f0cc73db447007681ab3247e8ca52ac0,fdc4c4e7cbcd5c02d6ac4de1f150b9756e3d1927016ccab853d111cbb2523b24,a35135c2a2f2244f9538263c471031308633a8707a85e0ee9f744a9285d1875e
"5118061","91002","2834","20063115","8","與貪吃佩可的相遇","0","40","2","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","跳蚤市場會場","1","在藍天下的謁見","10118","7"
"5118062","91002","2835","20063115","8","與真步的相遇","0","40","2","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","跳蚤市場會場","1","未來的騎空團\n吉祥物？","10118","7"
"5118063","91002","2837","20063115","8","與秋乃的相遇","0","40","2","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","蘭德索爾市中心","1","來自大小姐的\n緊急委託","10118","7"
"5118064","91002","4108402","20063115","8","與純的相遇","0","40","2","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","跳蚤市場會場","1","金黃色的煩惱","10118","18"
"5118065","91002","4107402","20063115","8","與香織的相遇","0","40","2","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","跳蚤市場會場","1","白熱化！格鬥大會！","10118","18"
"5118066","91002","9000227","20063115","8","與妮諾的相遇","1","40","2","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","大江戶町","1","祭典太鼓是大江戶之花","10118","16"
"5118067","91002","2101181","20063115","8","與鈴奈的相遇","0","40","3","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","跳蚤市場會場","1","受歡迎的人\n總是姍姍來遲","10118","19"
"5118068","91002","4109402","20063115","8","與七七香的相遇","0","40","3","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","蘭德索爾市中心","1","當巫女遇上魔法少女","10118","18"
"5118069","91002","4305402","20063115","8","與凱留＆可可蘿的相遇","0","40","3","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","跳蚤市場會場","1","老鼠耳朵再次消失","10118","18"
"5118070","91002","4101402","20063115","8","與優花梨的相遇","0","40","3","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","蘭德索爾市中心","1","為這次的相遇乾杯！","10118","18"
"5118071","91002","4106402","20063115","8","與碧的相遇","0","40","3","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","蘭德索爾市中心","1","陰陽合奏","10118","18"
"5118072","91002","2836","20063115","8","與忍的相遇","1","40","3","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","跳蚤市場會場","1","試手氣十戰決勝負！","10118","7"
"5118600","0","0","20063115","0","序幕","0","0","1","0","0","0","她們的嶄新日常","10118","0"
