472a1c9722a033da755d67e6710b1c8a49e43dd1ff80438b00ccfe59fc3f4c13,49323cd6b7fdbf458e34aac52f67f946f16073936fc942a5b5274b4bdad4458e,fdc4c4e7cbcd5c02d6ac4de1f150b9756e3d1927016ccab853d111cbb2523b24,7d30168267c669896a541e27f98bbae17cec7bcb6f6cb2cfc740cc35a9612114,a35135c2a2f2244f9538263c471031308633a8707a85e0ee9f744a9285d1875e,b51d94c014b4c6e4d67b5e2409c2df693b15cb821089f8f990aad4408aea0994,72d513adb0c1e0b58e91bd96b0551b3b341f8e83069742c8224397a860211386,a8d483be073d058e4c4271af68d324c8f0cc73db447007681ab3247e8ca52ac0,4b4d6eeebc09368fe2f838c41b83043e6968480285c2e650fc26d52bddbc08dc,bddc534bcd37f9a7f3c3a1f5bbeaf85ee7aa6c6f7613c5d90e363411cca632db,c024a97a7f417fbdd07bf9ae6bac0c251fdfb794c61aed0382550203307a6938,dd46f9755a9c2b7cb0e5f301c33c965c82e7b50dbc96303e1a8c606bac942a99,4050451f72c4d57900daf6de7468e3a446affeb6e9e711d169a0b853685767f1,dcb991309ced90508a87453d4a84c95b282070eb47f6dd68f0990ffc5ff47d26,42b82bd603c19ade93dd92c49cf6e449b3f90f9ddfe7731c8883bf12fb5f05de
"20063115","1","10118","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","7","與貪吃佩可的相遇","40","在藍天下的謁見","91002","8","5118061","2","2834","0","跳蚤市場會場"
"20063115","1","10118","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","7","與真步的相遇","40","未來的騎空團\n吉祥物？","91002","8","5118062","2","2835","0","跳蚤市場會場"
"20063115","1","10118","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","7","與秋乃的相遇","40","來自大小姐的\n緊急委託","91002","8","5118063","2","2837","0","蘭德索爾市中心"
"20063115","1","10118","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","18","與純的相遇","40","金黃色的煩惱","91002","8","5118064","2","4108402","0","跳蚤市場會場"
"20063115","1","10118","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","18","與香織的相遇","40","白熱化！格鬥大會！","91002","8","5118065","2","4107402","0","跳蚤市場會場"
"20063115","1","10118","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","16","與妮諾的相遇","40","祭典太鼓是大江戶之花","91002","8","5118066","2","9000227","1","大江戶町"
"20063115","1","10118","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","19","與鈴奈的相遇","40","受歡迎的人\n總是姍姍來遲","91002","8","5118067","3","2101181","0","跳蚤市場會場"
"20063115","1","10118","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","18","與七七香的相遇","40","當巫女遇上魔法少女","91002","8","5118068","3","4109402","0","蘭德索爾市中心"
"20063115","1","10118","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","18","與凱留＆可可蘿的相遇","40","老鼠耳朵再次消失","91002","8","5118069","3","4305402","0","跳蚤市場會場"
"20063115","1","10118","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","18","與優花梨的相遇","40","為這次的相遇乾杯！","91002","8","5118070","3","4101402","0","蘭德索爾市中心"
"20063115","1","10118","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","18","與碧的相遇","40","陰陽合奏","91002","8","5118071","3","4106402","0","蘭德索爾市中心"
"20063115","1","10118","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","7","與忍的相遇","40","試手氣十戰決勝負！","91002","8","5118072","3","2836","1","跳蚤市場會場"
"20063115","0","10118","0","0","序幕","0","她們的嶄新日常","0","0","5118600","1","0","0","0"
