6aade3e31f1c13b76deca3d9ec901b7219c351dc37630a0d7c61b2d6feceb9a4,5b397a2c0b07b36baee4f87eb1091a471be7fa7e6d1e6f27666a01f262bb5c5f,ba6fe1c31c3b5a8c7c9ab6b9768ff209d800e6c7a50cff222b8d9b7df2ae62f2,73aaf810f28f4d14b5e953e9590b1569a095e257dc76cb8afd0d335bb6fabdcc,6da6850e79c17f10101fda2374b13c066ea1482801f4ae4db9ed8ce35064cd55,b0fba27c1f9e0cdfdefa509b7d222e27e23f225bfda1033975529196898984bc,450a4f8143e0306df557368ff1d0aa73834700b1d6cb559865043bda424e9c81,7b048e2100a19086f68feaa23942801a3c5a40f1c403f441d8ed1cc5b527bcb6,f40fa7a9fbf277e904b28a23bfa9e5311f76092d41c0d7f3c167113334ff92a4,f03125c9096d25f89dc064951f58222f06160f1fe584ec01ed50945049f6ec39,2b0f307894df4124d71e2f26ea419063050d9d9a35faad6523e596d7837d1525,a315f0e73a3e73864f20ad47bfac254bed52622aa31b398293cb758d7689f816
"0","6","可獲得隨機的 EXP 藥水。","1","0","2","0","隨機 EXP 藥水BOX","2030/08/01 14:59:59","20000","2015/12/17 15:00:00","0"
"80","1","用來強化角色的 Lv，使用後增加 60 的 EXP。","999999","60","1","0","小型 EXP 藥水","2030/08/01 14:59:59","20001","2015/12/17 15:00:00","0"
"400","1","用來強化角色的 Lv，使用後增加 300 的 EXP。","999999","300","2","0","普通 EXP 藥水","2030/08/01 14:59:59","20002","2015/12/17 15:00:00","0"
"2000","1","用來強化角色的 Lv，使用後增加 1500 的 EXP。","999999","1500","3","0","高劑量 EXP 藥水","2030/08/01 14:59:59","20003","2015/12/17 15:00:00","0"
"10000","1","用來強化角色的 Lv，使用後增加 7500 的 EXP。","999999","7500","4","0","特級 EXP 藥水","2030/08/01 14:59:59","20004","2015/12/17 15:00:00","0"
"50000","1","用來強化角色的 Lv，使用後增加 37500 的 EXP。","999999","37500","5","0","究極EXP藥水","2030/08/01 14:59:59","20005","2015/12/17 15:00:00","0"
"0","21","優花梨（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","1","1","0","優花梨（聖誕節）專用水晶球 / Lv180","2030/08/01 14:59:59","21001","2021/04/01 16:00:00","0"
"0","21","矛依未（新年）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","2","1","0","矛依未（新年）專用水晶球 / Lv180","2030/08/01 14:59:59","21002","2021/05/04 16:00:00","0"
"0","21","優衣（祭服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","3","1","0","優衣（祭服）專用水晶球 / Lv180","2030/08/01 14:59:59","21003","2021/06/02 16:00:00","0"
"0","21","莉瑪（灰姑娘）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","5","1","0","莉瑪（灰姑娘）專用水晶球 / Lv180","2030/08/01 14:59:59","21004","2021/07/05 16:00:00","0"
"0","21","珠希（工作服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","6","1","0","珠希（工作服）專用水晶球 / Lv180","2030/08/01 14:59:59","21005","2021/05/31 12:00:00","0"
"0","21","紡希（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","7","1","0","紡希（夏日）專用水晶球 / Lv180","2030/08/01 14:59:59","21006","2021/07/31 12:00:00","0"
"0","21","妮諾（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","999","8","1","0","妮諾（萬聖節）專用水晶球 / Lv180","2030/08/01 14:59:59","21007","2021/09/30 12:00:00","0"
"0","21","真陽（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","9","1","0","真陽（聖誕節）專用水晶球 / Lv215","2030/08/01 14:59:59","21008","2022/04/01 16:00:00","0"
"0","21","流夏（新年）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","10","1","0","流夏（新年）專用水晶球 / Lv215","2030/08/01 14:59:59","21009","2022/05/02 16:00:00","0"
"0","21","拉比林斯達（超載）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","12","1","0","拉比林斯達（超載）專用水晶球 / Lv215","2030/08/01 14:59:59","21010","2022/06/08 16:00:00","0"
"0","21","碧（露營）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","13","1","0","碧（露營）專用水晶球 / Lv215","2030/08/01 14:59:59","21011","2022/10/02 16:00:00","0"
"0","21","日和（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","14","1","0","日和（夏日）專用水晶球 / Lv215","2030/08/01 14:59:59","21012","2022/11/01 16:00:00","0"
"0","21","禊（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","999","15","1","0","禊（夏日）專用水晶球 / Lv215","2030/08/01 14:59:59","21013","2022/12/01 16:00:00","0"
