16affafd3746d803f3bfe25fb54252c5a7d384ba3c9a2cd579c57b58c1a0c61b,fb48989cbf972341b9c3ba9dc6d3173d6a5b24d0cd9a4eddee4219d8bc69e7a3,2feaed078520d8897783496e853b6d3b9eabeea97ed81be5cc617f0bbb562cff,2a82b6063ae32f9cb5a296b494d5a8fe68a56abcefa479ced5c3ef9caf1dfdbb,9dab97ac0ed6af784b0f33790c5123cee0015b5b9144348af1824439911f44d3,3d741dd874fd1239cef97a594ee34ecb9540408611bb0d56359418417ce5c31b,778b39e136c3e98461203857e35dfa8446cf27a4a0c804feb328ce27f463bd01,ab088128b7cf7066a189b09446fc00858f58d1e42e7fe54b79bf465eb02fdfff,edba3b701ab4352e6f4254ee0d8c28d5d2640f2bafa61bdafef26a0c49b01f98,099962d6dcd7a1b34a6e2230af3321c7f03af9704b0584383d8fe72ba6b13052,effa94a6d5542627b98dbb7c49dcda4d901801a1d0a85d0eb40552366ab2ea6d,62d2ac4bb316512fb8f6c6fc4188442fdf4bc9e0a4b70a8d76d1fe3cc9cb92e2,2a3870bf0f6b08862663328915af1a51a91a732c5dd28a1723eace64c81f16c0,6d19a67457a1e7c1a39a6fcc253d5aa2da89c690d378ec7e7ebe48fbddd6049d,2b8417e07a9ba1744e4c425b6667d753789198e2ff87eec549c302b94777462c,e56f58fbb190483ae479dbcd9b1554c62d2e4611b37c7876ea482a758ed6e2e2,c7a020746c1a0c46932e03d53dcc0602c64463602ccca06504af15dadea17d16,980e3ae6848e8f031cb6cf037f592cdb3cb599c751626f78036b6dcd5a53eef2,763b640565664f19a4db078938f76f645df1a1cccee28f36fe8364952ac73688,b40fc507ba470f84cb74b6de226dab567aa671041796cbfa65f5fba6271597dd,39394d0d5b01b3f03384bb4c2d437f15f7129d0b7703e83e566dfc5a6cf14ee1,cd876796fdc04641c988bf1658c0df0d242afd497363c2e9df3507209bbb035d,627cac6f4d312e01f365bd05236e0610cfacfaeff6f872cc1f5f9d2aa7b7bc4a,5d87597fa8e9d4c2ed0d01a207587ac3f9635f17517926b11180eee71d87a0c6,ce8a13f3b204c212f468bcb67fc9037a5096b64feec8fe66808d11bf710d6f0f
"160","18","100000","0","0","32001","1","5","0","0","0","0","0","1","0","0","50","0","100101","0","0","0","1","0","0"
"80","11","100000","0","0","31001","1","3","0","0","0","0","0","1","0","0","50","0","100101","0","0","0","2","0","0"
"100","15","100000","0","0","25001","1","0","0","0","0","0","0","0","0","0","10","0","100101","0","0","0","3","0","0"
"200","15","200000","0","10","25001","2","0","0","0","0","0","0","0","0","0","15","0","100101","0","0","0","3","0","0"
"300","15","400000","0","20","25001","3","0","0","0","0","0","0","0","0","0","20","0","100101","0","0","0","3","0","0"
"400","15","500000","0","30","25001","4","0","0","0","0","0","0","0","0","0","25","0","100101","0","0","0","3","0","0"
"500","15","600000","0","40","25001","5","2","0","0","0","0","0","1","0","0","30","0","100101","0","0","0","3","0","2"
"0","18","100000","0","0","32002","1","0","0","0","0","0","0","1","0","0","50","0","100201","0","10","0","1","100","0"
"0","11","100000","0","0","31002","1","0","0","0","0","0","0","1","0","0","50","0","100201","0","10","0","2","60","0"
"0","15","100000","0","0","25001","1","0","0","0","0","0","2","0","0","0","10","0","100201","0","0","0","3","20","0"
"0","15","200000","0","0","25001","2","0","0","0","0","0","4","0","0","0","15","0","100201","0","0","0","3","40","0"
"0","15","400000","0","0","25001","3","0","0","0","0","0","6","0","0","0","20","0","100201","0","0","0","3","60","0"
"0","15","500000","0","0","25001","4","0","0","0","0","0","8","0","0","0","25","0","100201","0","0","0","3","80","0"
"0","15","600000","0","0","25001","5","0","0","0","0","0","10","1","0","0","30","0","100201","0","10","0","3","100","0"
"160","18","100000","0","0","32003","1","5","0","0","0","0","0","1","0","0","50","0","100301","0","0","0","1","0","0"
"80","11","100000","0","0","31003","1","3","0","0","0","0","0","1","0","0","50","0","100301","0","0","0","2","0","0"
"100","15","100000","0","0","25001","1","0","0","0","0","0","0","0","0","0","10","0","100301","0","0","0","3","0","0"
"200","15","200000","0","10","25001","2","0","0","0","0","0","0","0","0","0","15","0","100301","0","0","0","3","0","0"
"300","15","400000","0","20","25001","3","0","0","0","0","0","0","0","0","0","20","0","100301","0","0","0","3","0","0"
"400","15","500000","0","30","25001","4","0","0","0","0","0","0","0","0","0","25","0","100301","0","0","0","3","0","0"
"500","15","600000","0","40","25001","5","2","0","0","0","0","0","1","0","0","30","0","100301","0","0","0","3","0","2"
"60","18","100000","0","0","32004","1","3","0","0","14","0","0","1","0","0","50","0","100401","0","0","0","1","0","0"
"30","11","100000","0","0","31004","1","2","0","0","7","0","0","1","0","0","50","0","100401","0","0","0","2","0","0"
"50","15","100000","0","0","25001","1","0","0","0","3","0","0","0","0","0","10","0","100401","0","0","0","3","0","0"
"150","15","200000","0","0","25001","2","0","0","0","6","0","0","0","0","0","15","0","100401","0","0","0","3","0","0"
"225","15","400000","0","0","25001","3","0","0","0","9","0","0","0","0","0","20","0","100401","0","0","0","3","0","0"
"270","15","500000","0","0","25001","4","0","0","0","12","0","0","0","0","0","25","0","100401","0","0","0","3","0","0"
"320","15","600000","0","0","25001","5","5","0","0","15","10","0","1","0","0","30","0","100401","0","0","0","3","0","0"
"0","18","100000","0","0","32005","1","3","0","0","0","0","0","1","0","0","50","0","100501","0","0","1500","1","0","0"
"0","11","100000","0","0","31005","1","2","0","0","0","0","0","1","0","0","50","0","100501","0","0","1000","2","0","0"
"40","15","100000","0","0","25001","1","0","0","0","2","0","2","0","0","0","10","0","100501","0","0","0","3","0","0"
"80","15","200000","0","0","25001","2","0","0","0","4","0","4","0","0","0","15","0","100501","0","0","0","3","0","0"
"120","15","400000","0","0","25001","3","0","0","0","6","0","6","0","0","0","20","0","100501","0","0","0","3","0","0"
"160","15","500000","0","0","25001","4","0","0","0","8","0","8","0","0","0","25","0","100501","0","0","0","3","0","0"
"200","15","600000","0","0","25001","5","5","0","0","10","0","10","1","0","0","30","0","100501","0","0","0","3","0","0"
"0","18","100000","0","0","32006","1","3","0","0","0","0","0","1","10","0","50","0","100601","0","0","0","1","160","0"
"0","11","100000","0","0","31006","1","2","0","0","0","0","0","1","5","0","50","0","100601","0","0","0","2","80","0"
"0","15","100000","0","0","25001","1","0","0","0","0","0","0","0","0","0","10","0","100601","0","0","0","3","90","0"
"0","15","200000","0","0","25001","2","0","0","0","0","0","0","0","5","0","15","0","100601","0","0","0","3","180","0"
"0","15","400000","0","0","25001","3","0","0","0","0","0","0","0","10","0","20","0","100601","0","0","0","3","270","0"
"0","15","500000","0","0","25001","4","0","0","0","0","0","0","0","15","0","25","0","100601","0","0","0","3","360","0"
"0","15","600000","0","0","25001","5","5","0","0","0","0","0","1","20","0","30","0","100601","0","0","0","3","450","0"
"0","18","100000","0","0","32007","1","0","0","0","10","4","0","1","0","0","50","0","100701","0","0","1500","1","0","0"
"0","11","100000","0","0","31007","1","0","0","0","15","5","0","1","0","0","50","0","100701","0","0","1000","2","0","0"
"0","15","100000","0","0","25001","1","0","0","0","6","2","0","0","0","0","10","0","100701","0","0","0","3","0","0"
"0","15","200000","0","0","25001","2","0","0","0","12","4","0","0","0","0","15","0","100701","0","0","0","3","0","0"
"0","15","400000","0","0","25001","3","0","0","0","18","6","0","0","0","0","20","0","100701","0","0","0","3","0","0"
"0","15","500000","0","0","25001","4","0","0","0","24","8","0","0","0","0","25","0","100701","0","0","0","3","0","0"
"0","15","600000","0","0","25001","5","0","0","0","30","10","0","1","0","0","30","0","100701","0","0","0","3","0","0"
"0","18","100000","0","0","32008","1","5","0","0","0","0","0","1","0","0","50","0","100801","0","0","0","1","240","0"
"0","11","100000","0","0","31008","1","3","0","0","0","0","0","1","0","0","50","0","100801","0","0","0","2","120","0"
"0","15","100000","0","0","25001","1","0","0","0","0","0","0","0","5","0","10","0","100801","0","0","0","3","130","0"
"0","15","200000","0","0","25001","2","0","0","0","0","0","0","0","10","0","15","0","100801","0","0","0","3","260","0"
"0","15","400000","0","0","25001","3","0","0","0","0","0","0","0","15","0","20","0","100801","0","0","0","3","390","0"
"0","15","500000","0","0","25001","4","0","0","0","0","0","0","0","20","0","25","0","100801","0","0","0","3","520","0"
"0","15","600000","0","0","25001","5","2","0","1","0","0","0","1","25","0","30","0","100801","0","0","0","3","650","0"
"0","18","100000","0","0","32009","1","5","0","0","0","0","0","1","10","0","50","0","100901","0","0","0","1","360","0"
