1f4e7f563bb20dd22828db09d79e9c4b975cc827c854914643a1be4731503bc5,b08edb9b56504f44daa89216051cab4b90b01ed2b025f9b1064ab3a2d818e0b6,e61ba57a71d42dfb99252de31028f0520d5b4c549f150594841a30c7044df1f7,b5462310eca3f18807550403b88739a4518fdbf9cf0a5e895ecbf0023cdc742d,ba39f65bc687f1b1701958795e6669cec1498ed939f19afe48a51f3f66898741
"1006001","1006001","-1","1006201","301"
"1006011","1006011","-1","1006211","301"
"1007002","1007002","-1","1007202","301"
"1007011","1007011","-1","1007211","301"
"1007012","1007012","-1","1007212","301"
"1008003","1008003","-1","1008203","261"
"1018003","1018003","-1","1018203","261"
"1018011","1018011","-1","1018211","261"
"1018012","1018012","-1","1018212","261"
"1022012","1022012","-1","1022212","261"
"1026011","1026011","-1","1026211","301"
"1028003","1028003","-1","1028203","261"
"1034003","1034003","-1","1034203","261"
"1037003","1037003","-1","1037203","261"
"1038002","1038002","-1","1038202","261"
"1038003","1038003","-1","1038203","261"
"1038012","1038012","-1","1038212","261"
"1045002","1045002","-1","1045202","301"
"1045012","1045012","-1","1045212","301"
"1046003","1046003","-1","1046203","261"
"1056002","1056002","-1","1056202","301"
"1056012","1056012","-1","1056212","301"
"1057003","1057003","-1","1057203","261"
"1063003","1063003","-1","1063203","261"
"1067003","1067003","-1","1067203","261"
"1071001","1071001","-1","1071201","301"
"1071011","1071011","-1","1071211","301"
"1071012","1071012","-1","1071212","261"
"1079002","1079002","-1","1079202","261"
"1079012","1079012","-1","1079212","261"
"1082002","1082002","-1","1082202","261"
"1082012","1082012","-1","1082212","261"
"1083012","1083012","-1","1083212","261"
"1084003","1084003","-1","1084203","261"
"1084013","1084013","-1","1084213","261"
"1085012","1085012","-1","1085212","261"
"1089002","1089002","-1","1089202","301"
"1089012","1089012","-1","1089212","301"
"1091002","1091002","-1","1091202","261"
"1091012","1091012","-1","1091212","261"
"1103002","1103002","-1","1103202","261"
"1103012","1103012","-1","1103212","261"
"1106002","1106002","-1","1106202","261"
"1106012","1106012","-1","1106212","261"
"1110002","1110002","-1","1110202","261"
"1110012","1110012","-1","1110212","261"
"1114002","1114002","-1","1114202","261"
"1114012","1114012","-1","1114212","261"
"1118012","1118012","-1","1118212","261"
"1119002","1119002","-1","1119202","301"
"1119012","1119012","-1","1119212","301"
"1122001","1122001","-1","1122201","261"
"1122002","1122002","-1","1122202","261"
"1122012","1122012","-1","1122212","261"
"1124002","1124002","-1","1124202","261"
"1124012","1124012","-1","1124212","261"
"1125002","1125002","-1","1125202","301"
"1125012","1125012","-1","1125212","301"
"1126012","1126012","-1","1126212","261"
"1129002","1129002","-1","1129202","261"
"1129012","1129012","-1","1129212","261"
"1134002","1134002","-1","1134202","261"
"1134012","1134012","-1","1134212","261"
"1137012","1137012","-1","1137212","261"
"1138001","1138001","-1","1138201","261"
"1139003","1139003","-1","1139203","301"
"1141012","1141012","-1","1141212","261"
"1146002","1146002","-1","1146202","261"
"1146012","1146012","-1","1146212","261"
"1150002","1150002","-1","1150202","261"
"1150012","1150012","-1","1150212","261"
"1155003","1155003","-1","1155203","261"
"1156003","1156003","-1","1156203","261"
"1158003","1158003","-1","1158203","261"
"1158101","1158101","-1","1158201","261"
"1158111","1158111","-1","1158211","261"
"1160003","1160003","-1","1160203","261"
"1164003","1164003","-1","1164203","261"
"1166003","1166003","-1","1166203","261"
"1168003","1168003","-1","1168203","261"
"1170003","1170003","-1","1170203","261"
"1172003","1172003","-1","1172203","261"
"1176003","1176003","-1","1176203","261"
"1179003","1179003","-1","1179203","261"
"1190003","1190003","-1","1190203","261"
"1209003","1209003","-1","1209203","261"
"1211001","1211001","-1","1211201","261"
"1211002","1211002","-1","1211202","261"
"1211012","1211012","-1","1211212","261"
"1213002","1213002","-1","1213202","261"
"1215003","1215003","-1","1215203","261"
"1701003","1701003","-1","1701203","261"
"1802002","1802002","-1","1802202","261"
"1802012","1802012","-1","1802212","261"
"1807002","1807002","-1","1807202","261"
"1807012","1807012","-1","1807212","261"
