0490fc5aca4142c0b9b57782120bcf8bc41246a70822344b054d34603129bbcd,e7f3a273b44fa6c316942826236d91ee7f484e0b21289afc8c47f9eb394f3e75,e6daf0bc4f6371c71876d45befc6eff7b0f30f087e75a40ef55215de5bf9b2af,6f963fc8f6379d9dfc32caf57e15fc75d3340fab2dce76a976f04d0260d8796c
"938","1.6","-354","100101"
"952","1.6","-499","100201"
"1014","1.6","-523","100301"
"894","1.6","-488","100401"
"980","1.6","-628","100601"
"983","1.6","-573","100701"
"1019","1.6","-544","100801"
"985","1.6","-510","100901"
"1115","1.6","-660","101001"
"1128","1.6","-415","101101"
"1042","1.6","-589","101201"
"1050","1.6","-501","101601"
"1038","1.6","-598","101701"
"985","1.6","-356","101801"
"1114","1.6","-494","102001"
"1003","1.6","-392","102101"
"1057","1.6","-407","102201"
"997","1.6","-388","102501"
"1090","1.6","-490","102701"
"987","1.6","-554","102801"
"976","1.6","-526","102901"
"994","1.6","-879","103001"
"1056","1.6","-560","103101"
"1018","1.6","-453","103301"
"1017","1.6","-345","103401"
"961","1.6","-674","103801"
"1095","1.6","-499","104001"
"955","1.6","-521","104201"
"1079","1.6","-581","104301"
"980","1.6","-538","104501"
"954","1.6","-364","104601"
"1107","1.6","-777","104801"
"973","1.6","-795","104901"
"1122","1.6","-492","105001"
"1035","1.6","-607","105201"
"885","1.6","-490","105301"
