96df4009260aa8a6ddf32036e73c3f9212c43a646801ab0146d443974a1c7968,1d50f137d80f162efeb4db776e378f3e31f769e55d3875a3cb02b85641223ec8,d5ca48f44a24bddf54f115d5c4778475a89f71b328d9b7dff43d38ef492051b6,ade50b311009492a404548d311c29f1057697c3b1e07be65cb133459d3145bd3,ce811c743201c912e905a9f408348d92322f779ba87ba8a4ce69ee88c590e790,e1eb640ae631a0c37ba3031b5c57eeee8de5f1fcf108f30f32faa06875a42ed1,0c3f4dea478dcad19f0d2537c4a4e02ef7f0a1fa77639ebeaa8fe2f939179e64,ecbdd7a9974f593d3413c22276cb49ceecc7fbbde0f7da1ef92e43ff29807208,f7d115ff49a9b001282b0e689284eb3a3e657aee0c886ca08518f449e4e24212,96c9bec789b2a8cbb6b951cbb079001a7d0617e449ddf7f8fda7f630cab9b209,2639dae8bb3db351efcdeb4e7f1c7b503f0a21dd96770ebc8cbf0b3524601dd3,d0b0b1e0006775a6fc1bc1e4b7e8eb4582efb0e544d7e0738cae790a4602674a,e09e01d36d6525dccaa87edcfbaf1cb155fb8ed8af505f08017d93b47899933a,5bba6dca517cced6c56bbaa815b86839bfdf58f30a00b250d16d75664f4b5c44,ee8c82eeecbf030f657a3254a92dcfe276f599a5be9d1c8b4f29ab2a3ba4ab0d,b1614330ea0db6a349bba53228f8e7b3bfba5a1fae3580d689ad0475e774c058,e9932358817781f932dc44325dae52fe272ef6e24caaed15169e93308dca6790,9d4e08fe11cdd0c64e956f54a4b470b2a713f61aca09b20e3106eb1a9fe276b3
"0","分數累積獲得 20000 分","0","1","0","0","0","0","0","12","20000","0","5000","0","0","0","0","94002"
"0","分數累積獲得 40000 分","0","2","0","0","0","0","0","12","40000","0","10000","0","0","0","0","94002"
"0","分數累積獲得 60000 分","0","3","0","0","0","0","0","12","60000","0","15000","0","0","0","0","94002"
"0","分數累積獲得 80000 分","0","4","0","0","0","0","0","12","80000","0","20000","0","0","0","0","94002"
"0","分數累積獲得 100000 分","0","5","0","5","2","0","23001","8","100000","0","50","0","0","0","0","91002"
"0","分數累積獲得 120000 分","0","6","0","0","0","0","0","12","120000","0","25000","0","0","0","0","94002"
"0","分數累積獲得 140000 分","0","7","0","0","0","0","0","12","140000","0","30000","0","0","0","0","94002"
"0","分數累積獲得 160000 分","0","8","0","0","0","0","0","12","160000","0","35000","0","0","0","0","94002"
"0","分數累積獲得 180000 分","0","9","0","0","0","0","0","12","180000","0","40000","0","0","0","0","94002"
"0","分數累積獲得 200000 分","0","10","0","5","2","0","23001","8","200000","0","50","0","0","0","0","91002"
"0","分數累積獲得 220000 分","0","11","0","0","0","0","0","12","220000","0","55000","0","0","0","0","94002"
"0","分數累積獲得 240000 分","0","12","0","0","0","0","0","12","240000","0","35000","0","0","0","0","94002"
"0","分數累積獲得 260000 分","0","13","0","0","0","0","0","12","260000","0","40000","0","0","0","0","94002"
"0","分數累積獲得 280000 分","0","14","0","0","0","0","0","12","280000","0","45000","0","0","0","0","94002"
"0","分數累積獲得 300000 分","2","15","0","150","8","0","91002","15","300000","0","1","10","23001","0","0","11001021"
