33ca91ddf240a95a7171a3bddc4bb88a7c42700b2fc310f6a4a99bcd372b0609,5645f21a7a40e89b67426d889444cf792feaaa293133dc96bd56646b80368204,c49da0f7a68d3f5f4679a8decff4e200fd46671b6462bd1c5e66dbb1e25a61b2,016561d416ae82f8b20944375a7024fc6927e6a9ae5e90c4a2db083a93bf205c,403e72b72eaefbb469948338ca10e494f9751e9c24a74b8cfc268b395961da9d
"320001011","1000","32000101","2","25011"
"320001012","1000","32000101","2","25012"
"320001021","1000","32000102","2","25013"
"320001022","1000","32000102","2","25014"
"320001031","1000","32000103","8","91002"
"320001032","3000000","32000103","12","94002"
"320001033","1000","32000103","2","25015"
"320001034","1000","32000103","2","25021"
"320001041","1000","32000104","2","25013"
"320001042","1000","32000104","2","25014"
"320001051","1000","32000105","2","25012"
"320001052","1000","32000105","2","25015"
"320001061","1000","32000106","8","91002"
"320001062","3000000","32000106","12","94002"
"320001063","1000","32000106","2","25011"
"320001064","1000","32000106","2","25021"
"320001071","1000","32000107","2","25014"
"320001072","1000","32000107","2","25015"
"320001081","1000","32000108","2","25011"
"320001082","1000","32000108","2","25013"
"320001091","1000","32000109","8","91002"
"320001092","3000000","32000109","12","94002"
"320001093","1000","32000109","2","25012"
"320001094","1000","32000109","2","25021"
"320001101","3000","32000110","2","25011"
"320001102","3000","32000110","2","25012"
"320001103","3000","32000110","2","25013"
"320001104","3000","32000110","2","25014"
"320001105","3000","32000110","2","25015"
"320001111","3000","32000111","2","25011"
"320001112","3000","32000111","2","25012"
"320001113","3000","32000111","2","25013"
"320001114","3000","32000111","2","25014"
"320001115","3000","32000111","2","25015"
"320001121","3000","32000112","2","25011"
"320001122","3000","32000112","2","25012"
"320001123","3000","32000112","2","25013"
"320001124","3000","32000112","2","25014"
"320001125","3000","32000112","2","25015"
"320001131","1","32000113","2","21953"
"320001132","2000","32000113","2","25021"
