43af32cb1245c822549895d8faa506d4745e84d18f52a2b8e10b46ad25ac93b9,a74ba2bc657dbccc4644ead9c18d2e9c8f8043beecdc708a8044af0ef0d61674,400294b9d4e767d3661961a5e9764b87481892727433564dab75044a82331555,fd927df8d978d4cee9fbe59c872b741bf4ef9722905d0446d681dc2ad145937d,18f357c27d9832c092e8bc7ebc3d51ca2ca6513aaefbb39e491867d6d34dd450,ab0e94eb4f798ba31315fa03711f03f5e194999c601e4d7e09ec79d24c254e19,8fa29c3a3bcf1b52401b1d55919a80ddc54404b14bb70241c1abd7d18ed7db19
"10004","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","71004025","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","1","107601"
"10005","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","討伐BOSS解放！\n還有{0}隻","71005025","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","2","108001"
"10007","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71007031","[3C404E]討伐NORMAL BOSS解放！","3","108201"
"10009","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71009031","[3C404E]討伐NORMAL BOSS解放！","4","108501"
"10010","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71010031","[3C404E]討伐NORMAL BOSS解放！","5","108901"
"10011","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71011031","[3C404E]討伐NORMAL BOSS解放！","6","109001"
"10013","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71013031","[3C404E]討伐NORMAL BOSS解放！","7","109301"
"10017","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71017031","[3C404E]討伐NORMAL BOSS解放！","8","109801"
"10019","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","71019031","[3C404E]討伐NORMAL BOSS解放！","9","110101"
"20004","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","討伐NORMAL BOSS解放！","72004021","[3C404E]討伐NORMAL BOSS解放！","10","107601"
