400294b9d4e767d3661961a5e9764b87481892727433564dab75044a82331555,a74ba2bc657dbccc4644ead9c18d2e9c8f8043beecdc708a8044af0ef0d61674,ab0e94eb4f798ba31315fa03711f03f5e194999c601e4d7e09ec79d24c254e19,8fa29c3a3bcf1b52401b1d55919a80ddc54404b14bb70241c1abd7d18ed7db19,18f357c27d9832c092e8bc7ebc3d51ca2ca6513aaefbb39e491867d6d34dd450,43af32cb1245c822549895d8faa506d4745e84d18f52a2b8e10b46ad25ac93b9,fd927df8d978d4cee9fbe59c872b741bf4ef9722905d0446d681dc2ad145937d
"討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","1","107601","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","10004","71004025"
"討伐BOSS解放！\n還有{0}隻","[3C404E]進行活動、挑戰BOSS、\n討伐BOSS可解放限定角色！！[-]","2","108001","[3C404E]討伐BOSS（全難易度共通）解放！\n還有[FFBB00,CE4F00]{0}[-]隻[-]","10005","71005025"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","3","108201","[3C404E]討伐NORMAL BOSS解放！","10007","71007031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","4","108501","[3C404E]討伐NORMAL BOSS解放！","10009","71009031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","5","108901","[3C404E]討伐NORMAL BOSS解放！","10010","71010031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","6","109001","[3C404E]討伐NORMAL BOSS解放！","10011","71011031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","7","109301","[3C404E]討伐NORMAL BOSS解放！","10013","71013031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","8","109801","[3C404E]討伐NORMAL BOSS解放！","10017","71017031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","9","110101","[3C404E]討伐NORMAL BOSS解放！","10019","71019031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","10","107601","[3C404E]討伐NORMAL BOSS解放！","20004","72004021"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","11","110501","[3C404E]討伐NORMAL BOSS解放！","10021","71021035"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","12","108001","[3C404E]討伐NORMAL BOSS解放！","20005","72005021"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","13","111201","[3C404E]討伐NORMAL BOSS解放！","10025","71025031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","15","108201","[3C404E]討伐NORMAL BOSS解放！","10026","71026031"
"討伐NORMAL BOSS解放！","[3C404E]進行活動、挑戰BOSS、\n討伐NORMAL BOSS可解放限定角色！！[-]","16","111601","[3C404E]討伐NORMAL BOSS解放！","10029","71029031"
