5670cc6fe8417fed16131572687b66f15eb44208ea1604a483fef72975c8a9b6,99d25b9c014c5905d61a298633700224fb3f265f811a0c0f7264d339468e1cba,13aa8657c5da03c4651491c2c52ab6e167d7c3e92d5f4a1cbfffddf599fe57bd,7ed6d4750066339a29798bb6001e88b9c013cf493e8b838d1a0f861e9a61cabf,f36da5b51476cc4a8170d3568fef3b8bbd1ae712afb9734e6f5c8dd5db6b2a1f,17dbb2cdefe1a5cec99ebc473b4ed9a00830e6a948716a7bc90ec687194328e9,13049bbcad33b9a5ad6e6cffb902e9c28a6cea2f8a513a94a310b94ed980e4a4,582da823066e3c011b5eca1e7138ee5a7bf80f52eedc9a7d0d8f950051bb0f8f,94fbee9ccd05f3fb2b0c79fa8c76a7ba0fa8b560cb14daa7f0c3ea84a6221aea,0fff51fea43f62c62248bc34ede319321aff19b2f4578d00c21d7ba21ea720c8,4d1aff19b30e45b2367f7d1bd0fdbe2b46fbd440b8ac2a0a81a307d73faab534,b3e0b5e95624baa22342a1a04ccac3c51f001a11d61718e314d0fa67c563f19c,26cec753152c9df73d845b75a3d0568ba10fb68699a26cb77c6a382d83b01d1d,96cabd8eefa194ebd5b862111c51b2cdedc554bb03c5e8f057ab6ece4010f78e,b0a99796b4c8bfedbd781bde1191b55724caf6a92a5f838ca43f239a6f15a4a8,918c1669425e8337b681dd8ca23b9cd799a96358c4a78cd2e52e5101a5bbb175,6209cd75da998a8bb494119937f7aef10683e3ae21f83c04025912c00ad70792,fc8c1c070311ebc3d39649f7122381df4fcd88c31a6252f2fc7d26d9265169ce,6acd376ba13a911b7d375383cf6bf21772f4bfaf78ee312e7827e75cf0684c10,49de326b7d7e5d42f7914e3550dc18161d6155deefbfbe886c4a1ddc7005fbcc,3462dcc8596964fdbc4a5bb877232ab48df13a690f69d64d8b30ebc6959d102a,df1cd9cde182747b7da6c007e7a225c7c4d07be840d4f6c47f3977e6e3d6976a
"1","1001","-480","0.7","10010101","-30","0.6","0","101001","0","1","10","-120","101001","0.8","-30","bgm_M64","1","210","1","1","250"
"1","1001","-260","1","10010102","0","0.75","0","101001","0","1","10","-120","101001","1.2","-30","bgm_M64","1","200","2","2","0"
"1","1001","-40","1","10010103","-10","0.75","-50","101001","0","1","0","0","101001","1.1","-30","bgm_M64","1","200","3","3","100"
"1","1001","240","1","10010104","0","0.7","0","101001","0","1","0","-50","101001","1","-30","bgm_M64","1","200","4","4","0"
"1","1001","480","1","10010105","0","1.2","0","101011","0","1","0","-40","101011","1.3","-30","bgm_M55","1","250","5","5","200"
"1","1002","-480","0.7","10020101","-30","0.6","0","101021","0","1","10","-155","101001","0.8","-30","bgm_M64","1","210","1","1","250"
"1","1002","-265","1","10020102","0","0.75","0","101021","0","1","10","-120","101001","1.2","-30","bgm_M64","1","200","2","2","250"
"1","1002","-30","1","10020103","-10","0.9","-30","101021","-15","1","0","30","101001","1.4","-30","bgm_M64","1","200","3","3","100"
"1","1002","220","1.25","10020104","0","1","-30","101021","0","1","0","-90","101001","1.5","-30","bgm_M64","1","200","4","4","100"
"1","1002","440","1.6","10020105","0","1.4","0","101031","0","1","0","0","101011","1.8","-30","bgm_M55","1","250","5","5","200"
"1","1003","-470","0.7","10030101","-30","0.6","0","101041","0","1","10","-155","101041","0.8","-30","bgm_M64","1","210","1","1","250"
"1","1003","-210","1","10030102","0","0.75","0","101041","0","1","10","-95","101041","1.2","-30","bgm_M64","1","200","2","2","250"
"1","1003","50","1","10030103","-10","0.75","-50","101041","0","1","0","-120","101041","1.1","-30","bgm_M64","1","200","3","3","100"
"1","1003","195","1.2","10030104","0","0.8","-30","101041","0","1","0","35","101041","1.5","-30","bgm_M64","1","200","4","4","100"
"1","1003","450","1.35","10030105","0","1.1","-50","101042","0","1","0","-55","101042","1.8","-30","bgm_M55","1","210","5","5","150"
