d45bcdc0f0e3ed09423b90a1ce08bd86324962e26a10f53e461a03c32742cf3e,7cadd0eeb58e131d7d52027026948d28e714b8338ca554d4bd3af4c506ead6d6,7846254499f177a9d6110d5e4db75af2cfb37280e2ce6a96b6dd62863ab0f8f7,db29224c13aa46f55687d13fc39a7917c41c4a97e09a8dcc3602cce6de6f75bc,f26f8f6f45c96e596e3fb9de8fff9b2a9e98dc5bfdd63d10b07c24417565796a,0874ddddabf3187b4ca7addb5c9362129f68eb25a0f27f0b27611c84fd4db4f3,31e53e7392acc2c1248031dfb8cf6c0ac34ff829eff2f5cb1829abacabe08b43,0c70056e8ede6d3f17c5fe602e84e32dde6bdbb4c7a85c6c01c5de2ba3e6c91d,d11d9911ddf9f9762ba6390d55f81959f1dc5aae1bdd24a3bf9883192c06f308,5808943b60ac0c44ed43585b6b7b202900e3123c3e5080cd08816912c59b3a48,c7173500f2fec9ea372681e63e3236244dd6ecae1ab0af4c8d8c85a4532a40bb,55ff6b914b5df588733b7da23c20559c6f4562db7a2f81f03540fb7b52d104e6,c5f97facbe4c9fb3100e23b8f6bb4d3c4b2cd5b7a3b451ee2437459bfa466a80,4d6f9374c9f98f7977be532f5cbc666b64028c9571cee2bb8df90785b1594a51,3183a7dd2ea56fac67bae2f6838501336255450c25fd0990eab6027a569d2ccf,47962119b21cb98c701c509df1fe746a34dc9bea562ffee570b8c91644e0e655,fe8198e46fe61a9bb8645a63eb7295b80a52171406916afa07bde6e00ecb5cf1
"51001","0","1","1","500","52001","獲得500里程。","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","貪吃佩可的\n吃飽飽雙倍飯糰","10","貪吃佩可的吃飽飽雙倍飯糰","1","0","2","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","1","2"
"51002","0","1","3","500","52002","獲得500里程。","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","可可蘿的\n好好休息沙拉","10","可可蘿的好好休息沙拉","2","0","2","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","1","30001"
"51003","0","1","2","500","52003","獲得1個未鑑定的平凡寶物。","下次投擲的骰子一定會丟出「5」。","凱留的\n絕妙五星漢堡","10","凱留的絕妙五星漢堡","1","0","1","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","1","20004"
"51004","0","1","2","500","52004","獲得800里程。","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","莉莉的踏實\n邁進柏餅","10","莉莉的踏實邁進柏餅","3","0","4","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","3","20001"
"51005","0","3","4","500","52005","下次擲骰的時候，多前進1格。","讓隨機活動出現。","可璃亞的\n多彩多姿便當","11","可璃亞的多彩多姿便當","3","0","1","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","0","1"
"51006","0","1","2","500","52006","獲得800里程。","下次投擲的骰子只會丟出「4、5、6」。","普蕾西亞的貪吃鬼\n噗噗肉包","10","普蕾西亞的貪吃鬼噗噗肉包","1","0","4","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","1","20002"
"51007","0","1","7","500","52007","獲得1張抽獎券。","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","嘉夜與祈梨的\n食慾加倍沙威瑪","10","嘉夜與祈梨的食慾加倍沙威瑪","1","0","3","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","2","1"
"51008","0","2","5","500","52008","獲得500里程。","下次於里程格停下來之際，\n所獲得的里程將提升200%。","珠希的彩虹\n招財鯛魚燒","10","珠希的彩虹招財鯛魚燒","2","1","2","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","0","200"
"51009","1","1","7","500","52009","獲得1個未鑑定的平凡寶物。","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","克蘿茜的\n全力馬鈴薯沙拉","10","克蘿茜的全力馬鈴薯沙拉","2","0","1","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","2","1"
"51010","0","2","6","500","52010","獲得500里程。","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","綾音與胡桃的\n戶外野餐組","10","綾音與胡桃的戶外野餐組","3","2","2","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","0","1"
