47358187513e5baed9763a6aaf5e2993fa44a7c030ab13d51b982a1af88e1c56,956f02891f98c25354103dde566d8a578e6d0ded0005e6d7607fdd0874f5aed7,0e1168d20ba7bb4ab168b183a6d8dfbae52a10c626b7a3049caba4537a87d49d,d7019216dfe002b5cf6f2fc970d370a870b8879799eb928e19805c45a266ec36,7881f9d3e756069104fa5511289a5eef49bea83ca14a821886ac872ffc8fb4f7,b15a75ba1d9ed99aa5eb97b94bac319b6c040131a48a2ec640f7389f9106c0c8,2df4a2a6f8d04791a0e8ea1c45153cfed10bfa792f5e8c835a125632293463ad,285965e388fd26d7b4393753d4df289cebee4b52b30f7d16593743aba4099a5c,9a08132b76e5750117c38311eb0b1a10578d88c471e1c4c7ef8300f96eb98169,483dde02c5d04e08b4316a41cdfeb9affb64dbc73fa0e316783d0c56d672347a,fc877eaf4cdcc27d3d6e16004cbeabede19cd4e541022dd33def5f4e120166d8,8c66f755e08c52b4b6de2951744e92a7908916c4fdffa488c44d1a07406dc363,33542090e9b6ef3dda8e45c288ed4123d09ec8ae857625c0eaf2cf8b7ce98822,aefaabb4ba11aa4885eee64e2355dea32dbd6175c7f0824e6e07255f6c91f093,c639f43391d43a8dda9a38258af9d4862f9fe962fa774a706c87bd2a845dfdad,679084b2fa455c8fd7e9241c4a1d15aa6833c2e7543cbf28e8145a965d5e1e95,f4babdfe0cd71ec80e140b6307918936ab328af053fe847ec6b6a83f84bf4c2e,cc1f28d4df2aef14d2491df0d29cfb6648fa4598633f7de4ef917bacc3f49718,894873d551ba9f95fc9ec0c4bf4a135ad82cdecdaa4d8b7f9281be427c1bc19a,66c92020b896e7ace0795a1df9fcd293c52b24115e62c37b386e35e8985c8b2a,3f60165158102622700821587e7b646ff2ee9198207b9cf6de20839ad0f15c05,58942e1ddccfe1f0217fe4da0ea0af0b3739643875d0b247e0b866b174fbdfaf,8cf1bd583c8bea47bf31daecbc6b912641762707a84d058ec62cb1d012247d88,b222aab2ab7a86afd1f1ea7d3a0958e9fb60d39fbb2741fc5fb02d303cf2203d,e7c7885703eb73f8f6d941624eb242874281e5227428c675826c5ac92c51d51b,ea5192b8e39c02319d3eb69cd3aa129da58b5bca720f5f5f9f731e466b95980e,06c21ec0a53b4950d6dd4f3e93ff8d7b03ef0c63d4977584b57ed2b1bdfe7f6c,31f220079a037116c60bdccda04dc19f074b1c64b94b580ec6d4c8f11a6510d9,9421f919f5c0f8fd540c14d9602dcf0b3414c8dcd80aff98d62c090dd2b72df3,db517508c47b256bdfee2da7ac8d0de6bc2d354012ba62df451bf126eb539b66,4029844b93d6a485f29e931d318c2e9724e54dbbe651a8d47f11249778f2e7f5,2b5e69e6518988c1bdf122eaff6c291eb6c481f2529ba1d1f3cc526e0dac80a6,cf2a2e42c306611f9615bf923e620f7aa42752c9d67d429f6931605631b14c2d,728831f48ae39d33ccca99fb1fa9e254c53d37f7e96aa0d4895d82d37b9e3cca
"796","bgm_M47","20001","1","1","-40","-50","0.6","2000101","0","20001101","81000105","0","650001011","0","200010","1.5","0","-76","770","81000105","270","1","1","1","90","340","0","0","0","bgm_M47","660001001","BOSS戰(NORMAL)","0"
"70","bgm_M47","20001","1","2","-210","-50","0.6","2000102","0","20001201","81000106","0","650001021","0","200010","1.5","0","-180","60","81000106","270","1","1","1","90","341","0","0","0","bgm_M47","660001002","BOSS戰(HARD)","0"
"520","bgm_M47","20001","1","3","-40","-50","0.6","2000103","0","20001201","81000106","0","650001031","0","200010","1.5","0","10","470","81000106","270","1","1","1","90","344","0","0","0","bgm_M47","660001003","Boss戰(VERYHARD)","0"
"850","bgm_M102","20002","1","1","-30","0","0.6","2000201","0","20002101","81000205","0","650002011","0","510021","1.3","0","20","750","81000205","40","1","1","1","90","5002301","0","0","0","bgm_M102","660002001","BOSS戰(NORMAL)","0"
"-250","bgm_M102","20002","1","2","20","0","0.6","2000202","0","20002201","81000207","0","650002021","0","510022","1.3","0","125","140","81000207","40","1","1","1","90","5002302","0","0","0","bgm_M102","660002002","BOSS戰(HARD)","0"
"500","bgm_M102","20002","1","3","-40","0","0.6","2000203","0","20002201","81000207","0","650002031","345","510022","1.3","0","10","450","81000207","40","1","1","1","90","344","0","0","0","bgm_M102","660002003","Boss戰(VERYHARD)","0"
"830","bgm_M109","20003","1","1","-40","30","0.6","2000301","0","20003101","81000305","0","650003011","0","510031","1.1","0","10","730","81000305","20","1","1","1","90","5003302","0","0","0","bgm_M109","660003001","BOSS戰(NORMAL)","0"
"210","bgm_M109","20003","1","2","20","30","0.6","2000302","0","20003201","81000306","0","650003021","0","510032","1.1","0","90","180","81000306","20","1","1","1","90","5003301","0","0","0","bgm_M109","660003002","BOSS戰(HARD)","0"
"500","bgm_M109","20003","1","3","-40","30","0.6","2000303","0","20003201","81000306","0","650003031","345","510032","1.1","0","10","450","81000306","20","1","1","1","90","344","0","0","0","bgm_M109","660003003","BOSS戰(VERY HARD)","0"
"870","bgm_M116","20004","1","1","-40","30","0.6","2000401","0","20004101","81000405","0","650004011","0","510041","1.1","0","10","770","81000405","20","1","1","1","90","5004301","0","0","0","bgm_M116","660004001","BOSS戰(NORMAL)","0"
"-30","bgm_M116","20004","1","2","-40","30","0.6","2000402","0","20004201","81000406","0","650004021","0","510042","1.1","0","10","450","81000406","20","1","1","1","90","5004302","0","0","0","bgm_M116","660004002","BOSS戰(HARD)","0"
"500","bgm_M116","20004","1","3","-40","30","0.6","2000403","0","20004201","81000406","0","650004031","0","510042","1.1","0","-10","450","81000406","20","1","1","1","90","5004308","0","0","0","bgm_M116","660004003","BOSS戰(VERY HARD)","0"
"870","bgm_M124","20005","1","1","-40","90","0.6","2000501","0","20005101","81000505","0","650005011","0","510051","1.3","0","10","770","81000505","90","1","1","1","90","5005301","0","0","0","bgm_M124","660005001","BOSS戰(NORMAL)","0"
