894873d551ba9f95fc9ec0c4bf4a135ad82cdecdaa4d8b7f9281be427c1bc19a,fc877eaf4cdcc27d3d6e16004cbeabede19cd4e541022dd33def5f4e120166d8,d7019216dfe002b5cf6f2fc970d370a870b8879799eb928e19805c45a266ec36,679084b2fa455c8fd7e9241c4a1d15aa6833c2e7543cbf28e8145a965d5e1e95,aefaabb4ba11aa4885eee64e2355dea32dbd6175c7f0824e6e07255f6c91f093,c639f43391d43a8dda9a38258af9d4862f9fe962fa774a706c87bd2a845dfdad,e7c7885703eb73f8f6d941624eb242874281e5227428c675826c5ac92c51d51b,58942e1ddccfe1f0217fe4da0ea0af0b3739643875d0b247e0b866b174fbdfaf,9a08132b76e5750117c38311eb0b1a10578d88c471e1c4c7ef8300f96eb98169,cf2a2e42c306611f9615bf923e620f7aa42752c9d67d429f6931605631b14c2d,cc1f28d4df2aef14d2491df0d29cfb6648fa4598633f7de4ef917bacc3f49718,8cf1bd583c8bea47bf31daecbc6b912641762707a84d058ec62cb1d012247d88,285965e388fd26d7b4393753d4df289cebee4b52b30f7d16593743aba4099a5c,2b5e69e6518988c1bdf122eaff6c291eb6c481f2529ba1d1f3cc526e0dac80a6,3f60165158102622700821587e7b646ff2ee9198207b9cf6de20839ad0f15c05,9421f919f5c0f8fd540c14d9602dcf0b3414c8dcd80aff98d62c090dd2b72df3,f4babdfe0cd71ec80e140b6307918936ab328af053fe847ec6b6a83f84bf4c2e,33542090e9b6ef3dda8e45c288ed4123d09ec8ae857625c0eaf2cf8b7ce98822,4029844b93d6a485f29e931d318c2e9724e54dbbe651a8d47f11249778f2e7f5,db517508c47b256bdfee2da7ac8d0de6bc2d354012ba62df451bf126eb539b66,b222aab2ab7a86afd1f1ea7d3a0958e9fb60d39fbb2741fc5fb02d303cf2203d,728831f48ae39d33ccca99fb1fa9e254c53d37f7e96aa0d4895d82d37b9e3cca,06c21ec0a53b4950d6dd4f3e93ff8d7b03ef0c63d4977584b57ed2b1bdfe7f6c,956f02891f98c25354103dde566d8a578e6d0ded0005e6d7607fdd0874f5aed7,47358187513e5baed9763a6aaf5e2993fa44a7c030ab13d51b982a1af88e1c56,8c66f755e08c52b4b6de2951744e92a7908916c4fdffa488c44d1a07406dc363,ea5192b8e39c02319d3eb69cd3aa129da58b5bca720f5f5f9f731e466b95980e,31f220079a037116c60bdccda04dc19f074b1c64b94b580ec6d4c8f11a6510d9,7881f9d3e756069104fa5511289a5eef49bea83ca14a821886ac872ffc8fb4f7,483dde02c5d04e08b4316a41cdfeb9affb64dbc73fa0e316783d0c56d672347a,b15a75ba1d9ed99aa5eb97b94bac319b6c040131a48a2ec640f7389f9106c0c8,0e1168d20ba7bb4ab168b183a6d8dfbae52a10c626b7a3049caba4537a87d49d,2df4a2a6f8d04791a0e8ea1c45153cfed10bfa792f5e8c835a125632293463ad,66c92020b896e7ace0795a1df9fcd293c52b24115e62c37b386e35e8985c8b2a
"-76","20001101","1","200010","650001011","0","1","270","2000101","BOSS戰(NORMAL)","0","1","0.6","660001001","81000105","0","1.5","0","bgm_M47","0","1","0","340","bgm_M47","796","81000105","90","0","1","0","-40","20001","-50","770"
"-180","20001201","1","200010","650001021","0","1","270","2000102","BOSS戰(HARD)","0","1","0.6","660001002","81000106","0","1.5","0","bgm_M47","0","1","0","341","bgm_M47","70","81000106","90","0","2","0","-210","20001","-50","60"
"10","20001201","1","200010","650001031","0","1","270","2000103","Boss戰(VERYHARD)","0","1","0.6","660001003","81000106","0","1.5","0","bgm_M47","0","1","0","344","bgm_M47","520","81000106","90","0","3","0","-40","20001","-50","470"
"20","20002101","1","510021","650002011","0","1","40","2000201","BOSS戰(NORMAL)","0","1","0.6","660002001","81000205","0","1.3","0","bgm_M102","0","1","0","5002301","bgm_M102","850","81000205","90","0","1","0","-30","20002","0","750"
"125","20002201","1","510022","650002021","0","1","40","2000202","BOSS戰(HARD)","0","1","0.6","660002002","81000207","0","1.3","0","bgm_M102","0","1","0","5002302","bgm_M102","-250","81000207","90","0","2","0","20","20002","0","140"
"10","20002201","1","510022","650002031","345","1","40","2000203","Boss戰(VERYHARD)","0","1","0.6","660002003","81000207","0","1.3","0","bgm_M102","0","1","0","344","bgm_M102","500","81000207","90","0","3","0","-40","20002","0","450"
"10","20003101","1","510031","650003011","0","1","20","2000301","BOSS戰(NORMAL)","0","1","0.6","660003001","81000305","0","1.1","0","bgm_M109","0","1","0","5003302","bgm_M109","830","81000305","90","0","1","0","-40","20003","30","730"
"90","20003201","1","510032","650003021","0","1","20","2000302","BOSS戰(HARD)","0","1","0.6","660003002","81000306","0","1.1","0","bgm_M109","0","1","0","5003301","bgm_M109","210","81000306","90","0","2","0","20","20003","30","180"
"10","20003201","1","510032","650003031","345","1","20","2000303","BOSS戰(VERY HARD)","0","1","0.6","660003003","81000306","0","1.1","0","bgm_M109","0","1","0","344","bgm_M109","500","81000306","90","0","3","0","-40","20003","30","450"
"10","20004101","1","510041","650004011","0","1","20","2000401","BOSS戰(NORMAL)","0","1","0.6","660004001","81000405","0","1.1","0","bgm_M116","0","1","0","5004301","bgm_M116","870","81000405","90","0","1","0","-40","20004","30","770"
"10","20004201","1","510042","650004021","0","1","20","2000402","BOSS戰(HARD)","0","1","0.6","660004002","81000406","0","1.1","0","bgm_M116","0","1","0","5004302","bgm_M116","-30","81000406","90","0","2","0","-40","20004","30","450"
"-10","20004201","1","510042","650004031","0","1","20","2000403","BOSS戰(VERY HARD)","0","1","0.6","660004003","81000406","0","1.1","0","bgm_M116","0","1","0","5004308","bgm_M116","500","81000406","90","0","3","0","-40","20004","30","450"
"10","20005101","1","510051","650005011","0","1","90","2000501","BOSS戰(NORMAL)","0","1","0.6","660005001","81000505","0","1.3","0","bgm_M124","0","1","0","5005301","bgm_M124","870","81000505","90","0","1","0","-40","20005","90","770"
