8688f9ecfa89aa10fea763d31a30a85a8703a0478fc2addf1af7c6ccd0addcb9,d1b8dcd1d1bdbc457e0568c407159f7d0dd545b943ba529f269e3114f0442d60,3f5fa7c3aaac61346dc8a203aaad310df82d779e9f857dcbd172465afd8d1c49,1a27f1a80e99117fd86983ac36da76c055a5c21aeae1c4ff06ff6cdec5735b5c,fa6ad9a5dcc860d1a168ff0881dcad85aad110bc291913d0206cab304af8bebf,31ea4d9ac863a64326e4b9b3c72d797b8d647b5bc8ab92253e9a84a5896d2cb2,f13d154f40d9a1485a1599b1448cbd984f17b74d7f5526dff8433dcc858c7277,f8ac74158fe7cd2e6711375ef34d4d31de70ac1fa211ee64161fe8f5f09f7812,091d0693693995bc4a479488a845f6267896c3b1eec7f2e2751008039e11dffa,3f9fc073f46d83c583e884b3b13ad9b6bb852ff33ccfb40c54a1939892944c42
"0","10138104","0","令人懷念的往日結晶","0","序幕","10110","5110601","0","0"
"8","10138104","0","誰才是隊長！","30","尾狗刀的懷想　其一","10110","5110602","91002","1"
"8","10138105","0","想獲勝的理由","30","尾狗刀的懷想　其二","10110","5110603","91002","1"
"8","10138108","0","善於傾聽的誓約女君","30","克莉絲提娜的懷想　其一","10110","5110604","91002","1"
"8","10138109","0","隱藏的真正實力……？","30","大吾的懷想　其一","10110","5110605","91002","1"
"8","10138110","0","寫作朋友，讀作對手","30","拉比林斯達的懷想　其一","10110","5110606","91002","1"
"8","10138112","0","惡與正義的放聲大笑","30","真軌的懷想","10110","5110607","91002","1"
"8","10138113","0","所謂的公主騎士","30","拉基拉基的懷想　其一","10110","5110608","91002","1"
"8","10138114","0","遙想未來的日子","30","尾狗刀的懷想　其三","10110","5110609","91002","1"
"8","10139103","0","跳躍王的懲罰","30","拉基拉基的懷想　其二","10111","5111602","91002","1"
"8","10139105","0","兩人一起絕對能做到","30","克莉絲提娜的懷想　其二","10111","5111603","91002","1"
"8","10139108","0","踩虎尾","30","大吾的懷想　其二","10111","5111604","91002","1"
"8","10139109","0","最可疑的七冠是誰","30","拉比林斯達的懷想　其二","10111","5111605","91002","1"
"8","10139110","0","過於簡單的問題","30","似似花的懷想","10111","5111606","91002","1"
"8","10139113","0","魔物使如是說","30","尾狗刀的懷想　其四","10111","5111607","91002","1"
"8","10139113","0","惡徒們追尋的未來","30","尾狗刀的懷想　其五","10111","5111608","91002","1"
"16","0","1","超越過去，創造回憶","1","終幕","10111","5111609","9000222","0"
