9185a863a8760e59c5a6785b183d48659c61d4e63eba1570735694bf65697ac0,6530cc158c41ae6386a93171bd29b7e90937c04cb932bd52ec3be6cbfd080773,5f43e5c2990f3ea0712c777d85a9e828bde36c469f6e8620467cd70fec36761b,9df691a2e5b6dcc6dbfac7ffe2668aac7592b639eaff28036e604f0919bc1138,e793135a58cec69724b2d2111461a9eebef1421e381e6e599627249fbe332d63
"1001","8000000","12","94002","1"
"1001","40","2","90005","2"
"1002","8000000","12","94002","3"
"1002","50","2","90005","4"
"1003","8000000","12","94002","5"
"1003","60","2","90005","6"
"1004","8000000","12","94002","7"
"1004","70","2","90005","8"
"1005","150","8","91002","9"
"1005","8000000","12","94002","10"
"1005","80","2","90005","11"
"1006","8000000","12","94002","12"
"1006","90","2","90005","13"
"1007","300","8","91002","14"
"1007","8000000","12","94002","15"
"1007","100","2","90005","16"
"2001","8000000","12","94002","17"
"2002","8000000","12","94002","18"
"2003","8000000","12","94002","19"
"2004","8000000","12","94002","20"
"2005","8000000","12","94002","21"
"2006","8000000","12","94002","22"
"2007","8000000","12","94002","23"
"2008","8000000","12","94002","24"
"2009","8000000","12","94002","25"
"2010","8000000","12","94002","26"
"2011","8000000","12","94002","27"
"2012","8000000","12","94002","28"
"2013","8000000","12","94002","29"
"2014","8000000","12","94002","30"
"2015","8000000","12","94002","31"
"7001","8000000","12","94002","32"
"7001","5","2","90005","33"
"7002","8000000","12","94002","34"
"7002","5","2","90005","35"
"7003","8000000","12","94002","36"
"7003","5","2","90005","37"
"7004","8000000","12","94002","38"
"7004","10","2","90005","39"
"7005","8000000","12","94002","40"
"7005","10","2","90005","41"
"7006","8000000","12","94002","42"
"7006","10","2","90005","43"
"7007","8000000","12","94002","44"
"7007","15","2","90005","45"
"7008","8000000","12","94002","46"
"7008","15","2","90005","47"
"7009","8000000","12","94002","48"
"7009","15","2","90005","49"
"7010","8000000","12","94002","50"
"7010","20","2","90005","51"
"7011","8000000","12","94002","52"
"7011","20","2","90005","53"
"7012","8000000","12","94002","54"
"7012","20","2","90005","55"
"7013","8000000","12","94002","56"
"7013","25","2","90005","57"
"7014","8000000","12","94002","58"
"7014","25","2","90005","59"
"7015","8000000","12","94002","60"
"7015","25","2","90005","61"
"7016","8000000","12","94002","62"
"7016","30","2","90005","63"
"7017","8000000","12","94002","64"
"7017","30","2","90005","65"
"7018","8000000","12","94002","66"
"7018","30","2","90005","67"
"7019","8000000","12","94002","68"
"7019","35","2","90005","69"
"7020","8000000","12","94002","70"
"7020","35","2","90005","71"
"7021","8000000","12","94002","72"
"7021","35","2","90005","73"
"7022","8000000","12","94002","74"
"7022","40","2","90005","75"
"8001","8000000","12","94002","76"
"8001","1000","2","90008","77"
"8002","8000000","12","94002","78"
"8002","1250","2","90008","79"
"8003","8000000","12","94002","80"
"8003","1500","2","90008","81"
"8004","8000000","12","94002","82"
"8004","1750","2","90008","83"
"8005","8000000","12","94002","84"
"8005","2000","2","90008","85"
"8006","8000000","12","94002","86"
"8006","2250","2","90008","87"
"8007","8000000","12","94002","88"
"8007","2500","2","90008","89"
"9001","50","2","80001","90"
"9002","50","2","80002","91"
"9003","50","2","80003","92"
"9004","50","2","80004","93"
"9005","50","2","80005","94"
