8d86a015c084ab502024f34ed64d34b0260a939f8d0d8ba011a80619677aa1b7,8da757685629ed5a462fa2ddaaaa618a40bb4616eba416ad6789caced1e168ce,4f0c7e1f7e5e7e8f680ac3484ba327d3917daf5aa09286bc76f9f03592f03ed2,b202988d0d1c3ba23cf87a8b14fd02f259bed42c0b123dd80c223e455a76fba5,1f313770b8b7f87a6020fef4058059d8de60b979f961d7d7ef874aa8aaf8fde4,105450d96efe55a1e1c3c3cef9ba42988320e91a30673d199690fec71ec673a7,1daf489151b8508ccd44dbfdeb9626fa75c589a83ca90c626dca14827887540f,a2b0bbbadff879395c165cc086948b3b7d644c952cee422dec98a44774673670,00fec5bcb01e0147525873525c93d1b6970a688945584bf653d353367856bb89,a3cca45c4c5cd109dc3df210e7f0d9dbf7600c5f059df21abd1c10358a7f2543,65350d1a30ec04a971027034faa8e22791df57e8bb8efbbea626106c51b7989b,6104edc8ea13a1bae1266c3293983fde96b56bf1e3ab50c18f5e731723960825,4dbcac497e6af7e868c7aa95be4d7887c2e2335c14364694c1c1ef415cb59527,71d2509b9d37d8f606ef41e402c4802ebb2583d45ee8fba2264b119c0356b4fc
"啊啊～好可惜～\n難道你的魂被奄美魔物奪走了嗎～？","香織（夏日）","110501","2030/12/17 14:59:59","4","2019/12/02 16:00:00","10021","2.3","1","24","24015","0","0","1"
"今天的舞蹈也跳得很糟糕呢～\n吃點像苦瓜的東西恢復元氣吧～！","香織（夏日）","110501","2030/12/17 14:59:59","4","2019/12/02 16:00:00","10021","2.3","1","24","24016","0","0","2"
"到處都是奄美魔物，看得我眼花瞭亂～！\n腦袋也昏昏的～！","香織（夏日）","110501","2030/12/17 14:59:59","4","2019/12/02 16:00:00","10021","2.3","1","24","24017","0","0","3"
"船到橋頭自然直、船到橋頭自然直\n下次再努力就好了～！\n到海邊游泳，讓自己煥然一新吧～！","香織（夏日）","110501","2030/12/17 14:59:59","1","2019/12/02 16:00:00","10021","2.3","1","24","24018","0","0","4"
"丟臉的一面\n被你看見了～\n泳裝？　我指的不是泳裝喔～？","香織（夏日）","110501","2030/12/17 14:59:59","5","2019/12/02 16:00:00","10021","2.3","1","24","24019","0","0","5"
"狀態絕佳～！　就按照這個步調\n取回大海的和平吧～！\n歡樂的夏天正在等著我們～！","香織（夏日）","110501","2030/12/17 14:59:59","2","2019/12/02 16:00:00","10021","2.3","3","24","24020","0","0","6"
"不管有幾隻魔物來襲，\n我都不會嚇掉魂喔～！\n哈啾！　啊……不過可能會因為剛剛的噴嚏而掉魂～？","香織（夏日）","110501","2030/12/17 14:59:59","1","2019/12/02 16:00:00","10021","2.3","3","24","24021","0","0","7"
"咿――呀――呀――啊――♪\n戰鬥結束後跳個舞蹈，\n精神百倍呀～！","香織（夏日）","110501","2030/12/17 14:59:59","2","2019/12/02 16:00:00","10021","2.3","3","24","24022","0","0","8"
"咦～？　戰鬥途中\n泳衣不知道跑去哪了～？\n喂，你有看到嗎～？\n為什麼要離開呢～？","香織（夏日）","110501","2030/12/17 14:59:59","6","2019/12/02 16:00:00","10021","2.3","3","24","24023","0","0","9"
"我還很有精神喔～！\n不管是奄美魔物還是別的，\n儘管來～吧～♪","香織（夏日）","110501","2030/12/17 14:59:59","1","2019/12/02 16:00:00","10021","2.3","3","24","24024","0","0","10"
"我的空手道可是世界最強的～！\n只要夏日陽光和蔚藍大海常伴左右，\n我們就能所向無敵喔～！","香織（夏日）","110501","2030/12/17 14:59:59","2","2019/12/02 16:00:00","10021","2.3","3","24","24025","0","0","11"
