e385c5c7bf170be36a24b14fc61fa6d3fe8e8847dc0ceec2074fdfc51913d0c0,21f8ffa5ec7570c99883cc04463bbdf9fa3321b8659c88cf18b69c22f0f880be,95ff555e4ca7dcba50a0abad2d64d759ee4914513f3253ce988ca1aa5e029e8f,773e10fdac0f53167a75a34ac2bdb17bd583f2a9e65ff8eab844e22c783891fe,785e9a9ff4478069fbee73d288b9d1d344e98a7c6326ae91401e388150c10b0b,4c2f8f3c00d86bc516168eb63d8e6b3a1288675582a90ca14ab72a53eea17b59,0db54a14a09c1560762967f005738764875d4a8a80826b7ac5a545e75c7a2b08,8efa0845c30a3ac162421df1975b26b3c22b3990233694e9be7ab3dd6058274b,55e693bbfdbc813be6adbc023329298487c46cfb1e2b0e19f229febd2e2b5dc1,b7693fc1633219759ef29b0f4825c99baa5dec209d2cbecf7b83f24587dc6206,3d1c1228463a7b6031be1a40139fe3838753f36a5d8994cbd340cc0189e1752c,586014cfb1c9ba5b73c7aca6aae0c3d432eadaa12629a279fab777b3f6b0590d,f60e2d3f4b8ed54e4f448baeee6404f1dc9e69ca10a5d6b1d4c476c5b7fd8847,db41673b63fa21cb3d35044af8cc406a8361e6fd3da7409ef58068baf0e78990,54cea705d034244a55700b6ddfa32e63736ae985a7b934b27cb907b97fce8bc2,156f6e856031a530ca1aa788faa2c3ac5aef4642d3f922ec2e603311553aa3cc,9f1159bab1fe9b900bb819b204b56fa31653b386c19622aafcf08e1bcbbd6529
"0","51001","500","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","獲得500里程。","10","2","1","貪吃佩可的吃飽飽雙倍飯糰","1","1","1","52001","貪吃佩可的\n吃飽飽雙倍飯糰","2"
"0","51002","500","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。","0","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","獲得500里程。","10","30001","1","可可蘿的好好休息沙拉","3","1","2","52002","可可蘿的\n好好休息沙拉","2"
"0","51003","500","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。","0","下次投擲的骰子一定會丟出「5」。","獲得1個未鑑定的平凡寶物。","10","20004","1","凱留的絕妙五星漢堡","2","1","1","52003","凱留的\n絕妙五星漢堡","1"
"0","51004","500","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。","0","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","獲得800里程。","10","20001","1","莉莉的踏實邁進柏餅","2","3","3","52004","莉莉的踏實\n邁進柏餅","4"
"0","51005","500","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。","0","讓隨機活動出現。","下次擲骰的時候，多前進1格。","11","1","3","可璃亞的多彩多姿便當","4","0","3","52005","可璃亞的\n多彩多姿便當","1"
"0","51006","500","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。","0","下次投擲的骰子只會丟出「4、5、6」。","獲得800里程。","10","20002","1","普蕾西亞的貪吃鬼噗噗肉包","2","1","1","52006","普蕾西亞的貪吃鬼\n噗噗肉包","4"
"0","51007","500","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。","0","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","獲得1張抽獎券。","10","1","1","嘉夜與祈梨的食慾加倍沙威瑪","7","2","1","52007","嘉夜與祈梨的\n食慾加倍沙威瑪","3"
"1","51008","500","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。","0","下次於里程格停下來之際，\n所獲得的里程將提升200%。","獲得500里程。","10","200","2","珠希的彩虹招財鯛魚燒","5","0","2","52008","珠希的彩虹\n招財鯛魚燒","2"
"0","51009","500","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","獲得1個未鑑定的平凡寶物。","10","1","1","克蘿茜的全力馬鈴薯沙拉","7","2","2","52009","克蘿茜的\n全力馬鈴薯沙拉","1"
"2","51010","500","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。","0","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","獲得500里程。","10","1","2","綾音與胡桃的戶外野餐組","6","0","3","52010","綾音與胡桃的\n戶外野餐組","2"
"0","51011","500","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","0","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","獲得1張抽獎券。","10","1","1","莉瑪的不可思議甜蘋果","7","2","3","52011","莉瑪的不可思議\n甜蘋果","3"
"0","51012","500","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","0","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","獲得1個未鑑定的平凡寶物。","10","30002","1","妮諾的原創一二三壽司","3","1","2","52012","妮諾的原創\n一二三壽司","1"
"0","51013","500","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","0","打開RANK2的里程商店。","獲得800里程。","10","2","3","克蕾琪塔的開運點心拼盤","8","0","3","52013","克蕾琪塔的開運\n點心拼盤","4"
"0","51014","500","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","0","跳過里程格進行移動。效果持續2回合。","下次擲骰的時候，多前進1格。","11","1","1","璃乃的「時乃金時」刨冰","9","2","2","52014","璃乃的\n「時乃金時」刨冰","1"
"0","51015","500","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","下次擲骰的時候，多前進1格。","11","2","1","靜流的愛情滿滿漢堡排","1","1","1","52015","靜流的愛情\n滿滿漢堡排","1"
