f2ed1cefc41f4658bafa50dc7b496ab04f90f5c8c137ca05c3fecd7642a9e42a,99bd056c24ef329fa0686fc655cd72537deec024d7b8072345f0577b5c6c518e,04f5c6ebdd5308a2dfb768cc193a7baf6f3fdefcc6344083bc627cbc35fd12c1,d0656655aa319e43e841bb4251b34b0ee50ce7239f9541ea3d062e80452b5af2,ffcd044e6b003de624e51f5e51c5654e5239969c1a645322cb209c1a46e401b2,5fe0dea8ac6f6c6adc9e53de4cc15a0380afad600b28842f9cfaf85447cc6a0d,043b0acfb609e5a2e846cd505f5857f72de5b1d6cb6540c75686d2ac156ce8b2,8ecc38a3c1b7dc97b787d62d13902b6121d67ab2df31c39786f72b4ea05b969e,b453b37697fe3fe86465723debee1f16d11954542965039d2baa24e1c68e4b45,ba3e7ec608a6f6ddeb043d13a4b409c6137970a608c59148c94bf238e1755db0,f9c073d34f41ad0588033d4d2a85b787ac3dc3d857a4e166157395905bab16b3,c886598bd013d0ff8dfb818d092bc55bd933109463dd921cb7cdc94f2f4bdfa6
"0","0","297","0","0","0.025","32","0.05","1","0","28","24"
"0","0","288","0","0","0.025","31","0.05","2","0","27","23"
"0","0","279","0","0","0.025","30","0.05","3","0","26","22"
"0","0","270","0","0","0.025","29","0.05","4","0","25","21"
"0","0","261","0","0","0.025","28","0.05","5","0","24","20"
"0","0","252","0","0","0.025","27","0.05","6","0","23","19"
"0","0","243","0","0","0.025","26","0.05","7","0","22","18"
"0","0","234","0","0","0.025","25","0.05","8","0","21","17"
"0","0","225","0","0","0.025","24","0.05","9","0","20","16"
"0","0","216","0","0","0.025","23","0.05","10","0","19","15"
"0","0","207","0","0","0.025","22","0.05","11","0","18","14"
"0","0","198","0","0","0.025","21","0.05","12","0","17","13"
"0","0","189","0","0","0.025","20","0.05","13","0","16","12"
"0","0","180","0","0","0.025","19","0.05","14","0","15","11"
"0","0","171","0","0","0.025","18","0.05","15","0","14","10"
"0","0","161","0","0","0.025","17","0.05","16","0","13","9"
"0","0","152","0","0","0.025","16","0.05","17","0","12","8"
"0","0","143","0","0","0.025","15","0.05","18","0","11","7"
"0","0","134","0","0","0.025","14","0.05","19","0","10","6"
"0","0","125","0","0","0.025","13","0.05","20","0","9","5"
"0","0","116","0","0","0.025","12","0.05","21","0","8","4"
"0","0","107","0","0","0.025","11","0.05","22","0","7","3"
"0","0","101","0","0","0.025","10","0.05","23","0","6","2"
"0","0","1","0","0","0","0","0","24","0","0","0"
