7effe89b72059943cf1214cf1ab4a52f6a303b4b07f0ac3152656e7c1b1d960c,f043059b6e33f5ff6319a3bce38a5501ae062f2d39b67797d3de143d3c0e5a17,98dbbbefc7e9f52b675b14ae23965434b83e70ba2a805bf3cecc58e93530283a,6baf8ba5c266cc0114f9525c74063ab7ab9553fffcff8da97d30678d071d1d08,403036e2782baac2e19f0c920bc46dccdf5f02b901e96725938f65895852386c,31ca3fff3a2066b22d32fb74d6842573b7d9e2029144d221edec7f6c9dcd4b28,f10eb6f57ab4cbc8fb5eb6762c40dac3410cad21dcafe810b2a9ff571c875b5c,5895f390ccdabb7d3c98bc37adfa8c0d7c6910b024ded9708ee6455c3e51d58d,70c46a46df46cc7872fa868c5bda5e20e86110ffaa92822b81912197d6ec48a2,03c2c2a72d3d989a066e2550e241a794647cc44b59a22e8f019254301663f112,57db98d4acad47348b3bb911dfd0b1e150dd6717385c4aeb35579803891dadce,ec9db82b7ebc2499f775c79456f16ccb0bacf9d6f38bd2ee7b2058fd845d400b,47c74942270ed0289699aee576b703ca00a1f0c22b3b48166d23d3455b052a84,32e8b96da8838f1cc94b16ee9c1175bfa71e9e5c1c4a69dd6b8108c503bc37b6,b9cbd0f6ef8e987aa47f0d497d20a393c4174cb5c4a439d465751f337b53dc60,4db96d915311dabe3ee654a8158c0e77edd8290b692d62be6d430104a3c52ae7,b39af2c64f5e08909ea9ee86bdefb4a970f37d149ab44335dfa567073369190a,c64e6da9c0f2bdf6e1c36391674b4f9a2a3c8c10a0d9d6a7138d3c3eb6899a30,46dc991fad5dce078873759d554367b2ac406e71eab582182a641429f8a8cd77,8586b007046a5647d2682fd6844f585e027d041b7497b1f2c4138df6c5f8d1ea
"1","0","0","0","2","0","3100104","0","5","20","0","1","1","1001201","0","0","20003","90006","0","2"
"2","0","0","0","2","0","3100103","0","4","15","0","2","3","1001201","0","0","20003","90006","0","2"
"3","0","0","0","2","0","3100102","0","3","10","0","4","10","1001201","0","0","20003","90006","0","2"
"4","0","0","0","2","0","3100101","0","1","5","0","11","30","1001201","0","0","20003","90006","0","2"
"5","0","0","0","2","0","3100104","0","5","20","0","1","1","1001202","0","0","20003","90006","0","2"
"6","0","0","0","2","0","3100103","0","4","15","0","2","3","1001202","0","0","20003","90006","0","2"
"7","0","0","0","2","0","3100102","0","3","10","0","4","10","1001202","0","0","20003","90006","0","2"
"8","0","0","0","2","0","3100101","0","1","5","0","11","30","1001202","0","0","20003","90006","0","2"
"9","0","0","0","2","0","3100104","0","5","20","0","1","1","1001203","0","0","20003","90006","0","2"
"10","0","0","0","2","0","3100103","0","4","15","0","2","3","1001203","0","0","20003","90006","0","2"
"11","0","0","0","2","0","3100102","0","3","10","0","4","10","1001203","0","0","20003","90006","0","2"
"12","0","0","0","2","0","3100101","0","1","5","0","11","30","1001203","0","0","20003","90006","0","2"
"13","0","0","0","2","0","3100104","0","5","20","0","1","1","1001204","0","0","20003","90006","0","2"
"14","0","0","0","2","0","3100103","0","4","15","0","2","3","1001204","0","0","20003","90006","0","2"
"15","0","0","0","2","0","3100102","0","3","10","0","4","10","1001204","0","0","20003","90006","0","2"
"16","0","0","0","2","0","3100101","0","1","5","0","11","30","1001204","0","0","20003","90006","0","2"
"17","0","0","0","2","0","3100104","0","10","40","0","1","1","1001205","0","0","20003","90006","0","2"
"18","0","0","0","2","0","3100103","0","8","30","0","2","3","1001205","0","0","20003","90006","0","2"
