03c2c2a72d3d989a066e2550e241a794647cc44b59a22e8f019254301663f112,f043059b6e33f5ff6319a3bce38a5501ae062f2d39b67797d3de143d3c0e5a17,403036e2782baac2e19f0c920bc46dccdf5f02b901e96725938f65895852386c,5895f390ccdabb7d3c98bc37adfa8c0d7c6910b024ded9708ee6455c3e51d58d,70c46a46df46cc7872fa868c5bda5e20e86110ffaa92822b81912197d6ec48a2,ec9db82b7ebc2499f775c79456f16ccb0bacf9d6f38bd2ee7b2058fd845d400b,98dbbbefc7e9f52b675b14ae23965434b83e70ba2a805bf3cecc58e93530283a,8586b007046a5647d2682fd6844f585e027d041b7497b1f2c4138df6c5f8d1ea,32e8b96da8838f1cc94b16ee9c1175bfa71e9e5c1c4a69dd6b8108c503bc37b6,f10eb6f57ab4cbc8fb5eb6762c40dac3410cad21dcafe810b2a9ff571c875b5c,6baf8ba5c266cc0114f9525c74063ab7ab9553fffcff8da97d30678d071d1d08,7effe89b72059943cf1214cf1ab4a52f6a303b4b07f0ac3152656e7c1b1d960c,b39af2c64f5e08909ea9ee86bdefb4a970f37d149ab44335dfa567073369190a,46dc991fad5dce078873759d554367b2ac406e71eab582182a641429f8a8cd77,c64e6da9c0f2bdf6e1c36391674b4f9a2a3c8c10a0d9d6a7138d3c3eb6899a30,4db96d915311dabe3ee654a8158c0e77edd8290b692d62be6d430104a3c52ae7,47c74942270ed0289699aee576b703ca00a1f0c22b3b48166d23d3455b052a84,31ca3fff3a2066b22d32fb74d6842573b7d9e2029144d221edec7f6c9dcd4b28,b9cbd0f6ef8e987aa47f0d497d20a393c4174cb5c4a439d465751f337b53dc60,57db98d4acad47348b3bb911dfd0b1e150dd6717385c4aeb35579803891dadce
"20","0","2","0","5","1","0","2","1001201","3100104","0","1","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1001201","3100103","0","2","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1001201","3100102","0","3","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1001201","3100101","0","4","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1001202","3100104","0","5","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1001202","3100103","0","6","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1001202","3100102","0","7","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1001202","3100101","0","8","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1001203","3100104","0","9","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1001203","3100103","0","10","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1001203","3100102","0","11","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1001203","3100101","0","12","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1001204","3100104","0","13","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1001204","3100103","0","14","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1001204","3100102","0","15","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1001204","3100101","0","16","20003","0","90006","0","30","0","0","0"
"40","0","2","0","10","1","0","2","1001205","3100104","0","17","20003","0","90006","0","1","0","0","0"
"30","0","2","0","8","2","0","2","1001205","3100103","0","18","20003","0","90006","0","3","0","0","0"
"20","0","2","0","6","4","0","2","1001205","3100102","0","19","20003","0","90006","0","10","0","0","0"
"10","0","2","0","2","11","0","2","1001205","3100101","0","20","20003","0","90006","0","30","0","0","0"
"5","0","2","0","4","1","0","2","1001206","3100104","0","21","20003","0","90006","0","1","0","0","0"
"4","0","2","0","3","2","0","2","1001206","3100103","0","22","20003","0","90006","0","3","0","0","0"
"3","0","2","0","2","4","0","2","1001206","3100102","0","23","20003","0","90006","0","10","0","0","0"
"2","0","2","0","1","11","0","2","1001206","3100101","0","24","20003","0","90006","0","30","0","0","0"
"5","0","2","0","4","1","0","2","1001207","3100104","0","25","20003","0","90006","0","1","0","0","0"
"4","0","2","0","3","2","0","2","1001207","3100103","0","26","20003","0","90006","0","3","0","0","0"
"3","0","2","0","2","4","0","2","1001207","3100102","0","27","20003","0","90006","0","10","0","0","0"
"2","0","2","0","1","11","0","2","1001207","3100101","0","28","20003","0","90006","0","30","0","0","0"
"5","0","2","0","4","1","0","2","1001208","3100104","0","29","20003","0","90006","0","1","0","0","0"
"4","0","2","0","3","2","0","2","1001208","3100103","0","30","20003","0","90006","0","3","0","0","0"
"3","0","2","0","2","4","0","2","1001208","3100102","0","31","20003","0","90006","0","10","0","0","0"
"2","0","2","0","1","11","0","2","1001208","3100101","0","32","20003","0","90006","0","30","0","0","0"
"5","0","2","0","4","1","0","2","1001209","3100104","0","33","20003","0","90006","0","1","0","0","0"
"4","0","2","0","3","2","0","2","1001209","3100103","0","34","20003","0","90006","0","3","0","0","0"
"3","0","2","0","2","4","0","2","1001209","3100102","0","35","20003","0","90006","0","10","0","0","0"
"2","0","2","0","1","11","0","2","1001209","3100101","0","36","20003","0","90006","0","30","0","0","0"
"5","0","2","0","4","1","0","2","1001210","3100104","0","37","20003","0","90006","0","1","0","0","0"
"4","0","2","0","3","2","0","2","1001210","3100103","0","38","20003","0","90006","0","3","0","0","0"
"3","0","2","0","2","4","0","2","1001210","3100102","0","39","20003","0","90006","0","10","0","0","0"
"2","0","2","0","1","11","0","2","1001210","3100101","0","40","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1002201","3100104","0","41","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1002201","3100103","0","42","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1002201","3100102","0","43","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1002201","3100101","0","44","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1002202","3100104","0","45","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1002202","3100103","0","46","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1002202","3100102","0","47","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1002202","3100101","0","48","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1002203","3100104","0","49","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1002203","3100103","0","50","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1002203","3100102","0","51","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1002203","3100101","0","52","20003","0","90006","0","30","0","0","0"
"20","0","2","0","5","1","0","2","1002204","3100104","0","53","20003","0","90006","0","1","0","0","0"
"15","0","2","0","4","2","0","2","1002204","3100103","0","54","20003","0","90006","0","3","0","0","0"
"10","0","2","0","3","4","0","2","1002204","3100102","0","55","20003","0","90006","0","10","0","0","0"
"5","0","2","0","1","11","0","2","1002204","3100101","0","56","20003","0","90006","0","30","0","0","0"
"40","0","2","0","10","1","0","2","1002205","3100104","0","57","20003","0","90006","0","1","0","0","0"
"30","0","2","0","8","2","0","2","1002205","3100103","0","58","20003","0","90006","0","3","0","0","0"
"20","0","2","0","6","4","0","2","1002205","3100102","0","59","20003","0","90006","0","10","0","0","0"
"10","0","2","0","2","11","0","2","1002205","3100101","0","60","20003","0","90006","0","30","0","0","0"
"10","0","2","0","4","1","0","2","1002206","3100104","0","61","20003","0","90006","0","1","0","0","0"
"8","0","2","0","3","2","0","2","1002206","3100103","0","62","20003","0","90006","0","3","0","0","0"
"6","0","2","0","2","4","0","2","1002206","3100102","0","63","20003","0","90006","0","10","0","0","0"
"4","0","2","0","1","11","0","2","1002206","3100101","0","64","20003","0","90006","0","30","0","0","0"
"10","0","2","0","4","1","0","2","1002207","3100104","0","65","20003","0","90006","0","1","0","0","0"
"8","0","2","0","3","2","0","2","1002207","3100103","0","66","20003","0","90006","0","3","0","0","0"
"6","0","2","0","2","4","0","2","1002207","3100102","0","67","20003","0","90006","0","10","0","0","0"
"4","0","2","0","1","11","0","2","1002207","3100101","0","68","20003","0","90006","0","30","0","0","0"
"10","0","2","0","4","1","0","2","1002208","3100104","0","69","20003","0","90006","0","1","0","0","0"
"8","0","2","0","3","2","0","2","1002208","3100103","0","70","20003","0","90006","0","3","0","0","0"
"6","0","2","0","2","4","0","2","1002208","3100102","0","71","20003","0","90006","0","10","0","0","0"
"4","0","2","0","1","11","0","2","1002208","3100101","0","72","20003","0","90006","0","30","0","0","0"
"10","0","2","0","4","1","0","2","1002209","3100104","0","73","20003","0","90006","0","1","0","0","0"
"8","0","2","0","3","2","0","2","1002209","3100103","0","74","20003","0","90006","0","3","0","0","0"
"6","0","2","0","2","4","0","2","1002209","3100102","0","75","20003","0","90006","0","10","0","0","0"
