c4e1b7b37cfbfc72a322735d05a11200623d47c845e1a3f6c745dc5b40d830be,c8dbabe82d93558b66f648b91f68a6ac028596e01b47bd611f701be5f6d4e077,e7224338a24985d7be07bfa624b046271f4993c3bf6ec26107eb7c31b3249fbb,752e39bb66e7fb7122d7982f1c891f2cc085c9f4545747f2e068bdf014553064,ef064164fe1312de600435916dbc8e0debea9f50efd359cd4ad04b70a2d858a9
"1","1001","1","0","0"
"1","1002","2","0","0"
"1","1003","3","0","0"
"1","1004","4","0","0"
"2","2001","1","0","0"
"2","2002","2","0","0"
"2","2003","3","0","0"
"2","2004","4","0","0"
"2","2101","1","0","1"
"2","2102","2","0","1"
"2","2103","3","0","1"
"2","2104","4","0","1"
"2","2111","11","10001","2"
"2","2112","12","10001","2"
"2","2113","13","10001","2"
"3","3001","1","0","0"
"3","3002","2","0","0"
"3","3003","3","0","0"
"3","3004","4","0","0"
"4","4001","1","0","0"
"4","4002","2","0","0"
"4","4003","3","0","0"
"4","4004","4","0","0"
"4","4005","100","0","0"
"5","5010","10101","0","1"
"5","5020","10201","1","2"
"5","5021","10202","2","2"
"5","5030","10301","0","3"
"5","5031","10301","1","3"
"5","5040","10302","0","4"
"5","5050","10303","0","5"
"5","5060","10304","0","6"
"6","6001","90001","0","1"
"6","6002","90001","0","2"
"6","6003","90001","1","2"
"6","6006","90001","0","3"
"6","6007","91101","1","3"
"6","6008","91201","2","3"
"6","6009","91301","3","3"
"6","6010","90001","0","4"
"6","6011","91101","1","4"
"6","6012","91201","2","4"
"6","6013","91301","3","4"
"6","6014","90001","0","5"
"6","6015","91101","1","5"
"6","6016","91201","2","5"
"6","6017","91301","3","5"
"6","6018","90001","0","6"
"6","6019","91101","1","6"
"6","6020","91201","2","6"
"6","6021","91301","3","6"
"6","6022","92001","0","7"
"6","6023","92101","1","7"
"6","6024","92201","2","7"
"6","6025","92301","3","7"
"6","6026","92401","4","7"
"7","7000","90002","0","0"
"7","7001","90002","1","0"
"7","7002","90003","2","0"
"7","7003","90002","1","2"
"7","7004","90003","2","2"
"7","7005","91102","1","3"
"7","7006","91103","2","3"
"7","7007","91102","1","4"
"7","7008","91103","2","4"
"7","7009","91102","1","5"
"7","7010","91103","2","5"
"7","7011","91102","1","6"
"7","7012","91103","2","6"
"7","7013","92102","1","7"
"7","7014","92103","2","7"
"9","9001","20101","0","0"
"10","10001","20201","0","0"
"10","10002","20202","0","1"
"101","10180","10501","0","8"
"100","100001","1","0","1"
"100","100002","1","0","2"
"100","100003","2","0","3"
"100","100004","2","0","4"
"100","100005","2","0","5"
"100","100006","2","0","6"
"100","100007","3","0","7"
"101","980001","10301","0","98001"
"101","980002","10402","2","98001"
"101","980011","10401","1","98011"
"101","980012","10402","2","98012"
