1edb2c45567b2a027e8d8cd74af6ca326cee4e66fb8a2c2ab880f215b252993b,fbdc3b22ca2e634eae617d880d282ae663de7f5ec40524f8e6ee5ac622965ebc,076559c9321600f974b2f8ad02b666eb4e359a09b461e3cfbc85df6f881d0406,48362fe1e4dc970a211aa53e4b51791acf126b6f23d836b899fe36e9614c772c,2283b5b631ab7b767890304588cbbb1bf2f05eb61f74614dd20c777d4e493da7,5567bb8bf22b0812ffaf0c7f1e59403190cdcc71c14b4e5549daad1e07dbc4c2,5008109578c10a25f5b1097ece0d03a5705e1b1c86c14796d46e93a6fc50c9f0,13a182bfbff1650d909940eaec2738ea500e5b1a68fbaef8f633962db18a6329,50edd8f64cd8c2586d277be833d86eaa20f98442ae5ebd9beae1f975a3217bd8,f185d2fc493d86d82e3eb94020c404f9c0634ca47f83934a99380b1a1942e5c8,36b886029ef30135f68e5453fd9625828041bd95cb0380807b5ac0405660c437,a7329a813db91984d7c394f9170fc26fa278884f16f2b2ed0d29a5f05b965298,5e6465d7862092d3bce54ad4b0147481e1b7aa3a63e0be86f1e3f235c9e6cbb5,1780717f463555241393f22549d7c2adeda81445c733719c98784e6f2ef3b885,538d4e5f7b23b15f8707f459e9212ce402b40d4c24a1749493b1ab6643e78136,f6812abc63372d818a7cb127d5704d0674a8ecfb904baed2682804a03e960a41,547f7cab2f61b7d771f95bbe5ddc3a169f6b5e16963da7b01c09e2db43fe4a20,4da40679e965ec1d7a7fd2152ebf7e76ff20916fbe7839f07f3a45b38346e83c,68c9e60b014f8add7c5c28a9b7474512f36cd4722c687da674ba85df6122ee00,66c9d81d1a92622c491f0a7f808e1af0008e802ce0ec9914ca44231d5df78c0b,5ab507105e2b9dd75161f611b95b70aba62651c2a055006d520034c752471eed,747069f67410a32b43a92ce383f5915a34bb2936dfbf1414306b5fe854e1ea22,bcf9015124a9900732860bbc6634578e85dad83c112647050ae11803a09d4087,e2ff133190825b14e4867551fc2955d74a7af71926b46fe6fb3265f8faa64fc7,bc04ae879054961f5b011845640b93dc6c95bd9dc1bc0321bace29ba1b87c364,4fcc2cb8ac7f099281812306b2ff6f763a06ab4becb96d2cedc6f144de0760ca,1c236f9579f532f46748daf10afc34a94885e3fb203129bc9474ef6421294665,33f84e61d18933c8ef2ba9cc23e5ff7d0702f4c7aadb347c3ea0ffbd83742597,9ed717e4632e40750a752fab1db60a94d7e249b3abc6ca8cc20460943acbad35,ffc630ad854bf8bf9f564af094e16ac1090a608b9c9a4b6f36a6b3287f29a569,710617797ccc5cc413403ca63390940859caeaf84bf9bf1f20e28cf969f2487c,4e9df12c6515bf1f668ff50b1a4c8ab66b8bb7c1ebfaa9cc509ef68ff2bd0f24,e3e9820dd133f7de92b8752fea3103afd43a098c2a70140b53f7c79e3244e45a,ca55c9eed091ee562053b02cd508f31e5efa42c225a564d282241527e5cb5e71,f82a126bfb5f326507b26688a58c921917b023a2875776cea28ba26c2cbe45d6,93c4c39612bd2d98ad95382bf1c5c820b77ebd743080980717460897e28cac42,3cdfdbe259427930162c6f7ce1bc98f75ac329180b896b662a81a7d73d3f5bdc,01d4ee9f25e26c9d8270782b05c75ade69e886ecd91d5ce4f41e4687dec672bf,0c8aeea2d9e76194624d015207e6f68461156890a75608b65d500a801647171c,16a75ead3adcc4e7ab762d068a235ac0922c801294f45e984b58d421ce784724
"10","1","1","1","1","200100","4","1","1","1","1","1","1","620010001","0","30","1","1","0","329","0","1","1","1","1","0","3","0","1","0","1","1","1","24","200000006","0","0","0","10","0"
"10","2","2","2","2","200100","9","2","2","2","2","1","2","620010002","0","30","2","2","0","338","0","2","1","1","2","0","3","0","2","0","2","2","2","28","200000006","0","0","0","10","0"
"10","3","3","3","3","200100","5","3","3","3","3","1","3","620010003","0","30","3","3","0","347","0","3","1","1","3","0","4","0","3","0","3","3","3","32","200000006","0","0","0","10","0"
"10","4","4","4","4","200100","5","4","4","4","4","1","4","620010004","0","30","4","4","0","347","0","4","1","1","4","0","4","0","4","0","4","4","4","32","200000006","0","0","0","10","0"
"10","5","5","5","5","200100","5","5","5","5","5","1","5","620010005","0","30","5","5","0","349","0","5","1","1","5","0","4","0","5","0","5","5","5","35","200000006","0","0","0","10","0"
"10","6","6","6","6","200100","7","6","6","6","6","1","6","620010006","0","30","6","6","0","367","0","6","1","1","6","0","6","0","6","0","6","6","6","48","200000006","0","0","0","10","0"
"10","7","7","7","7","200100","8","7","7","7","7","1","7","620010007","0","30","7","7","0","413","0","7","1","1","7","0","7","0","7","0","7","7","7","55","200000006","0","0","0","10","0"
"10","8","8","8","8","200100","9","8","8","8","8","1","8","620010008","0","30","8","8","0","459","0","8","1","1","8","0","7","0","8","0","8","8","8","62","200000006","0","0","0","10","0"
"10","9","9","9","9","200100","9","9","9","9","9","1","9","620010009","0","30","9","9","0","505","0","9","1","1","9","0","8","0","9","0","9","9","9","68","200000006","0","0","0","10","0"
"10","10","10","10","10","200100","10","10","10","10","10","1","10","620010010","0","30","10","10","0","551","0","10","1","1","10","0","9","0","10","0","10","10","10","75","200000006","0","0","0","10","0"
"10","11","11","11","11","200100","11","11","11","11","11","1","11","620010011","0","30","11","11","0","598","0","11","1","1","11","0","9","0","11","0","11","11","11","82","200000006","0","0","0","10","0"
"10","12","12","12","12","200100","12","12","12","12","12","1","12","620010012","0","30","12","12","0","644","0","12","1","1","12","0","10","0","12","0","12","12","12","89","200000006","0","0","0","10","0"
"10","13","13","13","13","200100","12","13","13","13","13","1","13","620010013","0","30","13","13","0","690","0","13","1","1","13","0","11","0","13","0","13","13","13","95","200000006","0","0","0","10","0"
"10","14","14","14","14","200100","13","14","14","14","14","1","14","620010014","0","30","14","14","0","736","0","14","1","1","14","0","11","0","14","0","14","14","14","102","200000006","0","0","0","10","0"
"10","15","15","15","15","200100","14","15","15","15","15","1","15","620010015","0","30","15","15","0","782","0","15","1","1","15","0","12","0","15","0","15","15","15","109","200000006","0","0","0","10","0"
"10","16","16","16","16","200100","15","16","16","16","16","1","16","620010016","0","30","16","16","0","851","0","16","1","1","16","0","12","0","16","0","16","16","16","123","200000006","0","0","0","10","0"
"10","17","17","17","17","200100","15","17","17","17","17","1","17","620010017","0","30","17","17","0","919","0","17","1","1","17","0","12","0","17","0","17","17","17","136","200000006","0","0","0","10","0"
"10","18","18","18","18","200100","15","18","18","18","18","1","18","620010018","0","30","18","18","0","1296","0","18","1","1","18","0","13","0","18","0","18","18","18","164","200000006","0","0","0","10","0"
"10","19","19","19","19","200100","15","19","19","19","19","1","19","620010019","0","30","19","19","0","1482","0","19","1","1","19","0","13","0","19","0","19","19","19","177","200000006","0","0","0","10","0"
