b271c42e74a61953e31118a55586919597ba8ee2c802a4606c7bbe5e07327a2b,a490632991c7bce54e771eaa8be97f1deab3156e7eee036f94c13e30eb2a7374,4e394f4216d4f656c677edcebba977fe97cafe5c34610463647687c89e540225,287335c264c38df8477999807cc81a44ce296691a33bfdd6a47f1d689652a414,fd8be114a982f6857cd7afee6a86ad97f1e6d64960f8fbb3028443adef9ae541,1c33a13c936df2567953b560460b5ba080b334c69986c4ae96c8e9340a983ff5,89e511bd23998103bf2c8e47fa6c1f9d409a1129acb511180a108ba2185e4f60,259b136d7299905e88c462dedcf3ffb1af7a1a0ca12124be0482c484935c8c71,4119bb5a8e03ea5ee32d94c90cbfefbab8142211aed995e004e8fbcf4fbb5e8f,529bb86446817586b3373942817325ca712c43ff4ea96a6829cb114f7945328f,0e4164b5b7f75f8cdd93ba11d7feee1aec9b877ef44f560059b13bb2338a08b0,b4bf6c9a4c18ce51d0019ea6880332cb99099b28f6575174816f5c1c713fc3a6,278d2f22c75acde2222979e7a52b5e67c1ae969cd1e684d7bb84184c350e6404,8a290ba5e1904f9b1e3f8463e67b61dcc61c82aea5a6f65fe245d50f8bab2a07,83933e3a2a3def7d7f25ab065f25d594e60adf3e68bae846af5bab997928da04
"10","400","11002012","4003001","501010001","31001","4003002","雲海山脈","雲霧繚繞的山脈","400","195","200010","0","45","1"
"10","300","11005013","4003003","501010002","31002","4003004","密林大樹","立於森林深處的一棵大樹","300","-110","200020","0","30","1"
"10","200","11007014","4003005","501010003","31003","4003006","斷崖遺跡","位於斷崖絕壁處的遺跡","200","-570","200030","0","-190","1"
"10","100","11011017","4003007","501010004","31004","4003008","蒼海孤塔","矗立於大海中謎樣的巨塔","100","750","200040","0","-30","1"
"10","100","11014014","4003009","501010005","31005","4003010","毒瘴闇稜","受瘴氣籠罩的暗闇孤峰","100","465","200050","0","20","1"
"10","100","11026014","4003011","501010006","31006","4003012","綠龍骸嶺","佇立於山頂的龍之寢床","100","360","200060","0","90","1"
"10","100","11035014","4003013","501010007","31007","4003014","天上浮游城","天空守衛靜靜沉眠的聖城","100","130","200070","0","90","1"
"10","100","11047014","4003017","501010008","31008","4003018","砂瀑底都","沙之大瀑布墜落盡頭的都市","100","-50","200080","0","120","1"
"10","100","11057014","4003019","501010009","31009","4003020","蔚藍王寨","聳立於蔚藍海底的海王城寨","100","-360","200090","0","70","1"
"10","0","11062014","4003021","501010010","31010","4003022","四彩的靈峰","四季繽紛的靈狐仙境","100","0","0","0","0","1"
"10","100","0","4003015","0","32001","4003016","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32002","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32003","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32004","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32005","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32006","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32007","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32008","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32009","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32010","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
"10","100","0","0","0","32011","0","特殊地下城","挑戰完成期間限定地下城","100","0","0","31006","0","1"
