b4bf6c9a4c18ce51d0019ea6880332cb99099b28f6575174816f5c1c713fc3a6,1c33a13c936df2567953b560460b5ba080b334c69986c4ae96c8e9340a983ff5,259b136d7299905e88c462dedcf3ffb1af7a1a0ca12124be0482c484935c8c71,89e511bd23998103bf2c8e47fa6c1f9d409a1129acb511180a108ba2185e4f60,8a290ba5e1904f9b1e3f8463e67b61dcc61c82aea5a6f65fe245d50f8bab2a07,287335c264c38df8477999807cc81a44ce296691a33bfdd6a47f1d689652a414,4e394f4216d4f656c677edcebba977fe97cafe5c34610463647687c89e540225,fd8be114a982f6857cd7afee6a86ad97f1e6d64960f8fbb3028443adef9ae541,529bb86446817586b3373942817325ca712c43ff4ea96a6829cb114f7945328f,83933e3a2a3def7d7f25ab065f25d594e60adf3e68bae846af5bab997928da04,b271c42e74a61953e31118a55586919597ba8ee2c802a4606c7bbe5e07327a2b,a490632991c7bce54e771eaa8be97f1deab3156e7eee036f94c13e30eb2a7374,278d2f22c75acde2222979e7a52b5e67c1ae969cd1e684d7bb84184c350e6404,0e4164b5b7f75f8cdd93ba11d7feee1aec9b877ef44f560059b13bb2338a08b0,4119bb5a8e03ea5ee32d94c90cbfefbab8142211aed995e004e8fbcf4fbb5e8f
"200010","31001","雲海山脈","4003002","45","4003001","11002012","501010001","400","1","10","400","0","195","雲霧繚繞的山脈"
"200020","31002","密林大樹","4003004","30","4003003","11005013","501010002","300","1","10","300","0","-110","立於森林深處的一棵大樹"
"200030","31003","斷崖遺跡","4003006","-190","4003005","11007014","501010003","200","1","10","200","0","-570","位於斷崖絕壁處的遺跡"
"200040","31004","蒼海孤塔","4003008","-30","4003007","11011017","501010004","100","1","10","100","0","750","矗立於大海中謎樣的巨塔"
"200050","31005","毒瘴闇稜","4003010","20","4003009","11014014","501010005","100","1","10","100","0","465","受瘴氣籠罩的暗闇孤峰"
"200060","31006","綠龍骸嶺","4003012","90","4003011","11026014","501010006","100","1","10","100","0","360","佇立於山頂的龍之寢床"
"200070","31007","天上浮游城","4003014","90","4003013","11035014","501010007","100","1","10","100","0","130","天空守衛靜靜沉眠的聖城"
"200080","31008","砂瀑底都","4003018","120","4003017","11047014","501010008","100","1","10","100","0","-50","沙之大瀑布墜落盡頭的都市"
"200090","31009","蔚藍王寨","4003020","70","4003019","11057014","501010009","100","1","10","100","0","-360","聳立於蔚藍海底的海王城寨"
"0","31010","四彩的靈峰","4003022","0","4003021","11062014","501010010","100","1","10","0","0","0","四季繽紛的靈狐仙境"
"0","32001","特殊地下城","4003016","0","4003015","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32002","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32003","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32004","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32005","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32006","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32007","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32008","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32009","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32010","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
"0","32011","特殊地下城","0","0","0","0","0","100","1","10","100","31006","0","挑戰完成期間限定地下城"
