e7c3680de9f476112930a9743351e7db5e5559728a823ffc25c2bd5debc0fe25,0ca75d6ec93109e2cd2004a5f51a3dadeaf682f14bb04f4966c8b966436fceab,fe912d449a983ee537ae7cad1600e79447f47d358e9013bc26f090294089bdd5,5e3ebc668b552ee49f3c9945537fb7fad4f895986c77ab073d9dc05315babdbd,c1ea739bc01be5ab446da25ac10a37a18e3497cb0a503b4f79ed8b0b9bd61959,727d9b301ac15fbba42c2ca32293c5b2d2c93fded4c3200f06f6d46d0b832429
"戰鬥開始90秒內，\n我方全體特大幅度提升物理防禦力","123001","10201501","10201001","2025/06/01 16:00:00","3002"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法防禦力","123001","10201501","10201002","2025/06/01 16:00:00","3004"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","106901","10201501","10201003","2025/06/01 16:00:00","3011"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","106901","10201501","10201004","2025/06/01 16:00:00","3011"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","107101","10201501","10201005","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107101","10201501","10201006","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","107001","10201501","10201007","2025/06/01 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107001","10201501","10201008","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","106801","10201501","10201009","2025/06/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","106801","10201501","10201010","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","111501","10201501","10201011","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","111501","10201501","10201012","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","123801","10201501","10201013","2025/06/01 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","123801","10201501","10201014","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","133901","10201501","10201015","2025/06/12 16:00:00","3001"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133901","10201501","10201016","2025/06/12 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體賦予持續恢復HP的狀態。","115001","10201501","10201017","2025/06/01 16:00:00","3005"
"戰鬥開始後，\n我方全體無法行動狀態無效2次。","115001","10201501","10201018","2025/06/01 16:00:00","3013"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法攻擊力","126601","10201501","10201019","2025/06/01 16:00:00","3003"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","126601","10201501","10201020","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n我方全體中幅度提升ＴＰ上升。","133801","10201501","10201021","2025/06/22 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體大幅度提升行動速度。（可重複）","133801","10201501","10201022","2025/06/22 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","121201","10201501","10201023","2025/06/01 16:00:00","3001"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","121201","10201501","10201024","2025/06/01 16:00:00","3014"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","133701","10201501","10201025","2025/06/01 16:00:00","3003"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133701","10201501","10201026","2025/06/01 16:00:00","3010"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理防禦力","123001","10201551","10201027","2025/06/01 16:00:00","3002"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法防禦力","123001","10201551","10201028","2025/06/01 16:00:00","3004"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","106901","10201551","10201029","2025/06/01 16:00:00","3011"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","106901","10201551","10201030","2025/06/01 16:00:00","3011"
