fc7822d1a3a2e2dd836c2fc5fae22868b844c80ff2c43bf1f522080ea41d8aa7,0032066c4c53a5f2f33e2de3a5268aaf891b7c6610e6e5d4ef8f8d3b18c4c3d0,1bdfb4ae67a4aeddd03013450bcbb3efa408cfa1ed12b3b4feb27bed69df0a6f,ecd499e0f59b22c1dce43fc2985577fb387805e51e591d0e51e8430ec7ae5013
"1","1","8","緩速"
"2","2","8","加速"
"3","3","8","麻痺"
"4","4","8","凍結"
"5","5","8","束縛"
"6","6","8","睡眠"
"7","7","8","暈眩"
"8","8","8","石化"
"9","9","8","拘留"
"0","10","9","拘留(傷害)"
"1","11","9","毒"
"2","12","9","火傷"
"3","13","9","詛咒"
"0","14","11","魅惑"
"-1","15","12","黑暗"
"-1","16","13","沉默"
"-1","17","30","即死"
"-1","18","3","擊退"
"1","19","11","混亂"
"4","20","9","猛毒"
"-1","21","56","千里眼"
"-1","22","59","妨礙恢復"
"-1","23","61","恐慌"
"-1","24","60","給予刻印"
"-1","25","62","畏懼"
"-1","26","69","馴鹿化"
"10","27","8","暈眩"
"5","28","9","詛咒"
"-1","29","70","HP變化"
"11","30","8","時間停止"
"-1","31","76","HP回復量減少"
"-1","32","78","虛弱個體受到的傷害上升"
"1","33","79","行動時毒傷"
"14","34","8","暈眩（另計）"
"7","35","9","毒（另計）"
"8","36","9","詛咒（另計）"
"2","37","11","混亂（另計）"
"13","38","8","結晶化"
"1","39","83","緩速(可加成)"
"2","40","83","加速(可加成)"
"3","41","49","消除增益"
"10","42","49","消除護盾"
"9","43","9","黑炎"
"2","44","99","加速領域"
"1","45","99","緩速領域"
"20","46","49","消除增益（指定）"
"5","47","101","擊打烙印（攻擊命中）"
"10","48","79","行動時界雷傷害"
"9","49","112","延長狀態異常時間"
"1","50","116","執著狀態"
"15","51","117","阿剌克涅拘束"
"3","52","11","操絲"
