708b8584dc9b9bb4ac69560e4358b92a48f24d3a1a0b5b5bbe14715f98b7ea1b,41bb4b287b4b8d81c2321ecf158c231955258be2227a0536a10a28d4b6a024c4,0b2273f55ebba0f5a0be67f136a2055284756d273c31640393b2b5816f6d0cb4,bbada4fffb8f1dc5fd747805daf9f1cfe8b5ca5444a63b5721559731c5224f2d,4738557477e9d011e2b11f7a9671518b6b39b1008955b766ab534bd16a3f8168,bed101aa078b47d9546fdf25c96747186badcf3cd360dbc35d37b77163a2c7c1,e1b3ca1fad1d160b4cde30773b434d4f8d522bdc76a86e74715a0edb4db27f23,a4fb3a50f5c7c925b01bd712bc903a42ad95f3a53fdd0e2fea9b27a9c0139b7b,159ee0f0ec1c61e866241721197f38972dbe25cf81791c263251c5f45b6ed1a1,98c0d586e21ad2e5b91e1dbe020d72444cc6bbc2395bacba467ce46649a1bc90,38e97ddc6d574a72cdfc0119da8e5e5f714e0412adb08af686cc56137d132f8f,b1acb663f6b91fda18e3a4003cbbb26719fd092347226b419fd6c99e9d433a3c,9da976204bf62aa8f63fd24df9b0df1a386725bd63441a14a0c61fb0c64af94a,09316da2d8533a9c66fab1f88bff9b9a0eea837d4435db68c8da50e92940fc3d,cbcf5bee6139959ac40fb715cde1e8c03d632bc5e1c2dadae3a6eb0bbaf8e6ba,c3f303ccf50f255ea573925c27603d5800b1e32c318d0fbbd2b91436904e85e2,ce846447ff43ddecece74ad09e393ca2ce426c42d9ae829eb37616c9b1b30885,4a760e4c1cbbbf2375774f5831580c6a0b9661e43b6c409c2df9c7a75276d4c1,fba8e85d874967f33f6a924a706dc15c578c540cdc9c90b280fe936269b86365,ddf409dfe8f8bbbac930efd054264f62ef1ca8760cee73ea3716c6928c04c9b0,1615bb4e12017538cc232f60c9e2339de634ac4edead1263e12c5c179de3d363,9dc1fb3fff407291a7977a3b6189b0101682b49e8f64533116fb6abd93ba0671,0fd5db4060e361bdcf6e3ad3adbe7e8502adf335baa2d12267057f654c013bc8,bd785612f829433426eb0baceba493493b87d4a3ef8d0c6958a9f544eedec7b1,aa9fbd04514fa97479d4c5c395d6d4e89848ab66b20bea7f5171e759b29d6e25,41515366949154b8cef18d941b7f33b35c1f847f518429466e0c40169b4c33da
"25021","215","182100","181001001","紅焰的深域1-1","0","25011","0","0","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001001","381001001","281001001","81001","810010011","0","10","2024/06/14 16:00:00","25"
"25021","215","182100","181001002","紅焰的深域1-2","0","25011","0","200","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001002","381001002","281001002","81001","810010021","0","10","2024/06/14 16:00:00","100"
"25021","215","182100","181001003","紅焰的深域1-3","0","25011","0","400","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001003","381001003","281001003","81001","810010031","0","10","2024/06/14 16:00:00","175"
"25021","215","182100","181001004","紅焰的深域1-4","0","25011","0","550","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001004","381001004","281001004","81001","810010041","0","10","2024/06/14 16:00:00","50"
"25021","215","182100","181001005","紅焰的深域1-5","0","25011","0","750","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001005","381001005","281001005","81001","810010051","0","10","2024/06/14 16:00:00","125"
"25021","215","182100","181001006","紅焰的深域1-6","0","25011","0","950","100170","90","10","0","2030/12/17 14:59:59","10","0","10","81001006","381001006","281001006","81001","810010061","0","10","2024/06/14 16:00:00","200"
"25021","215","182100","181001007","紅焰的深域1-7","0","25011","0","1100","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001007","381001007","281001007","81001","810010071","0","10","2024/06/14 16:00:00","25"
"25021","215","182100","181001008","紅焰的深域1-8","0","25011","0","1300","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001008","381001008","281001008","81001","810010081","0","10","2024/06/14 16:00:00","100"
"25021","215","182100","181001009","紅焰的深域1-9","0","25011","0","1500","100160","90","10","0","2030/12/17 14:59:59","10","0","10","81001009","381001009","281001009","81001","810010091","0","10","2024/06/14 16:00:00","175"
"25021","215","182100","181001010","紅焰的深域1-10","0","25011","0","1750","81001","90","10","0","2030/12/17 14:59:59","10","0","10","81001010","381001010","281001010","81001","810010101","0","10","2024/06/14 16:00:00","50"
"25021","215","182100","181001011","紅焰的深域2-1","0","25011","0","2000","100160","90","10","0","2030/12/17 14:59:59","20","0","10","81001011","381001011","281001011","81001","810010111","0","10","2024/06/14 16:00:00","25"
