1eeace63094e534eddb8beb6d712f285041835197dc6e3bfde813f5a91bbf5a9,88428d99faa8a4ccff9caf1a617fba21254657c308301f42e2036e806d3ee7c8,922cec5de7043f38ce867f8c107d9bd5dd290e0486ee80248e7fa09d93dd9ded,41993c1931d7cf9687d20f64183f68ba5bcddbcf588cba865ea2f16f67ba295d,07eb259a538b422aa8ebe3383cb337c00f4868f83947d2569b90ae910c4245d5,d0f44aa7983a818a4f1898c06812488754fc5b68580d1b3296870cc0915d467a
"5201087","102013011","10201","1","301","1"
"5201081","102014021","10201","1","402","1"
"5201082","102014022","10201","101","402","0"
"5201066","102015011","10201","1","501","1"
"5201067","102015012","10201","1","501","2"
"5201068","102015013","10201","1","501","3"
"5201069","102015014","10201","1","501","4"
"5201070","102015015","10201","1","501","5"
"5201071","102015016","10201","1","501","6"
"5201072","102015017","10201","1","501","7"
"5201073","102015018","10201","1","501","8"
