9e671dd3b04800aec2f88d11b2ca0ec8b203a4de04377adf6e2218dd25c557d5,acf0bbeb0ed41ab23f4f9eb32e70d6c4f060ef4921ebab6562e3acf8860271cd,daeaf77639c56956e64b1f60c67e746abb05dddf0f3273f120ca6636ee0f4bd8,dab500fff279defccbf313d8466e2f5ac4694dddfbe43df101d060e13555a0d1,37defc4c95ad9f818f9ae58945e6a68223e548d9f1d7daabdf078c05e96a9644,706c83a75bd745b3ca2a807bd4f36b75b520fe662a9fda71231cb52fa8226fbd,9426f08e5fb7fc3f150db6c74def6ea2975ce6aabe698a86a63cef1f6010991e,68a9cf43ab5a1664044ed6137c043c002daca4747f0650d831fdf71ac862c7f7,6db7a9ac51a6f9b3c642062d8936d78afd800bebe5551961fb3b7aa38c1b3881,8327a8cc11c9185144be49d598c8649e3f090d9c78857d5bc9d219884fe472ce,0023a1f07a62df94c39a53677847aea87f8ae66e11f011f447fd4853c3ff947f,e557a927119a2fb6ba04574aff19567c7290e7c4a7dcaeec803a939377078857,664e19a4de48c60a814eabcff60968a41185da5b49e19968d5f625d606f0d1e6,859d901806e59dbf52af3460d8f938e7ce4f6bf2e603e53d2a2c79f8c1f92731
"0","20001101","bgm_M32","20001","201","0","1","塔爾格姆地區","0","0","bgm_M32","1","0","0"
"0","20001201","bgm_M32","20001","201","0","1","塔爾格姆地區","0","0","bgm_M32","0","0","0"
"0","20002101","bgm_M98_2","20002","201","0","1","馬席納地區","0","0","bgm_M98","0","0","0"
"0","20002201","bgm_M98_2","20002","201","0","1","馬席納地區","0","0","bgm_M98","0","0","0"
"0","20003101","bgm_M106","20003","201","0","1","蘭德索爾郊外","0","0","bgm_M106","0","0","0"
"0","20003201","bgm_M106","20003","201","0","1","蘭德索爾郊外","0","0","bgm_M106","0","0","0"
"0","20004101","bgm_M112","20004","201","0","1","塔帕斯海灘 周邊","0","0","bgm_M112","0","0","0"
"0","20004201","bgm_M112","20004","201","0","1","塔帕斯海灘 周邊","0","0","bgm_M112","0","0","0"
"0","20005101","bgm_M121","20005","201","0","1","伊爾席翁的孤島","0","0","bgm_M121","0","0","0"
"0","20005201","bgm_M121","20005","201","0","1","伊爾席翁的孤島","0","0","bgm_M121","0","0","0"
"0","20006101","bgm_M128","20006","201","85","1","王城蘭德索爾","0","0","bgm_M128","0","0","0"
"0","20006201","bgm_M128","20006","201","0","1","王城蘭德索爾","0","0","bgm_M128","0","0","0"
