e0e5f33715c7fb2d8f78835575bafb5c7188db13a8ca0633ef537ba417bd0d49,715e589d5b038620b314db4d2a070a1bbac935c1cf6d5e40f4c624ff401c2a3d,2fe847ebe3d08164d10e2d127622481900a5404c6876f330a79b7b52fc4a2076,616c68731edd5272fbcd87efecef110c4a84c8ff2132ad569e6dc0e2c029b101
"1","5046601","1004601","1004601"
"1","5048007","1004801","1004801"
"2","1004801","1004802","1004802"
"1","5056601","1005601","1005601"
"1","5061601","1006101","1006101"
"3","5061602","1006102","1006102"
"1","5061601","1006103","1006103"
"4","5027704","1006601","1006601"
"5","0","1007001","1007001"
"1","5046601","1007301","1007301"
"1","5048007","1007501","1007501"
"2","1004801","1007502","1007502"
"6","0","1008201","1008201"
"1","5056601","1008301","1008301"
"1","5061601","1008901","1008901"
"3","5061602","1008902","1008902"
"1","5061601","1008903","1008903"
"3","5092601","1009201","1009201"
"3","5100601","1010001","1010001"
"3","5100601","1010201","1010201"
"6","0","1010901","1010901"
"3","5092601","1011901","1011901"
"3","5100601","1012701","1012701"
"1","5056601","2003201","2003201"
