df4d46850a1d9ac83a6b3e20ade7af1b1da6d523e6a09c1fa1a225ca1c27afb5,d6ad55681d9aaf05115545b74a9d54a126779d2d083e79d93774cde286d920bc,9b23454e7671c4f67f4f4bc01ccbf82e426e627bd737555cb94835b3058a67ea,df4b0deebb6008fd47ced02276d8c1d98ffcdf4418479326903a6470b9cc91ab,cacb2d88a1daf529a7c4eb236f3a07b7a425d52409a3ed05d31df603d61c5c7a,331eded035b42231c15c19ffa1b44293073ccc5641059e3bebc39f4bd39945a2,db3d9f54343aab7870a323c253c44018be8a4a8496f77170773ea03e377c25a2,3d0a1a547ac05caefeb5125f08a198e7c74baf84b12927f967574eb2e8fda3b1,1e44e9b105a702827d9b9976dcbf9f82754555cc956f243bb7b069385db425bf,feeaa95171c886329842325cea5036106e8d6567627cf5f7ed9172c5f51a7830,1a2384735716c8b2bc64a28b7fbd30fd9b6c5c5428ff3dc62e4828fdd4d9bf5b,560b79e6041e7a00dd9ee8ee0261523c8dd2f0be780f1a3304205601a6ad7cf8,f5eb7739b69257346bbe8db1efa8a1dbfd21f6a251ff8fed282456012545644f,bb28bc369cc72341a505ffbad2228b81bb804d1f58f000bad3659165978b69fb
"1.47","1","2023/11/01 16:00:00","2","1","1","2002","-470","克蘿茜","10001","2024/01/16 15:59:59","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","0","126401"
"2.15","2","2023/11/01 16:00:00","1","2","1","2002","-470","克蘿茜","10002","2024/01/16 15:59:59","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","0","126401"
"0","1","2023/11/01 16:00:00","2","2","1","2002","-470","萊拉耶爾","10003","2024/01/16 15:59:59","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","0","126501"
"0","2","2023/11/01 16:00:00","1","1","1","2002","-470","萊拉耶爾","10004","2024/01/16 15:59:59","還請在此商店\n購買東西，\n享受愉快的旅途吧","0","126501"
"0","1","2024/01/16 16:00:00","2","2","2","2002","-470","琳德","10005","2024/04/23 15:59:59","歡迎光臨\n可以利用巡遊幣\n來買東西喔","0","127702"
"0","2","2024/01/16 16:00:00","2","2","2","2002","-470","琳德","10006","2024/04/23 15:59:59","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","0","127702"
"0","1","2024/01/16 16:00:00","1","1","2","2002","-470","烏爾姆","10007","2024/04/23 15:59:59","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","0","127802"
"6.5","2","2024/01/16 16:00:00","1","2","2","2002","-470","烏爾姆","10008","2024/04/23 15:59:59","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","0","127802"
"0","1","2024/04/16 16:00:00","1","2","3","2002","-470","安涅默涅","10009","2024/07/23 15:59:59","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","0","129602"
"0","2","2024/04/16 16:00:00","1","2","3","2002","-470","安涅默涅","10010","2024/07/23 15:59:59","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","0","129602"
