df4b0deebb6008fd47ced02276d8c1d98ffcdf4418479326903a6470b9cc91ab,331eded035b42231c15c19ffa1b44293073ccc5641059e3bebc39f4bd39945a2,bb28bc369cc72341a505ffbad2228b81bb804d1f58f000bad3659165978b69fb,d6ad55681d9aaf05115545b74a9d54a126779d2d083e79d93774cde286d920bc,cacb2d88a1daf529a7c4eb236f3a07b7a425d52409a3ed05d31df603d61c5c7a,9b23454e7671c4f67f4f4bc01ccbf82e426e627bd737555cb94835b3058a67ea,3d0a1a547ac05caefeb5125f08a198e7c74baf84b12927f967574eb2e8fda3b1,1a2384735716c8b2bc64a28b7fbd30fd9b6c5c5428ff3dc62e4828fdd4d9bf5b,df4d46850a1d9ac83a6b3e20ade7af1b1da6d523e6a09c1fa1a225ca1c27afb5,1e44e9b105a702827d9b9976dcbf9f82754555cc956f243bb7b069385db425bf,db3d9f54343aab7870a323c253c44018be8a4a8496f77170773ea03e377c25a2,feeaa95171c886329842325cea5036106e8d6567627cf5f7ed9172c5f51a7830,560b79e6041e7a00dd9ee8ee0261523c8dd2f0be780f1a3304205601a6ad7cf8,f5eb7739b69257346bbe8db1efa8a1dbfd21f6a251ff8fed282456012545644f
"2","1","126401","1","1","2023/11/01 16:00:00","-470","2024/01/16 15:59:59","1.47","克蘿茜","2002","10001","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","0"
"1","1","126401","2","2","2023/11/01 16:00:00","-470","2024/01/16 15:59:59","2.15","克蘿茜","2002","10002","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","0"
"2","1","126501","1","2","2023/11/01 16:00:00","-470","2024/01/16 15:59:59","0","萊拉耶爾","2002","10003","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","0"
"1","1","126501","2","1","2023/11/01 16:00:00","-470","2024/01/16 15:59:59","0","萊拉耶爾","2002","10004","還請在此商店\n購買東西，\n享受愉快的旅途吧","0"
"2","2","127702","1","2","2024/01/16 16:00:00","-470","2024/04/23 15:59:59","0","琳德","2002","10005","歡迎光臨\n可以利用巡遊幣\n來買東西喔","0"
"2","2","127702","2","2","2024/01/16 16:00:00","-470","2024/04/23 15:59:59","0","琳德","2002","10006","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","0"
"1","2","127802","1","1","2024/01/16 16:00:00","-470","2024/04/23 15:59:59","0","烏爾姆","2002","10007","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","0"
"1","2","127802","2","2","2024/01/16 16:00:00","-470","2024/04/23 15:59:59","6.5","烏爾姆","2002","10008","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","0"
"1","3","129602","1","2","2024/04/16 16:00:00","-470","2024/07/23 15:59:59","0","安涅默涅","2002","10009","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","0"
"1","3","129602","2","2","2024/04/16 16:00:00","-470","2024/07/23 15:59:59","0","安涅默涅","2002","10010","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","0"
"1","3","129701","1","1","2024/04/16 16:00:00","-470","2024/07/23 15:59:59","0","涅妃‧涅羅","2002","10011","歡迎光臨\n用巡遊幣在這裡進行交換吧","0"
"1","3","129701","2","2","2024/04/16 16:00:00","-470","2024/07/23 15:59:59","6.2","涅妃‧涅羅","2002","10012","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","0"
"5","4","130301","1","3","2024/07/16 16:00:00","-470","2024/10/23 15:59:59","3.1","華音","2002","10013","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","0"
"2","4","130301","2","3","2024/07/16 16:00:00","-470","2024/10/23 15:59:59","6.15","華音","2002","10014","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","0"
"2","4","130401","1","2","2024/07/16 16:00:00","-470","2024/10/23 15:59:59","0","拿娜","2002","10015","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","0"
"1","4","130401","2","2","2024/07/16 16:00:00","-470","2024/10/23 15:59:59","3.35","拿娜","2002","10016","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","0"
"1","5","130502","1","1","2024/10/16 16:00:00","-470","2025/01/23 15:59:59","0","鳳凰","2002","10017","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","0"
